3-2,オーク神
3-3,ガルカNPC 3-5まで
3-6,ヒュム♂NPC
3-11,ヒュム♀NPC
3-16,エル♂NPC
3-21,エル♀NPC
3-30,ジュノのエレベーター
3-34,ライオン
3-35,エルドナーシュ
3-36,カムラナート
3-37,シド
3-38,トリオン[聖剣]
3-39,ピエージェ
3-40,クレーディ
3-41,デスティン
3-42,シャマンド
3-43,クリルラ
3-44,コーネリア
3-45,カルスト
3-46,グンパ
3-47,黒き使者
3-48,アジドマルジド[本]
3-49,星の神子
3-50,ペリィ・ヴァシャイ
3-51,カーディアン
3-52,アルド
3-53,フェレーナ
3-55,フォルカー
3-56,モーグリ
3-57,ジラート人
3-59,ゴブリン
3-60,チョコボ[鳴き]
3-61,チョコボ[首振り]
3-62,チョコボ[地面つつき]
3-63,チョコボ
3-64,ヒュム爺NPC 3-67まで
3-65,ヒュム爺NPC
3-66,ヒュム爺NPC
3-67,ヒュム爺NPC
3-68,ヒュム婆NPC 3-71まで
3-69,ヒュム婆NPC
3-70,ヒュム婆NPC
3-71,ヒュム婆NPC
3-72,ヒュムおじさんNPC 3-75まで
3-73,ヒュムおじさん
3-74,ヒュムおじさん
3-75,ヒュムおじさん
3-76,ヒュムおばさんNPC 3-79まで
3-77,ヒュムおばさんNPC
3-78,ヒュムおばさんNPC
3-79,ヒュムおばさんNPC
3-80,ヒュム貴婦人NPC 3-82まで
3-81,ヒュム貴婦人NPC
3-82,ヒュム貴婦人NPC
3-83,タル♂NPC
3-84,ヒュム♂NPC
3-85,ヒュム♂NPC
3-86,ヒュム♂NPC
3-87,ヒュム♂NPC
3-88,ヒュム子供♂NPC
3-92,ヒュム子供♀NPC
3-93,ヒュム子供♀NPC
3-96,エル♂NPC
3-100,マート
3-101,ヒュム♀NPC
3-102,ゴブリン[鍋]
3-103,チョコボ
3-104,エル♂修道士 3-109まで
3-105,エル♂修道士
3-106,エル♂修道士
3-108,エル♂修道士
3-109,エル♂修道士
3-112,エル爺NPC 3-115まで
3-113,エル爺NPC
3-114,エル爺NPC
3-115,エル爺NPC
3-116,エル婆NPC 3-118まで
3-117,エル婆NPC
3-118,エル婆NPC
3-120,ガルカNPC
3-121,ガルカNPC
3-122,ガルカNPC
3-123,アジドマルジド
3-124,ヒュム♂NPC
3-125,アンジェリカ
3-126,ヒュム♂NPC
3-127,ヒュム爺NPC
4-0,エル子供♂NPC
4-1,エル子供♂NPC
4-4,エル子供♀NPC
4-8,トスカポリカ
4-9,ゾンパジッパ
4-10,アプルル
4-11,ルクスス
4-12,タル子供♂NPC
4-13,タル子供♂NPC
4-14,タル子供♂NPC
4-15,タル子供♂NPC
4-16,タル子供♀NPC
4-17,タル子供♀NPC
4-18,タル子供♀NPC
4-19,タル子供♀NPC
4-20,ガルカNPC
4-24,ガルカ子供NPC
4-25,ガルカ子供NPC
4-26,ガルカ子供NPC
4-27,ガルカ子供NPC
4-28,ミスラ子供NPC
4-29,ミスラ子供NPC
4-35,タル♂NPC
4-36,タル♂NPC
4-40,タル♂NPC
4-45,ミスラNPC
4-46,ジャコドー[調理ギルド]
4-47,アマルフィス[木工ギルド]
4-48,オルシニエル[革工ギルド]
4-49,グルーバック[鍛冶ギルド]
4-50,ラミュア[木工ギルド]
4-51,エル♀[サーカス]
4-52,エル♀NPC
4-53,ウリシル婆[木工ギルド]
4-54,テルデハルデ[裁縫ギルド]
4-55,ピノクモロック[鍛治ギルド]
4-56,キーポオーポ[調理ギルド]
4-57,エラブフムルブ[釣りギルド]
4-58,ニッココ[裁縫ギルド]
4-59,ロナナ[骨工ギルド]
4-60,ワイズアウル[鍛冶ギルド]
4-61,デゴン[釣りギルド]
4-62,ガルカ[サーカス]
4-63,テク・レンギョン[革工ギルド]
4-64,リィ・ピトゥー[骨工ギルド]
4-65,キャッ・ターリ[骨工ギルド]
4-66,ミスラ[サーカス]
4-67,ミスラ[釣りギルド][餌やり]
4-68,ヒュム♂[鍛冶ギルド？]
4-69,ヒュム♂[船の操舵手？]
4-70,ウルフノス[彫金ギルド]
4-71,ハキーム[調理ギルド]
4-72,ティトゥス[錬金ギルド]
4-73,ファティマ[彫金ギルド]
4-74,アニラー[裁縫ギルド]
4-75,ジークリンデ[錬金ギルド]
4-77,アズィマ婆[錬金ギルド]
