0-49,マンドラゴラ
0-51,カムラナート
0-52,カザム族長
0-53,ヒュム♂NPC[黒服]
12-125,マンティコア
16-9,ディテクター
16-10,ギルガメッシュ
16-11,イブノイル
16-12,明星の巫女
16-13,グラビトン
16-14,闇の王[頭部]
16-15,セミ・ラフィーナ
16-17,クリスタル ガルカ
16-18,クリスタル エルヴァーン
16-19,クリスタル ヒューム
16-20,クリスタル タルタル
16-21,クリスタル ミスラ
16-22,ミスラNPC
16-23,ミスラNPC
16-24,ミスラNPC
16-27,ヒュム♂NPC[白服]
16-28,ヒュム♂NPC[白服]
16-29,ヒュム♂NPC[白服]
16-30,ヒュム♀NPC[白服]
16-31,ヒュム♀NPC[白服]
16-32,ヒュム♀NPC[白服]
22-8,AAヒューム
22-9,AAエルヴァーン
22-10,AAミスラ
22-11,AAタルタル
22-12,AAガルカ
22-13,フェンリル
22-20,カムラナート[鎧]
22-22,トンベリ 22-99まで
22-100,アンティカ 23-16まで
23-17,サハギン 23-58まで
23-60,明星の巫女0
23-61,明星の巫女1
23-62,明星の巫女2
23-63,明星の巫女3
23-64,明星の巫女4
23-65,明星の巫女5
23-66,明星の巫女6
23-67,明星の巫女7
23-68,ヒュム♂NPC[黒服]
23-69,ヒュム♂NPC[黒服]
23-70,ヒュム♂NPC[黒服]
23-71,ノーマッドモーグリ
