0-61,女
0-62,テンゼン
0-63,チェルキキ
0-64,クッキーチェブキー
0-65,マッキーチェブキー
3-84,フライトラップ
3-85,フライトラップ
3-86,アントリオン
3-87,黒アントリオン
3-88,エフト
3-89,エフト
3-90,ブガード
3-91,ブガード
3-93,ウルミア
3-94,プリッシュ
3-95,謎の少年
3-96,デスパシエール
3-97,エルオジイ
3-98,エルオバア
5-12,スノール
5-14,ボム
5-15,スノール
5-16,黒ボム
5-18,赤スライム
5-23,ジラート人
5-27,土台
5-28,土台
5-29,土台
5-30,土台
5-35,ワンダラー
5-36,ワンダラー
5-37,ワンダラー
5-38,ワンダラー
5-39,ウィーパー
5-40,ウィーパー
5-41,ウィーパー
5-42,ウィーパー
5-53,クレイバー
5-68,ディアボロス
5-95,ダイアマイト
5-96,ダイアマイト
5-97,バグベア
5-98,バグベア
5-99,バッファロー
5-100,バッファロー
5-101,タウロス
5-102,ウラグナイト
5-103,ウラグナイト
5-104,コース
5-105,キマイラ
5-106,エシャンタール
5-107,ナグモラーダ
5-108,ジラート人
5-109,ジジイ
5-110,何かの角
5-111,キューブ
5-112,プリッシュ
5-114,ジジイ
5-115,オバサン
5-116,オバサン
5-117,プリッシュ
7-36,バハムート
7-37,プリッシュ
7-53,赤龍
7-55,黄龍
7-57,ゴブリン
7-58,ゴブリン
7-59,ゴブリン
7-60,ゴブリン
7-61,ゴブリン
7-62,ゴブリン
7-63,ゴブリン
7-64,ゴブリン
7-65,モブリンロードマン
7-66,モブリンロードマン
7-67,モブリンロードマン
7-68,モブリンロードマン
7-69,モブリンロードマン
7-70,モブリンロードマン
7-71,モブリン荷物持
7-72,モブリン荷物持
7-73,モブリン荷物持
7-74,モブリン荷物持
7-75,モブリン荷物持
7-76,モブリン荷物持
7-77,モブリン荷物持
7-78,モブリン荷物持
7-79,モブリングラウンドマン
7-80,モブリングラウンドマン
7-81,モブリングラウンドマン
7-82,赤ゴブリン
7-83,赤ゴブリン
7-84,赤ゴブリン
7-85,黒ゴブリン
7-86,黒ゴブリン
7-87,黒ゴブリン
7-88,黒ゴブリン
7-89,黒ゴブリン
7-90,黒ゴブリン
7-91,黒ゴブリン
7-92,黒ゴブリン
8-9,親クレイバー？
8-10,クレイバー
8-11,クレイバー
8-12,クレイバー
8-13,クレイバー
8-14,足長
8-15,足長
8-16,足長
8-17,足長
8-18,足長
8-19,トゥーリア人女
8-20,トゥーリア人女
8-21,トゥーリア人男
8-22,ガルカAA
8-23,エルヴァーンAA
8-24,ヒュームAA
8-25,タルタルAA
8-26,ミスラAA
8-27,バハムート
8-28,プリッシュ
8-29,エネルギーの網
9-28,スノール
9-29,ボム
9-30,赤スライム
9-31,赤ゴブリン
9-32,赤ゴブリン
9-33,赤ゴブリン
9-36,ワンダラー
9-37,ウィーバー
9-43,親クレイバー？
9-44,親クレイバー？
9-45,親クレイバー？
9-46,親クレイバー？
9-47,クレイバー
9-48,クレイバー
9-49,親クレイバー？
9-50,クレイバー
9-51,足長
9-52,コース
9-53,キマイラ
9-81,アルテマ
9-82,アルテマ
9-83,オメガ
9-84,球体
9-85,オメガ
9-86,球体
10-28,青龍
10-98,ヒューム男白服
10-99,ヒューム男白服
10-100,ヒューム男白服
10-101,ヒューム女白服
10-102,ヒューム女白服
10-103,ヒューム女白服
