5-83,ハエ
5-96,ラフレシア
5-99,サンドウォーム
6-5,Dark Pixie
6-6,ノール
6-7,ノール
6-9,オーク
6-10,オーク
6-11,オーク
6-12,オーク
6-13,オーク
6-14,オーク
6-15,オーク
6-16,オーク
6-17,オーク
6-18,オーク
6-19,オーク
6-20,オーク
6-21,オーク
6-22,オーク
6-23,オーク
6-24,オーク
6-25,オーク
6-26,オーク
6-27,オーク
6-28,オーク
6-29,オーク
6-45,Bloodcrown Brradhod
6-46,Darkheir Grradhod
6-47,オーク
6-48,オーク
6-49,ヤグード
6-50,ヤグード
6-51,ヤグード
6-52,ヤグード
6-53,ヤグード
6-54,ヤグード
6-55,ヤグード
6-56,ヤグード
6-57,ヤグード
6-58,ヤグード
6-59,ヤグード
6-60,ヤグード
6-61,ヤグード
6-62,ヤグード
6-63,ヤグード
6-85,Tzee Xicu the Manifest
6-86,Soo Luma the Ascended
6-87,ヤグード
6-88,ヤグード
6-89,クゥダフ
6-90,クゥダフ
6-91,クゥダフ
6-92,クゥダフ
6-93,クゥダフ
6-94,クゥダフ
6-95,クゥダフ
6-96,クゥダフ
6-97,クゥダフ
6-98,クゥダフ
6-99,クゥダフ
6-100,クゥダフ
6-101,クゥダフ
6-102,クゥダフ
6-103,クゥダフ
6-125,Za'Dha Adamantking
6-126,Za'Dha Adamantking
6-127,クゥダフ
7-0,クゥダフ
7-1,Atomos
7-4,ケットシー[戦闘]
7-7,Orc Siege Turret
7-10,Yagudo Siege Turret
7-13,Quadav Siege Turret
7-16,Shadow Lord (Battle)
7-17,Shadow Lord
7-22,Degenhard (Battle)
7-23,Lilisette (Battle)
7-25,フォルカー青年[戦闘]
7-26,Excenmille (Battle)
7-29,Unknown Samurai (Battle)
7-32,Lehko Habhoka (Battle)
7-33,Karaha-Baruha (Battle)
7-34,Lady Lilith (Battle)
7-35,Lilith Ascendant
7-36,不明
8-20,キノコ(茶)
8-21,ペリィ・ヴァシャイ
8-22,アジドマルジド少年
8-23,フォルカー
8-24,グンパ
8-26,ケットシー
8-30,ラーアル少年
8-31,少年騎士団
8-33,アルテニア
8-34,矢
8-35,ロマー・ミーゴ
8-36,ミスラ
8-38,ミスラ
8-39,ミスラ
8-42,魔道球
8-43,ランタン
8-44,学者帽
8-45,チェス
8-48,オドラール
8-49,アクウィラ
8-50,リリゼット
8-51,サンド兵士
8-52,サンド兵士
8-53,短剣
8-55,ガルカ
8-56,ガルカ
8-57,ガルカ
8-58,シラヌス少年
8-59,ナホ
8-60,リリス
8-65,手榴弾
8-67,Noillurie
8-68,Elvaan Female
8-69,Elvaan Male
8-70,Larzos
8-72,Volker (Armor)
8-73,Altennia (Polearm)
8-74,Altennia (Sword and Xbow)
8-75,Nhev Befrathi
8-76,Helm
8-77,Karaha-Baruha (Book)
8-78,Zeid
8-81,サンド旗
8-82,バス旗
8-83,ウィン旗
8-84,獣人旗
8-85,？？？
8-87,？？？
8-91,ベルフリー？
8-92,？？？
8-93,？？？
8-98,マントレット？
8-99,マントレット？
8-100,ベルフリー？
8-103,メイズモンガー梯子
8-104,メイズモンガー梯子
8-106,メイズモンガー機器
8-107,メイズモンガー柱
8-108,メイズモンガー井戸
8-109,メイズモンガー砂
8-110,メイズモンガー柱
8-111,メイズモンガー木枠
8-114,Seat
9-35,コリブリ
9-36,モルボル(赤)
9-37,チゴー
9-38,チゴー(青)
9-40,ブラックプリン
9-41,イエロープリン
9-42,インプ
9-43,インプ(青)
9-46,ポロッゴ(赤)
9-47,ヒポグリフ
9-48,トカゲ
9-50,ボム(黒)
