0-1, Orc
0-28, Colkhab
0-33, Tchakka
0-38, UNknown
0-43, Achuka
0-48, Velkk
0-49, UNknown
0-53, Velkk
0-54, UNknown
0-58, UNknown
0-59, UNknown
0-63, Twitherym
0-64, Twitherym brown
0-68, UNknown
0-73, Chapuli
0-74, UNknown
0-78, Pitcherplant
0-83, Craklaw
0-84, UNknown
0-88, Matamata
0-89, UNknown
0-98, Aceux 
0-99, Aceux Pink
0-103, Heartwing
0-108, UNknown
0-113, UNknown
0-118, UNknown
0-123, UNknown
1-0,UnKnown
1-5,UnKnown
1-6,UnKnown
1-20,UnKnown
1-21,UnKnown
1-25,UnKnown
1-27,UnKnown
1-30,UnKnown
1-31,UnKnown
1-62,UnKnown
1-63,UnKnown
1-64,UnKnown
1-70,UnKnown
1-71,UnKnown
1-72,UnKnown
1-73,UnKnown
1-74,UnKnown
1-78,UnKnown
1-79,UnKnown
1-80,UnKnown
1-100, Swordmaiden
1-101, Kid
1-102, Heartwing
1-103, ???
1-104, Pitcherplant
1-105, UnKnown
1-106, UnKnown
1-107, UnKnown
1-108, UnKnown
1-109, UnKnown
1-110, UnKnown
1-111, UnKnown
1-112, UnKnown
1-113, UnKnown
1-114, UnKnown
1-115, UnKnown
1-116, UnKnown
1-117, UnKnown
1-118, UnKnown
1-119, UnKnown
1-120, UnKnown
1-121, UnKnown
1-122, UnKnown
1-123, UnKnown
1-124, UnKnown
1-125, UnKnown
1-126, UnKnown
1-127, UnKnown
2-0,UnKnown
2-1,UnKnown
2-2,UnKnown
2-3,UnKnown
2-4,UnKnown
2-5,UnKnown
2-6,UnKnown
2-7,UnKnown
2-8,UnKnown
2-9,UnKnown
2-10,UnKnown
2-11,UnKnown
2-12,UnKnown
2-13,UnKnown
2-14,UnKnown
2-15,UnKnown
2-16,UnKnown
2-17,UnKnown
2-18,UnKnown
2-19,UnKnown
2-20,UnKnown
2-21,UnKnown
2-22,UnKnown
2-23,UnKnown
2-47, Mushroom
2-48, Flower
2-49, Rocks
2-50, Tent
2-51, Barricade
2-52,UnKnown
2-53, Hive
2-54, Vent
2-55, Waypoint
2-56, Boat
2-57, ???
2-58, Chair
2-59,UnKnown
2-60,UnKnown
2-61,UnKnown
2-62,UnKnown
2-63,UnKnown
2-64,UnKnown
2-65,UnKnown
2-71,UnKnown
2-72,UnKnown
2-73,UnKnown
2-74,UnKnown
2-75,UnKnown
2-76,UnKnown
2-77,UnKnown
2-78,UnKnown
2-79,UnKnown
2-80,UnKnown
2-81,UnKnown
2-82,UnKnown
2-83,UnKnown
2-84,UnKnown
2-85,UnKnown
2-86,UnKnown
2-87,UnKnown
2-88,UnKnown
2-89,UnKnown
2-90,UnKnown
2-91,UnKnown
2-92,UnKnown
2-93,UnKnown
2-94,UnKnown
2-95,UnKnown
2-96,UnKnown
2-97,UnKnown
2-98,UnKnown
2-99,UnKnown
2-100,UnKnown
2-101,UnKnown
2-102,UnKnown
2-103,UnKnown
2-104,UnKnown
2-105,UnKnown
2-106,UnKnown
2-107,UnKnown
2-108,UnKnown
2-109,UnKnown
2-110,UnKnown
2-111,UnKnown
