82-40,[格闘]コンボ
82-41,[格闘]タックル
82-42,[格闘]短勁
82-43,[格闘]バックハンドブロー
82-44,[格闘]乱撃
82-45,[格闘]スピンアタック
82-46,[格闘]空鳴拳
103-107,[格闘]双竜脚
103-108,[格闘]夢想阿修羅拳
140-96,[格闘]ファイナルヘブン

82-47,[短剣]ワスプスティング
82-48,[短剣]ガストスラッシュ
82-49,[短剣]シャドーステッチ
82-50,[短剣]バイパーバイト
82-51,[短剣]サイクロン
82-52,[短剣]エナジースティール
82-53,[短剣]エナジードレイン
82-54,[短剣]ダンシングエッジ
103-109,[短剣]シャークバイト
103-110,[短剣]エヴィサレーション
140-97,[短剣]マーシーストローク

82-31,[片手剣]ファストブレード
82-32,[片手剣]バーニングブレード
82-33,[片手剣]レッドロータス
82-36,[片手剣]フラットブレード
82-34,[片手剣]シャインブレード 
82-35,[片手剣]セラフブレード
82-37,[片手剣]サークルブレード
82-38,[片手剣]スピリッツウィズイン
82-39,[片手剣]ボーパルブレード
103-105,[片手剣]スウィフトブレード
103-106,[片手剣]サベッジブレード
140-95,[片手剣]ナイツオブラウンド

82-69,[片手棍]シャインストライク
82-70,[片手棍]セラフストライク
82-71,[片手棍]ブレインシェイカー
82-72,[片手棍]スターライト
82-73,[片手棍]ムーンライト
82-74,[片手棍]スカルブレイカー
82-75,[片手棍]トゥルーストライク
82-76,[片手棍]ジャッジメント
103-115,[片手棍]ヘキサストライク
103-116,[片手棍]ブラックヘイロー
140-100,[片手棍]ランドグリース

82-55,[片手斧]レイジングアクス
82-56,[片手斧]スマッシュ
82-57,[片手斧]ラファールアクス
82-58,[片手斧]アバランチアクス
82-59,[片手斧]スピニングアクス
82-60,[片手斧]ランページ
82-61,[片手斧]カラミティ
103-111,[片手斧]ミストラルアクス
103-112,[片手斧]デシメーション
140-98,[片手斧]オンスロート

103-125,[片手刀]臨
103-126,[片手刀]烈
103-127,[片手刀]滴
104-0,[片手刀]凍
104-1,[片手刀]地
104-2,[片手刀]影
104-3,[片手刀]迅
104-4,[片手刀]天
104-5,[片手刀]空
140-105,[片手刀]生者必滅

82-84,[両手剣]ハードスラッシュ
82-85,[両手剣]パワースラッシュ
82-86,[両手剣]フロストバイト
82-87,[両手剣]フリーズバイト
82-88,[両手剣]ショックウェーブ
82-89,[両手剣]クレセントムーン
82-90,[両手剣]シックルムーン
103-119,[両手剣]スピンスラッシュ
103-120,[両手剣]グランドストライク
140-102,[両手剣]スカージ

82-98,[両手棍]ヘヴィスイング
82-99,[両手棍]ロッククラッシャー
82-100,[両手棍]アースクラッシャー
82-101,[両手棍]スターバースト
82-102,[両手棍]サンバースト
82-103,[両手棍]シェルクラッシャー
82-104,[両手棍]フルスイング
103-123,[両手棍]スピリットテーカー
103-124,[両手棍]レトリビューション
140-104,[両手棍]タルタロスゲート

82-77,[両手斧]シールドブレイク
82-78,[両手斧]アイアンテンペスト
82-79,[両手斧]シュトルムヴィント
82-80,[両手斧]アーマーブレイク
82-81,[両手斧]キーンエッジ
82-82,[両手斧]ウェポンブレイク
82-83,[両手斧]レイジングラッシュ
103-117,[両手斧]フルブレイク
103-118,[両手斧]スチールサイクロン
140-101,[両手斧]メタトロントーメント

104-6,[両手刀]壱之太刀・燕飛
104-7,[両手刀]弐之太刀・鋒縛
104-8,[両手刀]参之太刀・轟天
104-9,[両手刀]四之太刀・陽炎
104-10,[両手刀]五之太刀・陣風
104-11,[両手刀]六之太刀・光輝
104-12,[両手刀]七之太刀・雪風
104-13,[両手刀]八之太刀・月光
104-14,[両手刀]九之太刀・花車
140-106,[両手刀]零之太刀・回天

82-62,[両手鎌]スライス
82-63,[両手鎌]ダークハーベスト
82-64,[両手鎌]シャドーオブデス
82-65,[両手鎌]ナイトメアサイス
82-66,[両手鎌]スピニングサイス
82-67,[両手鎌]ボーパルサイス
82-68,[両手鎌]ギロティン
103-113,[両手鎌]クロスリーパー
103-114,[両手鎌]スパイラルヘル
140-99,[両手鎌]カスタロフィ

82-91,[両手槍]ダブルスラスト
82-92,[両手槍]サンダースラスト
82-93,[両手槍]ライデンスラスト
82-94,[両手槍]足払い
82-95,[両手槍]ペンタスラスト
82-96,[両手槍]ボーパルスラスト
82-97,[両手槍]スキュアー
103-121,[両手槍]大車輪
103-122,[両手槍]インパルスドライブ
140-103,[両手槍]ゲイルスコルグ

82-115,[弓術]フレイミングアロー
82-116,[弓術]ピアシングアロー
82-117,[弓術]ダリングアロー
82-119,[弓術]サイドワインダー
104-30,[弓術]ブラストアロー
104-31,[弓術]アーチングアロー
104-32,[弓術]エンピリアルアロー
140-107,[弓術]南無八幡

82-120,[射撃]ホットショット
82-121,[射撃]スプリットショット
82-122,[射撃]スナイパーショット
82-124,[射撃]スラッグショット
104-33,[射撃]ブラストショット
104-34,[射撃]ヘヴィショット
104-35,[射撃]デトネーター
140-108,[射撃]カラナック
