43-3,装備なし
43-4,レザートラウザ
43-5,クウィス
43-6,ズボン
43-7,忍袴
43-8,チェーンホーズ
43-9,リザードトラウザ
43-10,ラプトルトラウザ
43-11,初期装備
43-12,佩楯
43-13,リネンズボン
43-14,ホワイトズボン
43-15,王国従士制式下衣
43-16,王国騎士制式下衣
43-17,アイアンサブリガ
43-18,ブロンズサブリガ
43-19,ボーンサブリガ
43-20,下ばき
43-21,ウールスロップス
43-22,連邦軍師制式下衣
43-23,スロップス
43-24,ブレー
43-25,ダーククウィス
43-26,ホーズ
43-27,バトルホーズ
43-28,鋼鉄銃士隊制式股当
43-29,百人隊長股当
43-30,ガビアルクウィス
43-31,スケイルクウィス
43-32,ミスリルクウィス
43-33,種族装備
94-1,ファイタークウィス(AF1)
94-2,テンプルホーズ(AF1)
94-3,ヒーラーパンタロン(AF1)
94-4,ウィザードトンバン(AF1)
94-5,ワーロックタイツ(AF1)
94-6,ローグキュロット(AF1)
96-49,ガラントブリーチズ(AF1)
96-50,カオスフランチャー(AF1)
96-51,ビーストトラウザ(AF1)
96-52,コラルキャニオンズ(AF1)
96-53,ハンターブラッカエ(AF1)
99-4,明珍板佩楯(AF1)
99-5,乱波袴(AF1)
99-6,ドラケンブレー(AF1)
99-7,エボカースパッツ(AF1)
162-70,メガスシャルワー(AF1)
162-71,コルセアトルーズ(AF1)
162-72,パペトリチュリダル(AF1)
119-22,タイガートラウザ
119-23,アイアンクウィス
120-123,スチールクウィス
120-124,クァールトラウザ
120-125,アダマンクウィス
120-126,コーラルサブリガ
120-127,ノーブルズボン
121-0,シックブリーチズ
121-1,羅漢筒袴
121-2,ドラゴンクウィス
124-79,羅刹筒袴
124-80,クリムゾンクウィス
124-81,アダマンブリーチズ
124-82,オーガトラウザ
124-83,ケーニヒディヒリン
125-54,ウォーブレー
126-102,夜叉筒袴
126-103,白虎佩楯
126-104,ヘカトンサブリガ
126-105,エラントスロップス
126-106,フィッシャホーズ
126-107,チョコボホーズ
126-108,バガボンドホーズ
129-81,フィールドホーズ
129-82,修羅板佩楯
129-83,ゼニスズボン
129-84,ダスクトラウザ
129-85,ドラゴンサブリガ
133-64,ウォリアークウィス(AF2)
133-65,メレーホーズ(AF2)
133-66,クレリクパンタロン(AF2)
133-67,ソーサラートンバン(AF2)
133-68,デュエルタイツ(AF2)
133-69,アサシンキュロット(AF2)
133-70,ヴァラーブリーチズ(AF2)
133-71,アビスフランチャー(AF2)
133-72,モンスタートラウザ(AF2)
133-73,バードキャニオンズ(AF2)
133-74,スカウトブラッカエ(AF2)
133-75,早乙女板佩楯(AF2)
133-76,甲賀袴(AF2)
133-77,ウィルムブレー(AF2)
133-78,サマナースパッツ(AF2)
133-79,オステアスロップス
144-71,？？？タイツ
144-72,シェードタイツ
144-73,ガリシュズボン
144-74,シアーズボン
144-75,？？？ブレー
144-76,ノクトブレー
145-123,バイソンケックス
145-124,シャイルサラウィル
146-53,バローネコッシャレ
146-92,イギララッパ
148-26,アイゼンディヒリン
149-34,ロードクウィス
149-127,星座サブリガ
149-120,フェーミナサブリガ
150-59,八幡袴
150-60,ブレスドズボン
151-55,ワイズブラコーニ
153-26,ユニコンサブリガ
153-63,トレダースロップス
154-70,アルミナブレエット
155-2,ブラッククウィス
157-96,ナシラサラウィル
158-37,ホマムコッシャレ
158-99,黒トレダー脚？
159-6,クロウホーズ
153-122,ハイドラブレエット 
160-74,ハイドラホーズ
163-39,シパーヒゼレハ
163-40,ジャリダシャルバル
166-33,アミールディル
166-34,ペルワンサラウィル
166-35,イギトサラウィル
174-92,アレスフランチャー
174-93,スカディショウス
175-123,薄金膝甲
175-124,マルドゥクシャルワ
175-125,モリガンスロップス
182-21,デナリケックス
182-126,アスカルディル
182-127,ゴリアードトルーズ
185-103,シャドウクイシュ
186-10,シャドウトルーズ
157-30,エルヴショーツ
133-80,オパーラインホーズ
196-73,???
197-75,Unknown
198-66,Unknown
198-67,Unknown
199-2,Unknown
199-3,Unknown
199-61,Unknown
200-95,Unknown
204-69,Unknown
207-41,Unknown
214-34,Unknown
214-35,Unknown
214-36,Unknown
