43-34,装備なし
43-35,レザーハイブーツ
43-36,プレートレギンス
43-37,ソレア
43-38,忍脚絆
43-39,グリーヴ
43-40,リザードレデルセン
43-41,ラプトルレデルセン
43-42,初期装備
43-43,脛当
43-44,シューズ
43-45,ストライダーブーツ
43-46,王国従士制式鎖靴
43-47,王国騎士制式鎖靴
43-48,レギンス
43-49,ブロンズレギンス
43-50,ボーンレギンス
43-51,脚絆
43-52,チェスナットサボ
43-53,連邦軍師制式靴
43-54,アッシュクロッグ
43-55,ゲートル
43-56,ダークサバトン
43-57,ソックス
43-58,バトルブーツ
43-59,鋼鉄銃士隊制式鉄靴
43-60,百人隊長脛当
43-61,ガビアルグリーヴ
43-62,スケイルグリーヴ
43-63,ミスリルレギンス
43-64,種族装備
94-7,ファイターカリガ(AF1)
94-8,テンプルゲートル(AF1)
94-9,ヒーラーダックビル(AF1)
94-10,ウィザードサボ(AF1)
94-11,ワーロックブーツ(AF1)
94-12,ローグプーレーヌ(AF1)
96-54,ガラントレギンス(AF1)
96-55,カオスソルレット(AF1)
96-56,ビーストゲートル(AF1)
96-57,コラルスリッパー(AF1)
96-58,ハンターソックス(AF1)
99-8,明珍筒脛当(AF1)
99-9,乱波脚絆(AF1)
99-10,ドラケングリーヴ(AF1)
99-11,エボカーピガッシュ(AF1)
162-73,メガスチャルク(AF1)
162-74,コルセアブーツ(AF1)
162-75,パペトリバブーシュ(AF1)
119-24,タイガーレデルセン
119-25,アイアングリーヴ
121-3,スチールグリーヴ
121-4,クァールレデルセン
121-5,アダマンサバトン
121-6,コーラルレギンス
121-7,ノーブルパンプス
121-8,シックソルレット
121-9,羅漢脛当
121-10,ドラゴングリーヴ 
124-84,羅刹脛当
124-85,クリムゾングリーヴ
124-86,アダマンソルレット
124-87,オーガレデルセン
124-88,ケーニヒシュー 
125-55,ウォーブーツ
126-109,夜叉脛当
126-110,朱雀脛当
126-111,ヘカトンレギンス
126-112,エラントピガッシュ
126-113,フィッシャブーツ
126-114,チョコボブーツ
126-115,バガボンドブーツ
129-86,フィールドブーツ
129-87,修羅篠脛当
129-88,ゼニスパンプス
129-89,ダスクレデルセン
129-90,ドラゴンレギンス
133-81,ウォリアーカリガ(AF2)
133-82,メレーゲートル(AF2)
133-83,クレリクダックビル(AF2)
133-84,ソーサラーサボ(AF2)
133-85,デュエルブーツ(AF2)
133-86,アサシンプーレーヌ(AF2)
133-87,ヴァラーレギンス(AF2)
133-88,アビスソルレット(AF2)
133-89,モンスターゲートル(AF2)
133-90,バードスリッパー(AF2)
133-91,スカウトソックス(AF2)
133-92,早乙女筒脛当(AF2)
133-93,甲賀脚絆(AF2)
133-94,ウィルムグリーヴ(AF2)
133-95,サマナーピガッシュ(AF2)
133-96,オステアサボ
137-115,ウェーダー
144-77,？？？スパッツ
144-78,シェードスパッツ
144-79,ガリシュパンプス
144-80,シアーパンプス
144-81,？？？ゲートル
144-82,ノクトゲートル
145-125,バイソンゲマッシュ
145-126,シャイルクラッコー
146-54,バローネガンビエラ
146-93,イギラファラッシュ
148-27,アイゼンシュー
149-35,ロードサバトン
150-61,八幡脛当
150-62,ブレスドパンプス
151-56,ワイズピガッシュ
153-27,ユニコンレギンス
153-64,トレダーピガッシュ
154-71,アルミナソルレ
155-3,ブラックソルレット
157-97,ナシラクラッコー
158-38,ホマムガンビエラ
158-100,黒トレダー足？
159-7,クロウゲートル
153-123,ハイドラソルレ 
160-75,ハイドラブーツ
163-41,シパーヒブーツ
163-42,ジャリダネール
166-36,アミールブーツ
166-37,ペルワンクラッコー
166-38,イギトクラッコー
174-94,アレスソルレット
174-95,スカディジャンボー
175-126,薄金脛当
175-127,マルドゥククラッコ
176-0,モリガンピガッシュ
182-22,デナリゲマッシュ
183-0,アスカルガンビエラ
183-1,ゴリアードクロッグ
185-104,シャドウサバトン
186-11,シャドウクロッグ
196-124,ドリームブーツ
157-47,無し
133-97,オパーラインブーツ
195-87,Unkown
196-74,???
196-124,Unknown
198-68,Unknown
198-69,Unknown
199-4,Unknown
199-5,Unknown
199-62,Unknown
200-96,Unknown
201-34,Unknown
207-42,Unknown
214-37,Unknown
214-38,Unknown
214-39,Unknown
