45-70,素手
45-97,[格闘]アベンジャー
45-98,[格闘]ダークカタール
45-99,[格闘]カタール
45-100,[格闘]ジャマダル
45-101,[格闘]エグゾセ
45-102,[格闘]ダーククロー
45-103,[格闘]クロー
45-104,[格闘]ミスリルクロー
45-105,[格闘]サーメットクロー
45-106,[格闘]セスタス
45-107,[格闘]リザードセスタス
45-108,[格闘]ポイズンセスタス
45-109,[格闘]ダークナックル
45-110,[格闘]ブロンズナックル
45-111,[格闘]ブラスナックル
45-112,[格闘]メタルナックル
45-113,[格闘]ミスリルナックル
45-114,[格闘]ケーニヒスナックル
45-115,[格闘]ダイアナックル
45-116,[格闘]マノプル
45-117,[格闘]ゴールドパタ
45-118,[格闘]パタ
45-119,[格闘]ボーンパタ
45-120,[格闘]キャットバグナウ
45-121,[格闘]ブラスバグナウ
45-122,[格闘]バグナウ
45-123,[格闘]ルーンバグナウ(ﾙｰﾝ)
142-38,[格闘]スファライ(ﾚﾘｯｸ5)
149-87,[格闘]アダーガ
166-91,[格闘]サインティ
170-8,[格闘]ダークサインティ
171-109,[格闘]アダマンサインティ
172-51,[格闘]ブラックアダーガ
173-77,[格闘]ハデスサインティ
113-31,[短剣]バリアントナイフ
113-32,[短剣]ダークナイフ
113-33,[短剣]ブロンズナイフ
113-34,[短剣]ナイフ
113-35,[短剣]ミスリルナイフ
113-36,[短剣]サーメットナイフ
113-37,[短剣]ミセリコルデ
113-38,[短剣]ブロンズダガー
113-39,[短剣]ブラスダガー
113-40,[短剣]ダガー
113-41,[短剣]ミスリルダガー
113-42,[短剣]ダークバゼラード
113-43,[短剣]バゼラード
113-44,[短剣]ミスリルバゼラード
113-45,[短剣]ダークククリ
113-46,[短剣]ククリ
113-47,[短剣]ミスリルククリ
113-48,[短剣]サーメットククリ
113-49,[短剣]ハートスナッチャー
113-50,[短剣]パリーングナイフ
113-51,[短剣]連邦魔戦士制式短剣
113-52,[短剣]クリス
113-53,[短剣]トリプルダガー
113-54,[短剣]ボーンナイフ
114-19,[短剣]カルド
142-032,[短剣]マンダウ(ﾚﾘｯｸ5)
142-036,[短剣]名称不明
148-4,[短剣]ハルパー
164-34,[短剣]ジャンビア
172-50,[短剣]パラディウムダガー
173-36,[短剣]御方庖丁
175-23,[短剣]キマイラジャンビア
113-55,[片手剣]クリシュマルド
113-56,[片手剣]スモールソード
113-57,[片手剣]ビルボ
113-58,[片手剣]准銃士制式小剣
113-59,[片手剣]ジュワユース
113-60,[片手剣]シュレイガー
113-61,[片手剣]デュエルレイピア
113-62,[片手剣]デーゲン
113-63,[片手剣]ミスリルデーゲン
113-64,[片手剣]エペ
113-65,[片手剣]フルーレ
113-66,[片手剣]シュヴェールト
113-67,[片手剣]近衛騎士制式帯剣
113-99,[片手剣]スパタ
113-100,[片手剣]ゴールドソード
113-101,[片手剣]ロングソード
113-102,[片手剣]ナイトソード
113-103,[片手剣]サーベル
113-104,[片手剣]ルーンブレード(ﾙｰﾝ)
113-105,[片手剣]サパラ
113-106,[片手剣]シミター
113-107,[片手剣]タルワール
113-108,[片手剣]ハンガー
113-109,[片手剣]リディル
113-110,[片手剣]ダークファルシオン
113-111,[片手剣]プラチナカトラス
113-112,[片手剣]ファルシオン
113-113,[片手剣]カトラス
113-114,[片手剣]サイフォス
113-115,[片手剣]ブラスサイフォス
113-116,[片手剣]グラディウス
113-117,[片手剣]ダークソード
113-118,[片手剣]ブロンズソード
113-119,[片手剣]ジャドプラーテ
113-120,[片手剣]アイアンソード
113-121,[片手剣]ミスリルソード
113-122,[片手剣]ダインスレイフ
113-123,[片手剣]サーメットソード
113-124,[片手剣]アネラス
113-125,[片手剣]カッツバルゲル
113-126,[片手剣]ブロードソード
113-127,[片手剣]珊瑚の剣
114-0,[片手剣]フロッティ
114-1,[片手剣]バスタードソード
114-2,[片手剣]ハンティングソード
114-3,[片手剣]エスパドン
114-4,[片手剣]ナズ
114-5,[片手剣]古代の剣
114-6,[片手剣]カイザーソード
114-7,[片手剣]ダイセクター
114-8,[片手剣]名称不明09
114-9,[片手剣]グラットンソード
114-10,[片手剣]ウィングソード
142-031,[片手剣]エクスカリバー(ﾚﾘｯｸ5)
150-111,[片手剣]ショテル
162-102,[片手剣]キリジ
165-0,[片手剣]マクアフティル
170-7,[片手剣]ダークキリジ
171-1,[片手剣]ドラゴンスレイヤー
171-108,[片手剣]サングインソード
175-24,[片手剣]オートクレール
183-106,[片手剣]スチールキリジ
184-99,[片手剣]ホフド
112-125,[片手棍]名称不明
113-14,[片手棍]オークカジェル
113-15,[片手棍]ボーンカジェル
113-16,[片手棍]ブッディガン
113-17,[片手棍]ダークメイス
113-18,[片手棍]ブロンズメイス
113-19,[片手棍]プラチナメイス
113-20,[片手棍]メイス
113-21,[片手棍]ミスリルメイス
113-22,[片手棍]アッシュクラブ
113-23,[片手棍]チェスナットクラブ
113-24,[片手棍]シェルバスター
113-25,[片手棍]グレートクラブ
113-26,[片手棍]ダークモール
113-27,[片手棍]ブロンズハンマー
113-28,[片手棍]ブラスハンマー
113-29,[片手棍]ウォーハンマー
113-30,[片手棍]モール
113-68,[片手棍]セプター
113-69,[片手棍]ダークロッド
113-70,[片手棍]ブロンズロッド
113-71,[片手棍]ブラスロッド
113-72,[片手棍]ロッド
113-73,[片手棍]ミスリルロッド
113-74,[片手棍]ボーンロッド
113-75,[片手棍]エボニーワンド
113-76,[片手棍]ユーワンド
113-77,[片手棍]メープルワンド
113-78,[片手棍]神代の錫
113-79,[片手棍]ミステルテイン
113-80,[片手棍]ローズワンド
113-81,[片手棍]チェスナットワンド
113-82,[片手棍]ウィローワンド
113-83,[片手棍]カドゥケウス
113-84,[片手棍]名称不明01
113-85,[片手棍]名称不明02
113-86,[片手棍]チョコボワンド
113-87,[片手棍]名称不明04
113-88,[片手棍]名称不明05
113-89,[片手棍]名称不明06
113-90,[片手棍]スターロッド
113-91,[片手棍]アスクレピオス
113-92,[片手棍]呪術の杖
113-93,[片手棍]スキールニルワンド
113-94,[片手棍]アースワンド
113-95,[片手棍]名称不明10
113-96,[片手棍]名称不明11
113-97,[片手棍]名称不明12
113-98,[片手棍]フェイワンド
114-11,[片手棍]ミョルニル(ﾚﾘｯｸ5)
142-33,[片手棍]ルーンロッド(ﾙｰﾝ)
142-34,[片手棍]名称不明15
149-86,[片手棍]モルゲンステルン
150-112,[片手棍]名称不明
159-102,[片手棍]チャームロッド
160-123,[片手棍]モグロッド
164-35,[片手棍]ジャダグナ
170-37,[片手棍]ノマドモグロッド
175-46,[片手棍]胡鬼板
183-105,[片手棍]ブラスジャダグナ
112-126,[片手斧]ブロンズアクス
112-127,[片手斧]ブラスアクス
113-0,[片手斧]バトルアクス
113-1,[片手斧]ミスリルアクス
113-2,[片手斧]ボーンアクス
113-3,[片手斧]タバルジン
113-4,[片手斧]ダークタバール
113-5,[片手斧]タバール
113-6,[片手斧]ダークアクス
113-7,[片手斧]ルーンアクス
113-8,[片手斧]ナトジーク
113-9,[片手斧]ダークピック
113-10,[片手斧]ウォーピック
113-11,[片手斧]ミスリルピック
113-12,[片手斧]ボーンピック
113-13,[片手斧]オーキシュアクス
142-037,[片手斧]ガトラー(ﾚﾘｯｸ5)
145-75,[片手斧]トマホーク
171-106,[片手斧]シリウスアクス
114-12,[片手刀]不動
114-13,[片手刀]脇指
114-14,[片手刀]小太刀
114-15,[片手刀]桜吹雪
114-16,[片手刀]兜割
114-17,[片手刀]雁行
114-18,[片手刀]苦無
142-035,[片手刀]鬼哭
152-17,[片手刀]釵
158-69,[片手刀]緋連雀
171-107,[片手刀]龍門
172-49,[片手刀]隼
183-104,[片手刀]十六夜
45-71,[盾]名称不明01
45-72,[盾]名称不明02
45-73,[盾]リッターシルト
45-74,[盾]リッターシルト(予備
45-75,[盾]カイトシールド
45-76,[盾]ヒーターシールド
45-77,[盾]王立騎士団制式盾
45-78,[盾]神殿騎士団制式盾
45-79,[盾]近衛騎士制式盾
45-80,[盾]ダークシールド
45-81,[盾]甲羅の盾
45-82,[盾]畳楯
45-83,[盾]スクトゥム
45-84,[盾]タワーシールド
45-85,[盾]フェアリーシールド
45-86,[盾]メープルシールド
45-87,[盾]ラワンシールド
45-88,[盾]オークシールド
45-89,[盾]エルムシールド
45-90,[盾]マホガニーシールド
45-91,[盾]アスピス
45-92,[盾]ゴールドバックラー
45-93,[盾]タージェ
45-94,[盾]バックラー
45-95,[盾]ダークバックラー
45-96,[盾]オーキシュシールド
122-75,[盾]ジェネラルシールド
122-76,[盾]ケーニヒシールド
130-60,[盾]アケロンシールド
155-85,[盾]イージス
155-99,[盾]甲羅の盾(別ver.)
164-126,[盾]タリカー
164-127,[盾]ジャヌイヤ

