43-65,素手
44-7,[格闘]アベンジャー
44-8,[格闘]ダークカタール
44-9,[格闘]カタール
44-10,[格闘]ジャマダル
44-11,[格闘]エグゾセ
44-12,[格闘]ダーククロー
44-13,[格闘]クロー
44-14,[格闘]ミスリルクロー
44-15,[格闘]サーメットクロー
44-16,[格闘]セスタス
44-17,[格闘]リザードセスタス
44-18,[格闘]ポイズンセスタス
44-19,[格闘]ダークナックル
44-20,[格闘]ブロンズナックル
44-21,[格闘]ブラスナックル
44-22,[格闘]メタルナックル
44-23,[格闘]ミスリルナックル
44-24,[格闘]ケーニヒスナックル
44-25,[格闘]ダイアナックル
44-26,[格闘]マノプル
44-27,[格闘]ゴールドパタ
44-28,[格闘]パタ
44-29,[格闘]ボーンパタ
44-30,[格闘]キャットバグナウ
44-31,[格闘]ブラスバグナウ
44-32,[格闘]バグナウ
44-33,[格闘]ルーンバグナウ(ﾙｰﾝ)
138-2,[格闘]スファライ(ﾚﾘｯｸ5)
149-43,[格闘]アダーガ
166-39,[格闘]サインティ
169-118,[格闘]ダークサインティ
171-68,[格闘]アダマンサインティ
172-21,[格闘]ブラックアダーガ
173-70,[格闘]ハデスサインティ
44-47,[短剣]バリアントナイフ
44-48,[短剣]ダークナイフ
44-49,[短剣]ブロンズナイフ
44-50,[短剣]ナイフ
44-51,[短剣]ミスリルナイフ
44-52,[短剣]サーメットナイフ
44-53,[短剣]ミセリコルデ
44-54,[短剣]ブロンズダガー
44-55,[短剣]ブラスダガー
44-56,[短剣]ダガー
44-57,[短剣]ミスリルダガー
44-58,[短剣]ダークバゼラード
44-59,[短剣]バゼラード
44-60,[短剣]ミスリルバゼラード
44-61,[短剣]ダークククリ
44-62,[短剣]ククリ
44-63,[短剣]ミスリルククリ
44-64,[短剣]サーメットククリ
44-65,[短剣]ハートスナッチャー
44-66,[短剣]パリーングナイフ
44-67,[短剣]連邦魔戦士制式短剣
44-68,[短剣]クリス
44-69,[短剣]トリプルダガー
44-70,[短剣]ボーンナイフ
99-19,[短剣]カルド
137-116,[短剣]マンダウ(ﾚﾘｯｸ5)
138-0,[短剣]名称不明
147-125,[短剣]ハルパー
163-117,[短剣]ジャンビア
172-20,[短剣]パラディウムダガー
173-29,[短剣]御方庖丁
175-9,[短剣]キマイラジャンビア
44-71,[片手剣]クリシュマルド
44-72,[片手剣]スモールソード
44-73,[片手剣]ビルボ
44-74,[片手剣]准銃士制式小剣
44-75,[片手剣]ジュワユース
44-76,[片手剣]シュレイガー
44-77,[片手剣]デュエルレイピア
44-78,[片手剣]デーゲン
44-79,[片手剣]ミスリルデーゲン
44-80,[片手剣]エペ
44-81,[片手剣]フルーレ
44-82,[片手剣]シュヴェールト
44-83,[片手剣]近衛騎士制式帯剣
45-11,[片手剣]スパタ
45-12,[片手剣]ゴールドソード
45-13,[片手剣]ロングソード
45-14,[片手剣]ナイトソード
45-15,[片手剣]サーベル
45-16,[片手剣]ルーンブレード(ﾙｰﾝ)
45-17,[片手剣]サパラ
45-18,[片手剣]シミター
45-19,[片手剣]タルワール
45-20,[片手剣]ハンガー
45-21,[片手剣]リディル
45-22,[片手剣]ダークファルシオン
45-23,[片手剣]プラチナカトラス
45-24,[片手剣]ファルシオン
45-25,[片手剣]カトラス
45-26,[片手剣]サイフォス
45-27,[片手剣]ブラスサイフォス
45-28,[片手剣]グラディウス
45-29,[片手剣]ダークソード
45-30,[片手剣]ブロンズソード
45-31,[片手剣]ジャドプラーテ
45-32,[片手剣]アイアンソード
45-33,[片手剣]ミスリルソード
45-34,[片手剣]ダインスレイフ
45-35,[片手剣]サーメットソード
45-36,[片手剣]アネラス
45-37,[片手剣]カッツバルゲル
45-38,[片手剣]ブロードソード
45-39,[片手剣]珊瑚の剣
45-40,[片手剣]フロッティ
45-41,[片手剣]バスタードソード
45-42,[片手剣]ハンティングソード
45-43,[片手剣]エスパドン
45-44,[片手剣]ナズ
45-45,[片手剣]古代の剣
45-46,[片手剣]カイザーソード
45-47,[片手剣]ダイセクター
45-48,[片手剣]名称不明
45-49,[片手剣]グラットンソード
45-50,[片手剣]ウィングソード
121-13,[片手剣]エクスカリバー(ﾚﾘｯｸ5)
150-63,[片手剣]ショテル
162-101,[片手剣]キリジ
164-113,[片手剣]マクアフティル
169-117,[片手剣]ダークキリジ
170-111,[片手剣]ドラゴンスレイヤー
171-67,[片手剣]サングインソード
175-10,[片手剣]オートクレール
183-81,[片手剣]スチールキリジ
184-88,[片手剣]ホフド
43-81,[片手棍]名称不明
43-118,[片手棍]オークカジェル
43-119,[片手棍]ボーンカジェル
43-120,[片手棍]ブッディガン
43-121,[片手棍]ダークメイス
43-122,[片手棍]ブロンズメイス
43-123,[片手棍]プラチナメイス
43-124,[片手棍]メイス
43-125,[片手棍]ミスリルメイス
43-126,[片手棍]アッシュクラブ
43-127,[片手棍]チェスナットクラブ
44-0,[片手棍]シェルバスター
44-1,[片手棍]グレートクラブ
44-2,[片手棍]ダークモール
44-3,[片手棍]ブロンズハンマー
44-4,[片手棍]ブラスハンマー
44-5,[片手棍]ウォーハンマー
44-6,[片手棍]モール
44-108,[片手棍]セプター
44-109,[片手棍]ダークロッド
44-110,[片手棍]ブロンズロッド
44-111,[片手棍]ブラスロッド
44-112,[片手棍]ロッド
44-113,[片手棍]ミスリルロッド
44-114,[片手棍]ボーンロッド
44-115,[片手棍]エボニーワンド
44-116,[片手棍]ユーワンド
44-117,[片手棍]メープルワンド
44-118,[片手棍]神代の錫
44-119,[片手棍]ミステルテイン
44-120,[片手棍]ローズワンド
44-121,[片手棍]チェスナットワンド
44-122,[片手棍]ウィローワンド
44-123,[片手棍]カドゥケウス
44-124,[片手棍]名称不明
44-125,[片手棍]名称不明
44-126,[片手棍]チョコボワンド
44-127,[片手棍]名称不明
45-0,[片手棍]名称不明
45-1,[片手棍]名称不明
45-2,[片手棍]スターロッド
45-3,[片手棍]アスクレピオス
45-4,[片手棍]呪術の杖
45-5,[片手棍]スキールニルワンド
45-6,[片手棍]アースワンド
45-7,[片手棍]名称不明10
45-8,[片手棍]名称不明11
45-9,[片手棍]名称不明12
45-10,[片手棍]フェイワンド
45-69,[片手棍]ミョルニル(ﾚﾘｯｸ5)
137-118,[片手棍]ルーンロッド(ﾙｰﾝ)
137-125,[片手棍]名称不明15
149-36,[片手棍]モルゲンステルン
150-64,[片手棍]名称不明
159-95,[片手棍]チャームロッド
160-116,[片手棍]モグロッド
163-118,[片手棍]ジャダグナ
170-30,[片手棍]ノマドモグロッド
175-39,[片手棍]胡鬼板
183-80,[片手棍]ブラスジャダグナ
43-94,[片手斧]ブロンズアクス
43-95,[片手斧]ブラスアクス
43-96,[片手斧]バトルアクス
43-97,[片手斧]ミスリルアクス
43-98,[片手斧]ボーンアクス
43-99,[片手斧]タバルジン
43-100,[片手斧]ダークタバール
43-101,[片手斧]タバール
43-102,[片手斧]ダークアクス
43-103,[片手斧]ルーンアクス
43-104,[片手斧]ナトジーク
43-105,[片手斧]ダークピック
43-106,[片手斧]ウォーピック
43-107,[片手斧]ミスリルピック
43-108,[片手斧]ボーンピック
43-109,[片手斧]オーキシュアクス
138-1,[片手斧]ガトラー(ﾚﾘｯｸ5)
144-88,[片手斧]トマホーク
171-64,[片手斧]シリウスアクス
99-12,[片手刀]不動
99-13,[片手刀]脇指
99-14,[片手刀]小太刀
99-15,[片手刀]桜吹雪
99-16,[片手刀]兜割
99-17,[片手刀]雁行
99-18,[片手刀]苦無
137-126,[片手刀]鬼哭
152-10,[片手刀]釵
158-40,[片手刀]緋連雀
171-66,[片手刀]龍門
172-19,[片手刀]隼
183-79,[片手刀]十六夜
43-82,[両手剣]傭兵騎士団長大剣
43-83,[両手剣]ダーククレイモア
43-84,[両手剣]クレイモア
43-85,[両手剣]ミスリルクレイモア
43-86,[両手剣]グロリアスソード
43-87,[両手剣]アロンダイト
43-88,[両手剣]ツバイハンダー
43-89,[両手剣]トゥハンドソード
43-90,[両手剣]グレートソード
43-91,[両手剣]近衛騎士制式大剣
43-92,[両手剣]フランベルジュ
43-93,[両手剣]フォセ
121-11,[両手剣]ブラッディソード
121-12,[両手剣]ラグナロク(ﾚﾘｯｸ5)
121-14,[両手剣]バルムンク
144-87,[両手剣]ファルクス
149-38,[両手剣]ダークファルクス
149-39,[両手剣]名称不明
163-115,[両手剣]アルゴル
170-113,[両手剣]ゴールドアルゴル
45-51,[両手棍]エルムスタッフ
45-52,[両手棍]ホリースタッフ
45-53,[両手棍]オークスタッフ
45-54,[両手棍]アッシュスタッフ
45-55,[両手棍]マホガニースタッフ
45-56,[両手棍]共和軍団兵制式戦杖
45-57,[両手棍]連邦賢者制式杖
45-58,[両手棍]スパイクドクラブ
45-59,[両手棍]ロックマッシャー
45-60,[両手棍]エボニーポール
45-61,[両手棍]エルムポール
45-62,[両手棍]ホリーポール
45-63,[両手棍]オークポール
45-64,[両手棍]アッシュポール
45-65,[両手棍]神代の杖
45-66,[両手棍]マホガニーポール
45-67,[両手棍]ルーンスタッフ(ﾙｰﾝ)
45-68,[両手棍]モンスターシグナ
126-117,[両手棍]ダークスタッフ
126-118,[両手棍]ウォータスタッフ
126-119,[両手棍]ウィンドスタッフ
126-120,[両手棍]アイススタッフ
126-121,[両手棍]サンダースタッフ
