42-56,装備なし
42-57,レザーベスト
42-58,ブレストプレート
42-59,チュニック
42-60,忍上衣
42-61,チェーンメイル
42-62,リザードジャーキン
42-63,ラプトルジャーキン
42-64,初期装備
42-65,腹当
42-66,クローク
42-67,シルククローク
42-68,王国従士制式鎖帷子
42-69,王国騎士制式鎖帷子
42-70,パッデッドアーマー
42-71,ブロンズハーネス
42-72,ボーンハーネス
42-73,拳法着
42-74,ウールローブ
42-75,連邦軍師制式コート
42-76,ローブ
42-77,ダブレット
42-78,ダークキュイラス
42-79,ガンビスン
42-80,バトルジュポン
42-81,鋼鉄銃士隊制式胴鎧
42-82,百人隊長鎖帷子
42-83,ガビアルメイル
42-84,スケイルメイル
42-85,ミスリルブレスト
42-86,種族装備
42-87,アダマンブレスト
42-88,カーディナルベスト
42-89,スコピオハーネス
42-90,デーモンハーネス
42-91,ロードキュイラス
42-92,柔術着
42-93,王国騎士制式服
42-94,アクトン
42-95,ホーバージョン
42-96,バーニー
42-97,戦忍着
42-98,アースダブレット
42-99,ブリガンダイン
93-112,ジュストコール
93-113,ブラッククローク
93-114,バーミリオクローク
93-115,ブルーコタルディ
93-116,ブラックコタルディ
93-117,ファイターロリカ(AF1)
93-118,テンプルシクラス(AF1)
93-119,ヒーラーブリオー(AF1)
93-120,ウィザードコート(AF1)
93-121,ワーロックタバード(AF1)
93-122,ローグベスト(AF1)
96-39,ガラントサーコート(AF1)
96-40,カオスキュイラス(AF1)
96-41,ビーストジャック(AF1)
96-42,コラルジュストコル(AF1)
96-43,ハンタージャーキン(AF1)
98-124,明珍胴丸(AF1)
98-125,乱波鎖帷子(AF1)
98-126,ドラケンメイル(AF1)
98-127,エボカーダブレット(AF1)
162-64,メガズジュバ(AF1)
162-65,コルセアフラック(AF1)
162-66,パペトリトベ(AF1)
119-18,タイガージャーキン
119-19,アイアンスケイル
120-107,スチールスケイル
120-108,クァールジャーキン
120-109,アダマンキュイラス
120-110,コーラルハーネス
120-111,ノーブルチュニック
120-112,ホーバーク
120-113,羅漢作務衣
120-114,ドラゴンメイル
124-69,羅刹作務衣
124-70,クリムゾンスケイル
124-71,アダマンホーバーク
124-72,オーガジャーキン
124-73,ケーニヒキューラス
125-52,ウォーアクトン
126-87,ホーリーブレスト
126-88,夜叉作務衣
126-89,麒麟大袖
126-90,ヘカトンハーネス
126-91,エラントウプランド
126-92,フィッシャチュニカ
126-93,チョコボジャック
126-94,バガボンドチュニカ
129-69,フィールドチュニカ
129-70,修羅闘着
129-71,ダルマティカ
129-72,カラパスブレスト
129-73,ダスクジャーキン
129-74,ドラゴンハーネス
133-28,ウォリアーロリカ(AF2)
133-29,メレーシクラス(AF2)
133-30,クレリクブリオー(AF2)
133-31,ソーサラーコート(AF2)
133-32,デュエルタバード(AF2)
133-33,アサシンベスト(AF2)
133-34,ヴァラーサーコート(AF2)
133-35,アビスキュイラス(AF2)
133-36,モンスタージャック(AF2)
133-37,バードジュストコル(AF2)
133-38,スカウトジャーキン(AF2)
133-39,早乙女胴丸(AF2)
133-40,甲賀鎖帷子(AF2)
133-41,ウィルムメイル(AF2)
133-42,サマナーダブレット(AF2)
133-43,スコピオブレスト
133-44,オステアローブ
137-101,王国制式礼服
137-102,連邦制式礼服
137-103,共和国制式礼服
137-104,木彫師エプロン
137-105,鍛冶師エプロン
137-106,裁縫師エプロン
137-107,錬金術師エプロン
137-108,骨彫師エプロン
137-109,漁師エプロン
137-110,革細工師エプロン
137-111,調理師エプロン
137-112,彫金師エプロン
144-59,？？？ハーネス
144-60,シェードハーネス
144-61,ガリシュチュニック
144-62,シアーチュニック
144-63,セリーズダブレット
144-64,ノクトダブレット
145-119,バイソンジャケット
145-120,シャイルマンティル
146-51,バローネコラッツァ
146-90,イギラウエスキット
148-24,アイゼンブルスト
150-55,八幡胴丸
150-56,ブレスドブリオー
151-53,シャジュブル
153-24,ユニコンハーネス
153-61,トレダーサイオ
154-68,アルミナオーベール
155-0,ブラストロン
157-94,ナシラマンティル
158-35,ホマムコラッツァ
158-97,黒トレダー胴？
159-4,クロウジュポン
159-88,ドリームローブ
153-120,ハイドラオーベール 
160-72,ハイドラジュポン
163-35,シパーヒジョシャン
163-36,ジャリダペティ
166-27,アミールコラジン
166-28,ペルワンカザガンド
166-29,イギトゴムレフ
170-88,コルセレット
170-89,弓道着
174-88,アレスキュイラス
174-89,スカディクウィリ
175-117,薄金腹巻
175-118,マルドゥクジュバ
175-119,モリガンローブ
182-114,ジョッキー服(橙)
182-115,ジョッキー服(黒)
182-116,ジョッキー服(紫)
182-117,ジョッキー服(水)
182-118,ジョッキー服(青)
182-119,ジョッキー服(赤)
182-120,ジョッキー服(白)
182-121,ジョッキー服(緑)
182-19,デナリジャケット
182-122,アスカルコラジン
182-123,ゴリアードサイオ
184-74,ヴァルハラブレスト
185-101,シャドウプレート
186-8,シャドウコート
157-28,エルヴトップ
143-23,おみな浴衣
133-45,オパーラインドレス
196-71,???
196-123,???
198-62,Unknown
198-63,Unknown
198-126,Unknown
198-127,Unknown
199-59,Unknown
200-93,Unknown
204-68,Unknown
207-39,Unknown
214-28,Unknown
214-29,Unknown
214-30,Unknown
214-101,Unknown
214-102,Unknown
