80-41,[格闘]コンボ
80-42,[格闘]タックル
80-43,[格闘]短勁
80-44,[格闘]バックハンドブロー
80-45,[格闘]乱撃
80-46,[格闘]スピンアタック
80-47,[格闘]空鳴拳
102-78,[格闘]双竜脚
102-79,[格闘]夢想阿修羅拳
140-30,[格闘]ファイナルヘブン

80-48,[短剣]ワスプスティング
80-49,[短剣]ガストスラッシュ
80-50,[短剣]シャドーステッチ
80-51,[短剣]バイパーバイト
80-52,[短剣]サイクロン
80-53,[短剣]エナジースティール
80-54,[短剣]エナジードレイン
80-55,[短剣]ダンシングエッジ
102-80,[短剣]シャークバイト
102-81,[短剣]エヴィサレーション
140-31,[短剣]マーシーストローク

80-32,[片手剣]ファストブレード
80-33,[片手剣]バーニングブレード
80-34,[片手剣]レッドロータス
80-37,[片手剣]フラットブレード
80-35,[片手剣]シャインブレード 
80-36,[片手剣]セラフブレード
80-38,[片手剣]サークルブレード
80-39,[片手剣]スピリッツウィズイン
80-40,[片手剣]ボーパルブレード
102-76,[片手剣]スウィフトブレード
102-77,[片手剣]サベッジブレード
140-29,[片手剣]ナイツオブラウンド

80-70,[片手棍]シャインストライク
80-71,[片手棍]セラフストライク
80-72,[片手棍]ブレインシェイカー
80-73,[片手棍]スターライト
80-74,[片手棍]ムーンライト
80-75,[片手棍]スカルブレイカー
80-76,[片手棍]トゥルーストライク
80-77,[片手棍]ジャッジメント
102-86,[片手棍]ヘキサストライク
102-87,[片手棍]ブラックヘイロー
140-34,[片手棍]ランドグリース

80-56,[片手斧]レイジングアクス
80-57,[片手斧]スマッシュ
80-58,[片手斧]ラファールアクス
80-59,[片手斧]アバランチアクス
80-60,[片手斧]スピニングアクス
80-61,[片手斧]ランページ
80-62,[片手斧]カラミティ
102-82,[片手斧]ミストラルアクス
102-83,[片手斧]デシメーション
140-32,[片手斧]オンスロート

102-96,[片手刀]臨
102-97,[片手刀]烈
102-98,[片手刀]滴
102-99,[片手刀]凍
102-100,[片手刀]地
102-101,[片手刀]影
102-102,[片手刀]迅
102-103,[片手刀]天
102-104,[片手刀]空
140-39,[片手刀]生者必滅

80-85,[両手剣]ハードスラッシュ
80-86,[両手剣]パワースラッシュ
80-87,[両手剣]フロストバイト
80-88,[両手剣]フリーズバイト
80-89,[両手剣]ショックウェーブ
80-90,[両手剣]クレセントムーン
80-91,[両手剣]シックルムーン
102-90,[両手剣]スピンスラッシュ
102-91,[両手剣]グランドストライク
140-36,[両手剣]スカージ

80-99,[両手棍]ヘヴィスイング
80-100,[両手棍]ロッククラッシャー
80-101,[両手棍]アースクラッシャー
80-102,[両手棍]スターバースト
80-103,[両手棍]サンバースト
80-104,[両手棍]シェルクラッシャー 
80-105,[両手棍]フルスイング
102-94,[両手棍]スピリットテーカー
102-95,[両手棍]レトリビューション
140-38,[両手棍]タルタロスゲート

80-78,[両手斧]シールドブレイク
80-79,[両手斧]アイアンテンペスト
80-80,[両手斧]シュトルムヴィント
80-81,[両手斧]アーマーブレイク
80-82,[両手斧]キーンエッジ
80-83,[両手斧]ウェポンブレイク
80-84,[両手斧]レイジングラッシュ
102-88,[両手斧]フルブレイク
102-89,[両手斧]スチールサイクロン
140-35,[両手斧]メタトロントーメント

102-105,[両手刀]壱之太刀・燕飛
102-106,[両手刀]弐之太刀・鋒縛
102-107,[両手刀]参之太刀・轟天
102-108,[両手刀]四之太刀・陽炎
102-109,[両手刀]五之太刀・陣風
102-110,[両手刀]六之太刀・光輝
102-111,[両手刀]七之太刀・雪風
102-112,[両手刀]八之太刀・月光
102-113,[両手刀]九之太刀・花車
140-40,[両手刀]零之太刀・回天

80-63,[両手鎌]スライス
80-64,[両手鎌]ダークハーベスト
80-65,[両手鎌]シャドーオブデス
80-66,[両手鎌]ナイトメアサイス
80-67,[両手鎌]スピニングサイス
80-68,[両手鎌]ボーパルサイス
80-69,[両手鎌]ギロティン
102-84,[両手鎌]クロスリーパー
102-85,[両手鎌]スパイラルヘル
140-33,[両手鎌]カスタロフィ

80-92,[両手槍]ダブルスラスト
80-93,[両手槍]サンダースラスト
80-94,[両手槍]ライデンスラスト
80-95,[両手槍]足払い
80-96,[両手槍]ペンタスラスト
80-97,[両手槍]ボーパルスラスト
80-98,[両手槍]スキュアー
102-92,[両手槍]大車輪
102-93,[両手槍]インパルスドライブ
140-37,[両手槍]ゲイルスコルグ

80-117,[弓術]フレイミングアロー
80-118,[弓術]ピアシングアロー
80-119,[弓術]ダリングアロー
80-121,[弓術]サイドワインダー
103-1,[弓術]ブラストアロー
103-2,[弓術]アーチングアロー
103-3,[弓術]エンピリアルアロー
140-41,[弓術]南無八幡

80-122,[射撃]ホットショット
80-123,[射撃]スプリットショット
80-124,[射撃]スナイパーショット
80-126,[射撃]スラッグショット
103-4,[射撃]ブラストショット
103-5,[射撃]ヘヴィショット
103-6,[射撃]デトネーター
140-42,[射撃]カラナック
