38-30,装備なし
38-31,レザートラウザ
38-32,クウィス
38-33,ズボン
38-34,忍袴
38-35,チェーンホーズ
38-36,リザードトラウザ
38-37,ラプトルトラウザ
38-38,初期装備
38-39,佩楯
38-40,リネンズボン
38-41,ホワイトズボン
38-42,王国従士制式下衣
38-43,王国騎士制式下衣
38-44,アイアンサブリガ
38-45,ブロンズサブリガ
38-46,ボーンサブリガ
38-47,下ばき
38-48,ウールスロップス
38-49,連邦軍師制式下衣
38-50,スロップス
38-51,ブレー
38-52,ダーククウィス
38-53,ホーズ
38-54,バトルホーズ
38-55,鋼鉄銃士隊制式股当
38-56,百人隊長股当
38-57,ガビアルクウィス
38-58,スケイルクウィス
38-59,ミスリルクウィス
38-60,種族装備
93-94,ファイタークウィス(AF1)
93-95,テンプルホーズ(AF1)
93-96,ヒーラーパンタロン(AF1)
93-97,ウィザードトンバン(AF1)
93-98,ワーロックタイツ(AF1)
93-99,ローグキュロット(AF1)
96-24,ガラントブリーチズ(AF1)
96-25,カオスフランチャー(AF1)
96-26,ビーストトラウザ(AF1)
96-27,コラルキャニオンズ(AF1)
96-28,ハンターブラッカエ(AF1)
98-101,明珍板佩楯(AF1)
98-102,乱波袴(AF1)
98-103,ドラケンブレー(AF1)
98-104,エボカースパッツ(AF1)
163-26,メガスシャルワー(AF1)
160-111,コルセアトルーズ(AF1)
163-27,パペトリチュリダル(AF1)
119-14,タイガートラウザ
119-15,アイアンクウィス
120-78,スチールクウィス
120-79,クァールトラウザ
120-80,アダマンクウィス
120-81,コーラルサブリガ
120-82,ノーブルズボン
120-83,シックブリーチズ
120-84,羅漢筒袴
120-85,ドラゴンクウィス
124-54,羅刹筒袴
124-55,クリムゾンクウィス
124-56,アダマンブリーチズ
124-57,オーガトラウザ
124-58,ケーニヒディヒリン
125-49,ウォーブレー
126-57,夜叉筒袴
126-58,白虎佩楯
126-59,ヘカトンサブリガ
126-60,エラントスロップス
126-61,フィッシャホーズ
126-62,チョコボホーズ
126-63,バガボンドホーズ
129-51,フィールドホーズ
129-52,修羅板佩楯
129-53,ゼニスズボン
129-54,ダスクトラウザ
129-55,ドラゴンサブリガ
132-106,ウォリアークウィス(AF2)
132-107,メレーホーズ(AF2)
132-108,クレリクパンタロン(AF2)
132-109,ソーサラートンバン(AF2)
132-110,デュエルタイツ(AF2)
132-111,アサシンキュロット(AF2)
132-112,ヴァラーブリーチズ(AF2)
132-113,アビスフランチャー(AF2)
132-114,モンスタートラウザ(AF2)
132-115,バードキャニオンズ(AF2)
132-116,スカウトブラッカエ(AF2)
132-117,早乙女板佩楯(AF2)
132-118,甲賀袴(AF2)
132-119,ウィルムブレー(AF2)
132-120,サマナースパッツ(AF2)
132-121,オステアスロップス
144-35,？？？タイツ
144-36,シェードタイツ
144-37,ガリシュズボン
144-38,シアーズボン
144-39,？？？ブレー
144-40,ノクトブレー
145-111,バイソンケックス
145-112,シャイルサラウィル
146-48,バローネコッシャレ
146-87,イギララッパ
148-21,アイゼンディヒリン
149-22,ロードクウィス
149-126,星座サブリガ
149-119,ウィルサブリガ
150-47,八幡袴
150-48,ブレスドズボン
151-50,ワイズブラコーニ
153-21,ユニコンサブリガ
153-58,トレダースロップス
154-64,アルミナブレエット
154-125,ブラッククウィス
157-90,ナシラサラウィル
158-29,ホマムコッシャレ
158-94,黒トレダー脚？
159-1,クロウホーズ
153-111,ハイドラブレエット 
160-69,ハイドラホーズ
163-28,シパーヒゼレハ
162-59,ジャリダシャルバル
166-17,アミールディル
166-18,ペルワンサラウィル
166-19,イギトサラウィル
174-82,アレスフランチャー
174-83,スカディショウス
175-108,薄金膝甲
175-109,マルドゥクシャルワ
175-110,モリガンスロップス
182-15,デナリケックス
182-108,アスカルディル
182-109,ゴリアードトルーズ
185-98,シャドウクイシュ
186-4,シャドウトルーズ
165-99,？？？
157-27,エルヴボクサー
196-69,???
199-56,Cobra Unit Trousers
200-88,Cobra Unit Slops
197-74,Iron Ram Breeches
198-121,Fourth Division Breeches
198-120,Bastokan Armor
196-69,San d'Orian Armor
204-67,Magna Trunks
207-37,Hachiryu Haidate
