38-61,装備なし
38-62,レザーハイブーツ
38-63,プレートレギンス
38-64,ソレア
38-65,忍脚絆
38-66,グリーヴ
38-67,リザードレデルセン
38-68,ラプトルレデルセン
38-69,初期装備
38-70,脛当
38-71,シューズ
38-72,ストライダーブーツ
38-73,王国従士制式鎖靴
38-74,王国騎士制式鎖靴
38-75,レギンス
38-76,ブロンズレギンス
38-77,ボーンレギンス
38-78,脚絆
38-79,チェスナットサボ
38-80,連邦軍師制式靴
38-81,アッシュクロッグ
38-82,ゲートル
38-83,ダークサバトン
38-84,ソックス
38-85,バトルブーツ
38-86,鋼鉄銃士隊制式鉄靴
38-87,百人隊長脛当
38-88,ガビアルグリーヴ
38-89,スケイルグリーヴ
38-90,ミスリルレギンス
38-91,種族装備
93-100,ファイターカリガ(AF1)
93-101,テンプルゲートル(AF1)
93-102,ヒーラーダックビル(AF1)
93-103,ウィザードサボ(AF1)
93-104,ワーロックブーツ(AF1)
93-105,ローグプーレーヌ(AF1)
96-29,ガラントレギンス(AF1)
96-30,カオスソルレット(AF1)
96-31,ビーストゲートル(AF1)
96-32,コラルスリッパー(AF1)
96-33,ハンターソックス(AF1)
98-105,明珍筒脛当(AF1)
98-106,乱波脚絆(AF1)
98-107,ドラケングリーヴ(AF1)
98-108,エボカーピガッシュ(AF1)
163-29,メガスチャルク(AF1)
160-112,コルセアブーツ(AF1)
163-30,パペトリバブーシュ(AF1)
119-16,タイガーレデルセン
119-17,アイアングリーヴ
120-86,スチールグリーヴ
120-87,クァールレデルセン
120-88,アダマンサバトン
120-89,コーラルレギンス
120-90,ノーブルパンプス
120-91,シックソルレット
120-92,羅漢脛当
120-93,ドラゴングリーヴ 
124-59,羅刹脛当
124-60,クリムゾングリーヴ
124-61,アダマンソルレット
124-62,オーガレデルセン
124-63,ケーニヒシュー 
125-50,ウォーブーツ
126-64,夜叉脛当
126-65,朱雀脛当
126-66,ヘカトンレギンス
126-67,エラントピガッシュ
126-68,フィッシャブーツ
126-69,チョコボブーツ
126-70,バガボンドブーツ
129-56,フィールドブーツ
129-57,修羅篠脛当
129-58,ゼニスパンプス
129-59,ダスクレデルセン
129-60,ドラゴンレギンス
132-122,ウォリアーカリガ(AF2)
132-123,メレーゲートル(AF2)
132-124,クレリクダックビル(AF2)
132-125,ソーサラーサボ(AF2)
132-126,デュエルブーツ(AF2)
132-127,アサシンプーレーヌ(AF2)
133-0,ヴァラーレギンス(AF2)
133-1,アビスソルレット(AF2)
133-2,モンスターゲートル(AF2)
133-3,バードスリッパー(AF2)
133-4,スカウトソックス(AF2)
133-5,早乙女筒脛当(AF2)
133-6,甲賀脚絆(AF2)
133-7,ウィルムグリーヴ(AF2)
133-8,サマナーピガッシュ(AF2)
133-9,オステアサボ
137-68,ウェーダー
144-41,？？？スパッツ
144-42,シェードスパッツ
144-43,ガリシュパンプス
144-44,シアーパンプス
144-45,？？？ゲートル
144-46,ノクトゲートル
145-113,バイソンゲマッシュ
145-114,シャイルクラッコー
146-49,バローネガンビエラ
146-88,イギラファラッシュ
148-22,アイゼンシュー
149-23,ロードサバトン
150-49,八幡脛当
150-50,ブレスドパンプス
151-51,ワイズピガッシュ
153-22,ユニコンレギンス
153-59,トレダーピガッシュ
154-65,アルミナソルレ
154-126,ブラックソルレット
157-91,ナシラクラッコー
158-30,ホマムガンビエラ
158-95,黒トレダー足？
159-2,クロウゲートル
153-112,ハイドラソルレ 
160-70,ハイドラブーツ
163-31,シパーヒブーツ
162-60,ジャリダネール
166-20,アミールブーツ
166-21,ペルワンクラッコー
166-22,イギトクラッコー
174-84,アレスソルレット
174-85,スカディジャンボー
175-111,薄金脛当
175-112,マルドゥククラッコ
175-113,モリガンピガッシュ
182-16,デナリゲマッシュ
182-110,アスカルガンビエラ
182-111,ゴリアードクロッグ
185-99,シャドウサバトン
186-5,シャドウクロッグ
196-121,ドリームブーツ
157-46,無し
195-85,Unkown+
196-70,???
198-58,Unknown
198-59,Unknown
198-122,Unknown
198-123,Unknown
199-57,Cobra Unit Boots
200-89,Cobra Unit Sabots
201-30,Iron Ram Sollerets
198-123,Fourth Division Boots
198-122,Bastokan Armor
195-85,Karasutengu Kogake
196-70,San d'Orian Armor
207-38,Hachiryu Sune-Ate
214-98,Mirage Charuqs (BLU AF2)
214-99,Commodore Bottes (COR AF2)
214-100,Pantin Babouches (PUP AF2)
217-124,Etoile Shoes (DNC AF2)
217-83,Argute Loafers (SCH AF2)
217-84,Noble Poulaines
219-69,Gothic Sabatons
236-43,Ebon Sabatons
236-44,Furia Sabatons
236-45,Ebur Sabatons
236-46,Ebon Greaves
236-47,Furia Greaves
236-48,Ebur Greaves
236-49,Ebon Sollerets
236-50,Furia Sollerets
236-51,Ebur Sollerets
236-52,Ebon Leggings
236-53,Furia Leggings
236-54,Ebur Leggings
228-61,Ebon Boots
228-62,Furia Boots
228-63,Ebur Boots
228-64,Ebon Socks
228-65,Furia Socks
228-66,Ebur Socks
228-67,Shikkoku Sune-ate
228-68,Shinku Sune-ate
228-69,Ginhaku Sune-ate
228-70,Ebon Gaiters
229-126,Furia Gaiters
229-127,Ebur Gaiters
232-117,Ebon Brogues
232-118,Furia Brogues
232-119,Ebur Brogues
232-120,Ebon Sabots
232-121,Furia Sabots
232-122,Ebur Sabots
232-123,Ebon Galoshes
232-124,Furia Galoshes
232-125,Ebur Galoshes
232-126,Ebon Clogs
232-127,Furia Clogs
233-0,Ebur Clogs
157-46,-for Dinner Hose-
239-49,Purple Boots
240-78,Spritewarden's Sabatons
248-16,Serpentes Sabots
248-17,Praeda Sabatons
248-18,Augur's Gaiters
248-19,Perle Solerets
248-20,Teal Pigaches
248-21,Aurore Gaiters
241-32,Goetia Sabots (BLM AF3)
241-33,Creed Sabatons (PLD AF3)
244-15,Ravager's Calligae (WAR AF3)
244-16,Estoqueur's Houseeaux (RDM AF3)
252-6,Tantra Gaiters (MNK AF3)
252-7,Raider's Poulaines (THF AF3)
252-8,Bale Sollerets (DRK AF3)
252-9,Ferine Ocreae (BST AF3)
252-10,Aoidos' Cothurnes (BRD AF3)
252-11,Unkai Sune-Ate (SAM AF3)
252-12,Iga Kyahan (NIN AF3)
252-13,Lancer's Schynbalds (DRG AF3)
252-14,Mavi Basmak (BLU AF3)
252-15,Navarch's Bottes (COR AF3)
252-16,Cirque Scarpe (PUP AF3)
252-17,Savant's Loafers (SCH AF3)
254-32,Orison Duckbills (WHM AF3)
254-88,Charis Toeshoes (DNC AF3)
256-45,Sylvan Bottillons (RNG AF3)
256-46,Caller's Pigaches (SMN AF3)
157-46,-for Novennial Hose-
264-42,Calmecac Leggings
264-43,Jingang Greaves
264-44,Menhit Leggings
271-81,Ogier's Leggings
271-82,Athos's Boots
271-83,Rubeus Boots
277-108,Kheper Gamashes
277-109,Paean Boots
277-110,Auspex Nails
277-111,Hrafn Gambieras
277-112,Tenryu Sune-Ate
280-108,
280-109,
157-46,-for Woodsy Boxers-
157-46,-for Decennial Hose-
282-60,Dux Greaves
282-61,Chelona Boots
157-46,-for Moogle Suit-
288-88,Ocular Boots
291-78,Geomancer AF1
292-54,Rune Fencer AF1
290-87,Karieyh Sollerets
290-88,Thurandaut Boots
290-89,Orvail Souliers
290-90,???
292-53,Chocaliztli - Whirlpool
301-18,Mikinaak Greaves
301-19,Manibozho Boots
301-20,Bokwus Boots
