40-97,素手
40-124,[格闘]アベンジャー
40-125,[格闘]ダークカタール
40-126,[格闘]カタール
41-127,[格闘]ジャマダル
41-0,[格闘]エグゾセ
41-1,[格闘]ダーククロー
41-2,[格闘]クロー
41-3,[格闘]ミスリルクロー
41-4,[格闘]サーメットクロー
41-5,[格闘]セスタス
41-6,[格闘]リザードセスタス
41-7,[格闘]ポイズンセスタス
41-8,[格闘]ダークナックル
41-9,[格闘]ブロンズナックル
41-10,[格闘]ブラスナックル
41-11,[格闘]メタルナックル
41-12,[格闘]ミスリルナックル
41-13,[格闘]ケーニヒスナックル
41-14,[格闘]ダイアナックル
41-15,[格闘]マノプル
41-16,[格闘]ゴールドパタ
41-17,[格闘]パタ
41-18,[格闘]ボーンパタ
41-19,[格闘]キャットバグナウ
41-20,[格闘]ブラスバグナウ
41-21,[格闘]バグナウ
41-22,[格闘]ルーンバグナウ(ﾙｰﾝ)
142-30,[格闘]スファライ(ﾚﾘｯｸ5)
149-85,[格闘]アダーガ
166-90,[格闘]サインティ
170-6,[格闘]ダークサインティ
171-104,[格闘]アダマンサインティ
172-48,[格闘]ブラックアダーガ
173-76,[格闘]ハデスサインティ
205-108,[格闘]Glanzfaust
274-22,[格闘]Glanzfaust (99)
205-109,[格闘]Kenkonken
280-10,[格闘]Kenkonken (99)
210-112,[格闘]Shenlong's Baghnakhs
242-23,[格闘]Verethragna
274-21,[格闘]Verethragna (99)
274-23,[格闘]Spharai (99)
245-87,[格闘]Afflictors
269-38,[格闘]Girru
281-22,[格闘]Unknown H2H
111-124,[短剣]バリアントナイフ
111-125,[短剣]ダークナイフ
111-126,[短剣]ブロンズナイフ
111-127,[短剣]ナイフ
112-0,[短剣]ミスリルナイフ
112-1,[短剣]サーメットナイフ
112-2,[短剣]ミセリコルデ
112-3,[短剣]ブロンズダガー
112-4,[短剣]ブラスダガー
112-5,[短剣]ダガー
112-6,[短剣]ミスリルダガー
112-7,[短剣]ダークバゼラード
112-8,[短剣]バゼラード
112-9,[短剣]ミスリルバゼラード
112-10,[短剣]ダークククリ
112-11,[短剣]ククリ
112-12,[短剣]ミスリルククリ
112-13,[短剣]サーメットククリ
112-14,[短剣]ハートスナッチャー
112-15,[短剣]パリーングナイフ
112-16,[短剣]連邦魔戦士制式短剣
112-17,[短剣]クリス
112-18,[短剣]トリプルダガー
112-19,[短剣]ボーンナイフ
112-112,[短剣]カルド
142-024,[短剣]マンダウ(ﾚﾘｯｸ5)
276-35,[短剣]Mandau (99)
142-028,[短剣]名称不明
148-3,[短剣]ハルパー
164-32,[短剣]ジャンビア
172-47,[短剣]パラディウムダガー
173-35,[短剣]御方庖丁
175-21,[短剣]キマイラジャンビア
200-48,[短剣]Darksteel Jambiya
200-49,[短剣]Thug's Jambiya
205-104,[短剣]Vajra
276-42,[短剣]Vajra (99)
205-106,[短剣]Carnwenhan
276-45,[短剣]Carnwenhan (99)
205-107,[短剣]Terpsichore
276-48,[短剣]Terpsichore (99)
210-107,[短剣]Azoth
219-42,[短剣]Ermine's Tail
227-35,[短剣]Machismo
245-85,[短剣]Twashtar
276-49,[短剣]Twashtar (99)
246-42,[短剣]Auric Dagger
262-12,[短剣]Twilight Dagger
264-127,[短剣]Mantodea Harpe
266-44,[短剣]Lux Pugio
266-83,[短剣]Coruscanti
269-52,[短剣]Asteria
280-25,[短剣]Unknown Dagger 2
281-61,[短剣]Unknown Dagger 3
112-20,[片手剣]クリシュマルド
112-21,[片手剣]スモールソード
112-22,[片手剣]ビルボ
112-23,[片手剣]准銃士制式小剣
112-24,[片手剣]ジュワユース
112-25,[片手剣]シュレイガー
112-26,[片手剣]デュエルレイピア
112-27,[片手剣]デーゲン
112-28,[片手剣]ミスリルデーゲン
112-29,[片手剣]エペ
112-30,[片手剣]フルーレ
112-31,[片手剣]シュヴェールト
112-32,[片手剣]近衛騎士制式帯剣
112-64,[片手剣]スパタ
112-65,[片手剣]ゴールドソード
112-66,[片手剣]ロングソード
112-67,[片手剣]ナイトソード
112-68,[片手剣]サーベル
112-69,[片手剣]ルーンブレード(ﾙｰﾝ)
112-70,[片手剣]サパラ
112-71,[片手剣]シミター
112-72,[片手剣]タルワール
112-73,[片手剣]ハンガー
112-74,[片手剣]リディル
112-75,[片手剣]ダークファルシオン
112-76,[片手剣]プラチナカトラス
112-77,[片手剣]ファルシオン
112-78,[片手剣]カトラス
112-79,[片手剣]サイフォス
112-80,[片手剣]ブラスサイフォス
112-81,[片手剣]グラディウス
112-82,[片手剣]ダークソード
112-83,[片手剣]ブロンズソード
112-84,[片手剣]ジャドプラーテ
112-85,[片手剣]アイアンソード
112-86,[片手剣]ミスリルソード
112-87,[片手剣]ダインスレイフ
112-88,[片手剣]サーメットソード
112-89,[片手剣]アネラス
112-90,[片手剣]カッツバルゲル
112-91,[片手剣]ブロードソード
112-92,[片手剣]珊瑚の剣
112-93,[片手剣]フロッティ
112-94,[片手剣]バスタードソード
112-95,[片手剣]ハンティングソード
112-96,[片手剣]エスパドン
112-97,[片手剣]ナズ
112-98,[片手剣]古代の剣
112-99,[片手剣]カイザーソード
112-100,[片手剣]ダイセクター
112-101,[片手剣]名称不明09
112-102,[片手剣]グラットンソード
112-103,[片手剣]ウィングソード
142-023,[片手剣]エクスカリバー(ﾚﾘｯｸ5)
150-108,[片手剣]ショテル
164-31,[片手剣]キリジ
164-125,[片手剣]マクアフティル
170-5,[片手剣]ダークキリジ
171-0,[片手剣]ドラゴンスレイヤー
171-103,[片手剣]サングインソード
175-22,[片手剣]オートクレール
183-103,[片手剣]スチールキリジ
184-98,[片手剣]ホフド
205-100,[片手剣]Unknown Sword
205-101,[片手剣]Tizona
276-47,[片手剣]Tizona (99)
205-102,[片手剣]Murgleis
276-41,[片手剣]Murgleis (99)
205-105,[片手剣]Burtgang
276-43,[片手剣]Burtgang (99)
210-108,[片手剣]Fragarach
211-94,[片手剣]Organics
227-36,[片手剣]Concordia
242-22,[片手剣]Almace
276-36,[片手剣]Excalibur (99)
276-50,[片手剣]Almace (99)
246-43,[片手剣]Tyrfing
263-107,[片手剣]Sagasinger
266-106,[片手剣]Ephemeron
279-82,[片手剣]Sanus Ensis
279-83,[片手剣]Ark Saber
279-84,[片手剣]Ark Sword
111-90,[片手棍]名称不明
111-107,[片手棍]オークカジェル
111-108,[片手棍]ボーンカジェル
111-109,[片手棍]ブッディガン
111-110,[片手棍]ダークメイス
111-111,[片手棍]ブロンズメイス
111-112,[片手棍]プラチナメイス
111-113,[片手棍]メイス
111-114,[片手棍]ミスリルメイス
111-115,[片手棍]アッシュクラブ
111-116,[片手棍]チェスナットクラブ
111-117,[片手棍]シェルバスター
111-118,[片手棍]グレートクラブ
111-119,[片手棍]ダークモール
111-120,[片手棍]ブロンズハンマー
111-121,[片手棍]ブラスハンマー
111-122,[片手棍]ウォーハンマー
111-123,[片手棍]モール
112-33,[片手棍]セプター
112-34,[片手棍]ダークロッド
112-35,[片手棍]ブロンズロッド
112-36,[片手棍]ブラスロッド
112-37,[片手棍]ロッド
112-38,[片手棍]ミスリルロッド
112-39,[片手棍]ボーンロッド
112-40,[片手棍]エボニーワンド
112-41,[片手棍]ユーワンド
112-42,[片手棍]メープルワンド
112-43,[片手棍]神代の錫
112-44,[片手棍]ミステルテイン
112-45,[片手棍]ローズワンド
112-46,[片手棍]チェスナットワンド
112-47,[片手棍]ウィローワンド
112-48,[片手棍]カドゥケウス
112-49,[片手棍]名称不明01
112-50,[片手棍]名称不明02
112-51,[片手棍]チョコボワンド
112-52,[片手棍]名称不明04
112-53,[片手棍]名称不明05
112-54,[片手棍]名称不明06
112-55,[片手棍]スターロッド
112-56,[片手棍]アスクレピオス
112-57,[片手棍]呪術の杖
112-58,[片手棍]スキールニルワンド
112-59,[片手棍]アースワンド
112-60,[片手棍]名称不明10
112-61,[片手棍]名称不明11
112-62,[片手棍]名称不明12
112-63,[片手棍]フェイワンド
112-104,[片手棍]ミョルニル(ﾚﾘｯｸ5)
142-025,[片手棍]ルーンロッド(ﾙｰﾝ)
142-026,[片手棍]名称不明15
149-84,[片手棍]モルゲンステルン
150-109,[片手棍]名称不明
159-101,[片手棍]チャームロッド
160-122,[片手棍]モグロッド
164-33,[片手棍]ジャダグナ
170-36,[片手棍]ノマドモグロッド
175-45,[片手棍]胡鬼板
183-102,[片手棍]ブラスジャダグナ
205-99,[片手棍]Yagrush
276-40,[片手棍]Yagrush (99)
210-110,[片手棍]Antares
211-95,[片手棍]Flanged Mace
218-32,[片手棍]Dream Bell
220-34,[片手棍]Club Hammer
221-2,[片手棍]Lady Bell
242-55,[片手棍]Gambanteinn
276-53,[片手棍]Gambanteinn (99)
246-46,[片手棍]Owleyes
264-126,[片手棍]Tefnut Wand
266-58,[片手棍]Rounsey Wand
267-48,[片手棍]Maestro's Baton
267-49,[片手棍]Melomane Mallet
276-39,[片手棍]Mjollnir (99)
280-68,[片手棍]Unknown Club 10
281-61,[片手棍]Unknown Club 11
286-62,[片手棍]Shell Scepter
286-63,[片手棍]Gobbie Gavel
111-91,[片手斧]ブロンズアクス
111-92,[片手斧]ブラスアクス
111-93,[片手斧]バトルアクス
111-94,[片手斧]ミスリルアクス
111-95,[片手斧]ボーンアクス
111-96,[片手斧]タバルジン
111-97,[片手斧]ダークタバール
111-98,[片手斧]タバール
111-99,[片手斧]ダークアクス
111-100,[片手斧]ルーンアクス
111-101,[片手斧]ナトジーク
111-102,[片手斧]ダークピック
111-103,[片手斧]ウォーピック
111-104,[片手斧]ミスリルピック
111-105,[片手斧]ボーンピック
111-106,[片手斧]オーキシュアクス
142-029,[片手斧]ガトラー(ﾚﾘｯｸ5)
145-74,[片手斧]トマホーク
171-101,[片手斧]シリウスアクス
205-98,[片手斧]Aymur
