38-92,素手
39-34,[格闘]アベンジャー
39-35,[格闘]ダークカタール
39-36,[格闘]カタール
39-37,[格闘]ジャマダル
39-38,[格闘]エグゾセ
39-39,[格闘]ダーククロー
39-40,[格闘]クロー
39-41,[格闘]ミスリルクロー
39-42,[格闘]サーメットクロー
39-43,[格闘]セスタス
39-44,[格闘]リザードセスタス
39-45,[格闘]ポイズンセスタス
39-46,[格闘]ダークナックル
39-47,[格闘]ブロンズナックル
39-48,[格闘]ブラスナックル
39-49,[格闘]メタルナックル
39-50,[格闘]ミスリルナックル
39-51,[格闘]ケーニヒスナックル
39-52,[格闘]ダイアナックル
39-53,[格闘]マノプル
39-54,[格闘]ゴールドパタ
39-55,[格闘]パタ
39-56,[格闘]ボーンパタ
39-57,[格闘]キャットバグナウ
39-58,[格闘]ブラスバグナウ
39-59,[格闘]バグナウ
39-60,[格闘]ルーンバグナウ(ﾙｰﾝ)
137-83,[格闘]スファライ(ﾚﾘｯｸ5)
149-31,[格闘]アダーガ
166-23,[格闘]サインティ
169-115,[格闘]ダークサインティ
171-62,[格闘]アダマンサインティ
172-15,[格闘]ブラックアダーガ
173-69,[格闘]ハデスサインティ
172-15,[格闘]Black Adargas
173-69,[格闘]Hades Sainti
204-125,[格闘]Glanzfaust
273-84,[格闘]Glanzfaust (99)
204-126,[格闘]Kenkonken
273-83,[格闘]Kenkonken (99)
210-37,[格闘]Shenlong's Baghnakhs
241-124,[格闘]Verethragna
273-82,[格闘]Verethragna (99)
245-58,[格闘]Afflictors
268-54,[格闘]Girru
280-110,[格闘]Unknown H2H
39-74,[短剣]バリアントナイフ
39-75,[短剣]ダークナイフ
39-76,[短剣]ブロンズナイフ
39-77,[短剣]ナイフ
39-78,[短剣]ミスリルナイフ
39-79,[短剣]サーメットナイフ
39-80,[短剣]ミセリコルデ
39-81,[短剣]ブロンズダガー
39-82,[短剣]ブラスダガー
39-83,[短剣]ダガー
39-84,[短剣]ミスリルダガー
39-85,[短剣]ダークバゼラード
39-86,[短剣]バゼラード
39-87,[短剣]ミスリルバゼラード
39-88,[短剣]ダークククリ
39-89,[短剣]ククリ
39-90,[短剣]ミスリルククリ
39-91,[短剣]サーメットククリ
39-92,[短剣]ハートスナッチャー
39-93,[短剣]パリーングナイフ
39-94,[短剣]連邦魔戦士制式短剣
39-95,[短剣]クリス
39-96,[短剣]トリプルダガー
39-97,[短剣]ボーンナイフ
98-116,[短剣]カルド
137-69,[短剣]マンダウ(ﾚﾘｯｸ5)
