37-52,装備なし
37-53,レザーバンダナ
37-54,サリット
37-55,忍鉢金
37-56,アイアンマスク
37-57,リザードヘルム
37-58,ラプトルヘルム
37-59,頭成兜
37-60,王国従士制式冑
37-61,王国騎士制式冑
37-62,パッデッドキャップ
37-63,ブロンズキャップ
37-64,ボーンマスク
37-65,鉢巻
37-66,ウールハット
37-67,連邦軍師制式帽子
37-68,サークレット
37-69,ヘッドギア
37-70,ダークアーメット
37-71,レッドキャップ
37-72,グリーンベレー
37-73,鋼鉄銃士隊制式冑
37-74,百人隊長面具
37-75,ガビアルマスク
37-76,フェイスガード
37-77,ミスリルサリット
37-78,ブルーリボン
37-79,パープルリボン
37-80,グリーンリボン
37-81,ブラックリボン
37-82,スカーレットリボン
93-71,ファイターマスク(AF1)
93-72,テンプルクラウン(AF1)
93-73,ヒーラーキャップ(AF1)
93-74,ウィザードペタソス(AF1)
93-75,ワーロックシャポー(AF1)
93-76,ローグボンネット(AF1)
96-9,ガラントコロネット(AF1)
96-10,カオスバーゴネット(AF1)
96-11,ビーストヘルム(AF1)
96-12,コラルラウンドリト(AF1)
96-13,ハンターベレー(AF1)
98-89,明珍桃形兜(AF1)
98-90,乱波半首(AF1)
98-91,ドラケンアーメット(AF1)
98-92,エボカーホーン(AF1)
163-17,メガスケフィエ(AF1)
160-108,コルセアトリコルヌ(AF1)
163-18,パペトリタージ(AF1)
120-55,クァールマスク
120-56,アダマンバルブータ
120-57,コーラルキャップ
120-58,ノーブルクラウン
120-59,チェラータ
120-60,羅漢陣鉢
120-61,ドラゴンマスク
124-39,羅刹陣鉢
124-40,クリムゾンマスク
124-41,アダマンチェラータ
124-42,オーガマスク
124-43,ケーニヒシャレル
125-46,ウォーベレー
126-37,パンプキンヘッド
126-38,浪士陣鉢
126-39,玄武兜
126-40,ヘカトンキャップ
126-41,エラントハット
129-31,タイガーマスク
129-32,ワイバーンヘルム
129-33,デーモンヘルム
129-34,修羅頭成兜
129-35,ゼニスクラウン
129-36,カラパスヘルム
129-37,ダスクマスク
129-38,ドラゴンキャップ
132-55,ウォリアーマスク(AF2)
132-56,メレークラウン(AF2)
132-57,クレリクキャップ(AF2)
132-58,ソーサラーペタソス(AF2)
132-59,デュエルシャポー(AF2)
132-60,アサシンボンネット(AF2)
132-61,ヴァラーコロネット(AF2)
132-62,アビスバーゴネット(AF2)
132-63,モンスターヘルム(AF2)
132-64,バードラウンドリト(AF2)
132-65,スカウトベレー(AF2)
132-66,早乙女桃形兜(AF2)
132-67,甲賀半首(AF2)
132-68,ウィルムアーメット(AF2)
132-69,サマナーホーン(AF2)
132-70,スコピオヘルム
132-71,オステアハット
137-48,パンサーマスク
137-49,オポオポ王の王冠
137-50,拡大眼鏡
137-51,防塵眼鏡
137-52,衛生帽子
137-53,遮光眼鏡
144-19,ガリシュクラウン
144-20,シアークラウン
144-21,？？？ベレー
144-22,ノクトベレー
145-103,？？？ティアラ
145-104,シェードティアラ
145-105,バイソンボンネット
145-106,シャイルターバン
146-45,バローネツッケット
146-84,イギラティアラ
148-18,アイゼンシャレル
149-20,ロードアーメット
149-110,ドリームキャップ
150-42,八幡陣鉢
151-47,ワイズキャップ
153-18,ユニコンキャップ
153-55,トレダーシャポー
154-61,アルミナサラド
154-122,ブラックサリット
155-67,マートキャップ
155-68,マンドラゴラベレー
155-69,ガイドベレー
152-68,オークヘルム
152-69,ヤグードヘッドギア
152-53,ゴブリンコイフ
152-70,クゥダフバルバト
156-89,スターズキャップ
156-105,ローレルクラウン
157-87,ナシラターバン
158-26,ホマムツッケット
158-91,黒トレダー頭？
158-126,クロウベレー
153-108,ハイドラムフル 
160-66,ハイドラキャップ 
163-19,シパーヒターバン
162-56,ジャリダクード
166-8,アミールバグリー
166-9,ペルワンカランスワ
166-10,イギトターバン
170-106,ウィッチハット
174-76,アレスマスク
174-77,スカディバイザー
175-99,薄金総面
175-100,マルドゥクティアラ
175-101,モリガンコロナル
182-11,デナリボンネット
182-12,エッグヘルム
182-94,アスカルツッケット
182-95,ゴリアードシャポー
186-0,ヴァルハラヘルム
185-95,シャドウヘルム
186-1,シャドウハット
186-113,グローリークラウン
186-114,モーグリキャップ
186-115,ノマドキャップ
187-60,レッドアイズ
187-120,マムージャヘルム
187-121,ラミアガーランド
187-122,トロールコイフ
187-123,キキルンフード
165-97,天蛇将兜
196-119,???
198-50,ダンサーティアラ
198-51,Unknown
214-84,Mirage Keffiyeh (BLU AF2)
214-85,Commodore Tricorne (COR AF2)
214-86,Pantin Taj (PUP AF2)
217-120,Etoile Tiara (DNC AF2)
217-79,Argute M.board (SCH AF2)
199-53,Cobra Unit Cap
200-85,Cobra Unit Cloche
196-119,Iron Ram Sallet
198-115,Fourth Division Haube
198-114,Bastokan Armor
201-27,Sol Cap
201-28,Lunar Cap
210-25,Viking Helm
219-65,Eyepatch
220-3,Spelunker's Helm
223-62,Jester's Cap
224-42,Champion's Galea
224-58,Anwing Salade
224-43,Selenian Cap
225-57,Snow Bunny Hat
235-123,Ebon Celata
235-124,Furia Celata
235-125,Ebur Celata
235-126,Ebon Helm
235-127,Furia Helm
236-0,Ebur Helm
236-1,Ebon Galea
236-2,Furia Galea
236-3,Ebur Galea
236-4,Ebon Armet
236-5,Furia Armet
236-6,Ebur Armet
228-21,Ebon Mask
228-22,Furia Mask
228-23,Ebur Mask
228-24,Ebon Visor
228-25,Furia Visor
228-26,Ebur Visor
228-27,Shikkoku Hatsuburi
228-28,Shinku Hatsuburi
228-29,Ginhaku Hatsuburi
228-30,Ebon Headgear
229-118,Furia Headgear
229-119,Ebur Headgear
232-69,Ebon Tam
232-70,Furia Tam
232-71,Ebur Tam
232-72,Ebon Hat
232-73,Furia Hat
232-74,Ebur Hat
232-75,Ebon Caubeen
232-76,Furia Caubeen
232-77,Ebur Caubeen
232-78,Ebon Beret
232-79,Furia Beret
232-80,Ebur Beret
238-101,Chocobo Beret
238-116,Nocturnus Helm
239-45,Purple Chapeau
247-114,Hero's Galea
247-115,Tokon Hachimaki
247-116,Perle Salade
247-117,Teal Chapeau
247-118,Aurore Beret
241-24,Goetia Petasos (BLM AF3)
241-25,Creed Armet (PLD AF3)
244-7,Ravager's Mask (WAR AF3)
244-8,Estoqueur's Chappel (RDM AF3)
251-86,Tantra Crown (MNK AF3)
251-87,Raider's Bonnet (THF AF3)
251-88,Bale Burgeonet (DRK AF3)
251-89,Ferine Cabasset (BST AF3)
251-90,Aoidos' Calot (BRD AF3)
251-91,Unkai Kabuto (SAM AF3)
251-92,Iga Zukin (NIN AF3)
251-93,Lancer's Mezail (DRG AF3)
251-94,Mavi Kavuk (BLU AF3)
251-95,Navarch's Tricorne (COR AF3)
251-96,Cirque Capello (PUP AF3)
251-97,Savant's Bonnet (SCH AF3)
254-28,Orison Cap (WHM AF3)
254-84,Charis Tiara (DNC AF3)
256-37,Sylvan Gapette (RNG AF3)
256-38,Caller's Horn (SMN AF3)
261-74,Twilight Helm
263-15,Cuauhtli Headpiece
263-16,Fazheluo Helm
263-59,Hyksos Khat
263-123,Destrier Beret
264-37,Charity Cap
266-7,Ocelomeh Headpiece
266-8,Nefer Khat
266-9,Mekira-oto
270-77,Smilodon Mask
270-78,Gallian Helm
270-79,Brego Helm
270-80,Snowman Cap
271-65,Ogier's Helm
271-66,Athos's Chapeau
271-67,Rubeus Bandeau
271-68,Praeco Beret
277-31,Drachenhorn
277-32,Hyaline Hat
277-87,Kheper Bonnet
277-88,Paean Mitra
277-89,Auspex Coif
277-90,Hrafn Coronet
277-91,Tenryu Somen
282-12,Decennial Crown
282-52,Dux Visor
282-53,Chelona Hat
286-26,Moogle Masque
287-67,Ahriman Cap
291-74, Geomancer AF1
292-44, Rune Fencer AF1
290-71, Karieyh Morion
290-72, Thurandaut Chapeau
290-73, Orvail Corona
290-74, ???
292-45, Xux - Nahtirah Hat
292-46, Chocaliztli - Whirlpool
292-47, Quauhpilli - Yaoyotl
301-6, Mikinaak Helm
301-7, Manibozho Beret
301-8, Bokwus Circlet
