88-28,[格闘]コンボ
88-29,[格闘]タックル
88-30,[格闘]短勁
88-31,[格闘]バックハンドブロー
88-32,[格闘]乱撃
88-33,[格闘]スピンアタック
88-34,[格闘]空鳴拳
107-66,[格闘]双竜脚
107-67,[格闘]夢想阿修羅拳
141-94,[格闘]ファイナルヘブン

88-35,[短剣]ワスプスティング
88-36,[短剣]ガストスラッシュ
88-37,[短剣]シャドーステッチ
88-38,[短剣]バイパーバイト
88-39,[短剣]サイクロン
88-40,[短剣]エナジースティール
88-41,[短剣]エナジードレイン
88-42,[短剣]ダンシングエッジ
107-68,[短剣]シャークバイト
107-69,[短剣]エヴィサレーション
141-95,[短剣]マーシーストローク

88-19,[片手剣]ファストブレード
88-20,[片手剣]バーニングブレード
88-21,[片手剣]レッドロータス
88-24,[片手剣]フラットブレード
88-22,[片手剣]シャインブレード
88-23,[片手剣]セラフブレード
88-25,[片手剣]サークルブレード
88-26,[片手剣]スピリッツウィズイン
88-27,[片手剣]ボーパルブレード
107-64,[片手剣]スウィフトブレード
107-65,[片手剣]サベッジブレード
141-93,[片手剣]ナイツオブラウンド

88-57,[片手棍]シャインストライク
88-58,[片手棍]セラフストライク
88-59,[片手棍]ブレインシェイカー
88-60,[片手棍]スターライト
88-61,[片手棍]ムーンライト
88-62,[片手棍]スカルブレイカー
88-63,[片手棍]トゥルーストライク
88-64,[片手棍]ジャッジメント
107-74,[片手棍]ヘキサストライク
107-75,[片手棍]ブラックヘイロー
141-98,[片手棍]ランドグリース

88-43,[片手斧]レイジングアクス
88-44,[片手斧]スマッシュ
88-45,[片手斧]ラファールアクス
88-46,[片手斧]アバランチアクス
88-47,[片手斧]スピニングアクス
88-48,[片手斧]ランページ
88-49,[片手斧]カラミティ
107-70,[片手斧]ミストラルアクス
107-71,[片手斧]デシメーション
141-96,[片手斧]オンスロート

107-84,[片手刀]臨
107-85,[片手刀]烈
107-86,[片手刀]滴
107-87,[片手刀]凍
107-88,[片手刀]地
107-89,[片手刀]影
107-90,[片手刀]迅
107-91,[片手刀]天
107-92,[片手刀]空
141-103,[片手刀]生者必滅

88-72,[両手剣]ハードスラッシュ
88-73,[両手剣]パワースラッシュ
88-74,[両手剣]フロストバイト
88-75,[両手剣]フリーズバイト
88-76,[両手剣]ショックウェーブ
88-77,[両手剣]クレセントムーン
88-78,[両手剣]シックルムーン
107-78,[両手剣]スピンスラッシュ
107-79,[両手剣]グランドストライク
141-100,[両手剣]スカージ

88-86,[両手棍]ヘヴィスイング
88-87,[両手棍]ロッククラッシャー
88-88,[両手棍]アースクラッシャー
88-89,[両手棍]スターバースト
88-90,[両手棍]サンバースト
88-91,[両手棍]シェルクラッシャー
88-92,[両手棍]フルスイング
107-82,[両手棍]スピリットテーカー
107-83,[両手棍]レトリビューション
141-102,[両手棍]タルタロスゲート

88-65,[両手斧]シールドブレイク
88-66,[両手斧]アイアンテンペスト
88-67,[両手斧]シュトルムヴィント
88-68,[両手斧]アーマーブレイク
88-69,[両手斧]キーンエッジ
88-70,[両手斧]ウェポンブレイク
88-71,[両手斧]レイジングラッシュ
107-76,[両手斧]フルブレイク
107-77,[両手斧]スチールサイクロン
141-99,[両手斧]メタトロントーメント

107-93,[両手刀]壱之太刀・燕飛
107-94,[両手刀]弐之太刀・鋒縛
107-95,[両手刀]参之太刀・轟天
107-96,[両手刀]四之太刀・陽炎
107-97,[両手刀]五之太刀・陣風
107-98,[両手刀]六之太刀・光輝
107-99,[両手刀]七之太刀・雪風
107-100,[両手刀]八之太刀・月光
107-101,[両手刀]九之太刀・花車
141-104,[両手刀]零之太刀・回天

88-50,[両手鎌]スライス
88-51,[両手鎌]ダークハーベスト
88-52,[両手鎌]シャドーオブデス
88-53,[両手鎌]ナイトメアサイス
88-54,[両手鎌]スピニングサイス
88-55,[両手鎌]ボーパルサイス
88-56,[両手鎌]ギロティン
107-72,[両手鎌]クロスリーパー
107-73,[両手鎌]スパイラルヘル
141-97,[両手鎌]カスタロフィ

88-79,[両手槍]ダブルスラスト
88-80,[両手槍]サンダースラスト
88-81,[両手槍]ライデンスラスト
88-82,[両手槍]足払い
88-83,[両手槍]ペンタスラスト
88-84,[両手槍]ボーパルスラスト
88-85,[両手槍]スキュアー
107-80,[両手槍]大車輪
107-81,[両手槍]インパルスドライブ
141-101,[両手槍]ゲイルスコルグ

88-103,[弓術]フレイミングアロー
88-104,[弓術]ピアシングアロー
88-105,[弓術]ダリングアロー
88-107,[弓術]サイドワインダー
107-117,[弓術]ブラストアロー
107-118,[弓術]アーチングアロー
107-119,[弓術]エンピリアルアロー
141-105,[弓術]南無八幡

88-108,[射撃]ホットショット
88-109,[射撃]スプリットショット
88-110,[射撃]スナイパーショット
88-112,[射撃]スラッグショット
107-120,[射撃]ブラストショット
107-121,[射撃]ヘヴィショット
107-122,[射撃]デトネーター
141-106,[射撃]カラナック
