57-58,装備なし
57-59,レザートラウザ
57-60,クウィス
57-61,ズボン
57-62,忍袴
57-63,チェーンホーズ
57-64,リザードトラウザ
57-65,ラプトルトラウザ
57-66,初期装備
57-67,佩楯
57-68,リネンズボン
57-69,ホワイトズボン
57-70,王国従士制式下衣
57-71,王国騎士制式下衣
57-72,アイアンサブリガ
57-73,ブロンズサブリガ
57-74,ボーンサブリガ
57-75,下ばき
57-76,ウールスロップス
57-77,連邦軍師制式下衣
57-78,スロップス
57-79,ブレー
57-80,ダーククウィス
57-81,ホーズ
57-82,バトルホーズ
57-83,鋼鉄銃士隊制式股当
57-84,百人隊長股当
57-85,ガビアルクウィス
57-86,スケイルクウィス
57-87,ミスリルクウィス
57-88,種族装備
94-106,ファイタークウィス(AF1)
94-107,テンプルホーズ(AF1)
94-108,ヒーラーパンタロン(AF1)
94-109,ウィザードトンバン(AF1)
94-110,ワーロックタイツ(AF1)
94-111,ローグキュロット(AF1)
96-124,ガラントブリーチズ(AF1)
96-125,カオスフランチャー(AF1)
96-126,ビーストトラウザ(AF1)
96-127,コラルキャニオンズ(AF1)
97-0,ハンターブラッカエ(AF1)
99-101,明珍板佩楯(AF1)
99-102,乱波袴(AF1)
99-103,ドラケンブレー(AF1)
99-104,エボカースパッツ(AF1)
164-13,メガスシャルワー(AF1)
164-14,コルセアトルーズ(AF1)
162-84,パペトリチュリダル(AF1)
119-46,タイガートラウザ
119-47,アイアンクウィス
122-3,スチールクウィス
122-4,クァールトラウザ
122-5,アダマンクウィス
122-6,コーラルサブリガ
122-7,ノーブルズボン
122-8,シックブリーチズ
122-9,羅漢筒袴
122-10,ドラゴンクウィス
125-26,羅刹筒袴
125-27,クリムゾンクウィス
125-28,アダマンブリーチズ
125-29,オーガトラウザ
125-30,ケーニヒディヒリン
125-69,ウォーブレー
127-106,夜叉筒袴
127-107,白虎佩楯
127-108,ヘカトンサブリガ
127-109,エラントスロップス
127-110,フィッシャホーズ
127-111,チョコボホーズ
127-112,バガボンドホーズ
130-43,フィールドホーズ
130-44,修羅板佩楯
130-45,ゼニスズボン
130-46,ダスクトラウザ
130-47,ドラゴンサブリガ
135-69,ウォリアークウィス(AF2)
135-70,メレーホーズ(AF2)
135-71,クレリクパンタロン(AF2)
135-72,ソーサラートンバン(AF2)
135-73,デュエルタイツ(AF2)
135-74,アサシンキュロット(AF2)
135-75,ヴァラーブリーチズ(AF2)
135-76,アビスフランチャー(AF2)
135-77,モンスタートラウザ(AF2)
135-78,バードキャニオンズ(AF2)
135-79,スカウトブラッカエ(AF2)
135-80,早乙女板佩楯(AF2)
135-81,甲賀袴(AF2)
135-82,ウィルムブレー(AF2)
135-83,サマナースパッツ(AF2)
135-84,オステアスロップス
145-51,？？？タイツ
145-52,シェードタイツ
145-53,ガリシュズボン
145-54,シアーズボン
145-55,？？？ブレー
145-56,ノクトブレー
146-31,バイソンケックス
146-32,シャイルサラウィル
146-68,バローネコッシャレ
146-107,イギララッパ
148-41,アイゼンディヒリン
149-70,ロードクウィス
150-2,星座サブリガ
149-123,ウィルサブリガ
150-95,八幡袴
150-96,ブレスドズボン
151-70,ワイズブラコーニ
153-41,ユニコンサブリガ
153-78,トレダースロップス
154-91,アルミナブレエット
155-17,ブラッククウィス
157-119,ナシラサラウィル
158-61,ホマムコッシャレ
158-114,黒トレダー脚？
159-21,クロウホーズ
154-33,ハイドラブレエット 
160-89,ハイドラホーズ 
164-15,シパーヒゼレハ
163-83,ジャリダシャルバル
166-81,アミールディル
166-82,ペルワンサラウィル
166-83,イギトサラウィル
174-122,アレスフランチャー
174-123,スカディショウス
176-40,薄金膝甲
176-41,マルドゥクシャルワ
176-42,モリガンスロップス
182-39,デナリケックス
183-52,アスカルディル
183-53,ゴリアードトルーズ
185-118,シャドウクイシュ
186-28,シャドウトルーズ
157-41,ガルカボクサー
198-101,Unknown
198-102,Unknown
199-32,Unknown
199-33,Unknown
199-72,Unknown
200-108,Unknown
201-54,Unknown
204-77,Unknown
207-53,Unknown
312-113,Unknown
312-114,Unknown
312-115,Unknown
