56-111,装備なし
56-112,レザーベスト
56-113,ブレストプレート
56-114,チュニック
56-115,忍上衣
56-116,チェーンメイル
56-117,リザードジャーキン
56-118,ラプトルジャーキン
56-119,初期装備
56-120,腹当
56-121,クローク
56-122,シルククローク
56-123,王国従士制式鎖帷子
56-124,王国騎士制式鎖帷子
56-125,パッデッドアーマー
56-126,ブロンズハーネス
56-127,ボーンハーネス
57-0,拳法着
57-1,ウールローブ
57-2,連邦軍師制式コート
57-3,ローブ
57-4,ダブレット
57-5,ダークキュイラス
57-6,ガンビスン
57-7,バトルジュポン
57-8,鋼鉄銃士隊制式胴鎧
57-9,百人隊長鎖帷子
57-10,ガビアルメイル
57-11,スケイルメイル
57-12,ミスリルブレスト
57-13,種族装備
57-14,アダマンブレスト
57-15,カーディナルベスト
57-16,スコピオハーネス
57-17,デーモンハーネス
57-18,ロードキュイラス
57-19,柔術着
57-20,王国騎士制式服
57-21,アクトン
57-22,ホーバージョン
57-23,バーニー
57-24,戦忍着
57-25,アースダブレット
57-26,ブリガンダイン
94-89,ジュストコール
94-90,ブラッククローク
94-91,バーミリオクローク
94-92,ブルーコタルディ
94-93,ブラックコタルディ
94-94,ファイターロリカ(AF1)
94-95,テンプルシクラス(AF1)
94-96,ヒーラーブリオー(AF1)
94-97,ウィザードコート(AF1)
94-98,ワーロックタバード(AF1)
94-99,ローグベスト(AF1)
96-114,ガラントサーコート(AF1)
96-115,カオスキュイラス(AF1)
96-116,ビーストジャック(AF1)
96-117,コラルジュストコル(AF1)
96-118,ハンタージャーキン(AF1)
99-93,明珍胴丸(AF1)
99-94,乱波鎖帷子(AF1)
99-95,ドラケンメイル(AF1)
99-96,エボカーダブレット(AF1)
164-7,メガズジュバ(AF1)
164-8,コルセアフラック(AF1)
162-82,パペトリトベ(AF1)
119-42,タイガージャーキン
119-43,アイアンスケイル
121-115,スチールスケイル
121-116,クァールジャーキン
121-117,アダマンキュイラス
121-118,コーラルハーネス
121-119,ノーブルチュニック
121-120,ホーバーク
121-121,羅漢作務衣
121-122,ドラゴンメイル
125-16,羅刹作務衣
125-17,クリムゾンスケイル
125-18,アダマンホーバーク
125-19,オーガジャーキン
125-20,ケーニヒキューラス
125-67,ウォーアクトン
127-91,ホーリーブレスト
127-92,夜叉作務衣
127-93,麒麟大袖
127-94,ヘカトンハーネス
127-95,エラントウプランド
127-96,フィッシャチュニカ
127-97,チョコボジャック
127-98,バガボンドチュニカ
130-31,フィールドチュニカ
130-32,修羅闘着
130-33,ダルマティカ
130-34,カラパスブレスト
130-35,ダスクジャーキン
130-36,ドラゴンハーネス
135-35,ウォリアーロリカ(AF2)
135-36,メレーシクラス(AF2)
135-37,クレリクブリオー(AF2)
135-38,ソーサラーコート(AF2)
135-39,デュエルタバード(AF2)
135-40,アサシンベスト(AF2)
135-41,ヴァラーサーコート(AF2)
135-42,アビスキュイラス(AF2)
135-43,モンスタージャック(AF2)
135-44,バードジュストコル(AF2)
135-45,スカウトジャーキン(AF2)
135-46,早乙女胴丸(AF2)
135-47,甲賀鎖帷子(AF2)
135-48,ウィルムメイル(AF2)
135-49,サマナーダブレット(AF2)
135-50,スコピオブレスト
135-51,オステアローブ
138-123,王国制式礼服
138-124,連邦制式礼服
138-125,共和国制式礼服
138-126,木彫師エプロン
138-127,鍛冶師エプロン
139-0,裁縫師エプロン
139-1,錬金術師エプロン
139-2,骨彫師エプロン
139-3,漁師エプロン
139-4,革細工師エプロン
139-5,調理師エプロン
139-6,彫金師エプロン
145-39,？？？ハーネス
145-40,シェードハーネス
145-41,ガリシュチュニック
145-42,シアーチュニック
145-43,セリーズダブレット
145-44,ノクトダブレット
146-27,バイソンジャケット
146-28,シャイルマンティル
146-66,バローネコラッツァ
146-105,イギラウエスキット
148-39,アイゼンブルスト
150-91,八幡胴丸
150-92,ブレスドブリオー
151-68,シャジュブル
153-39,ユニコンハーネス
153-76,トレダーサイオ
154-89,アルミナオーベール
155-15,ブラストロン
157-117,ナシラマンティル
158-59,ホマムコラッツァ
158-112,黒トレダー胴？
159-19,クロウジュポン
159-90,ドリームローブ
154-31,ハイドラオーベール 
160-87,ハイドラジュポン
164-9,シパーヒジョシャン
163-81,ジャリダペティ
166-75,アミールコラジン
166-76,ペルワンカザガンド
166-77,イギトゴムレフ
170-94,コルセレット
170-95,弓道着
174-118,アレスキュイラス
174-119,スカディクウィリ
176-34,薄金腹巻
176-35,マルドゥクジュバ
176-36,モリガンローブ
183-40,ジョッキー服(橙)
183-41,ジョッキー服(黒)
183-42,ジョッキー服(紫)
183-43,ジョッキー服(水)
183-44,ジョッキー服(青)
183-45,ジョッキー服(赤)
183-46,ジョッキー服(白)
183-47,ジョッキー服(緑)
182-37,デナリジャケット
183-48,アスカルコラジン
183-49,ゴリアードサイオ
184-77,ヴァルハラブレスト
185-116,シャドウプレート
186-26,シャドウコート
157-39,ガルカジレ
143-43,おのこ浴衣
198-97,Unknown
198-98,Unknown
199-28,Unknown
199-29,Unknown
199-70,Unknown
200-106,Unknown
201-52,Unknown
204-76,Unknown
207-51,Unknown
312-107,Unknown
312-108,Unknown
312-109,Unknown
