56-80,装備なし
56-81,レザーバンダナ
56-82,サリット
56-83,忍鉢金
56-84,アイアンマスク
56-85,リザードヘルム
56-86,ラプトルヘルム
56-87,頭成兜
56-88,王国従士制式冑
56-89,王国騎士制式冑
56-90,パッデッドキャップ
56-91,ブロンズキャップ
56-92,ボーンマスク
56-93,鉢巻
56-94,ウールハット
56-95,連邦軍師制式帽子
56-96,サークレット
56-97,ヘッドギア
56-98,ダークアーメット
56-99,レッドキャップ
56-100,グリーンベレー
56-101,鋼鉄銃士隊制式冑
56-102,百人隊長面具
56-103,ガビアルマスク
56-104,フェイスガード
56-105,ミスリルサリット
56-106,ブルーリボン
56-107,パープルリボン
56-108,グリーンリボン
56-109,ブラックリボン
56-110,スカーレットリボン
94-83,ファイターマスク(AF1)
94-84,テンプルクラウン(AF1)
94-85,ヒーラーキャップ(AF1)
94-86,ウィザードペタソス(AF1)
94-87,ワーロックシャポー(AF1)
94-88,ローグボンネット(AF1)
96-109,ガラントコロネット(AF1)
96-110,カオスバーゴネット(AF1)
96-111,ビーストヘルム(AF1)
96-112,コラルラウンドリト(AF1)
96-113,ハンターベレー(AF1)
99-89,明珍桃形兜(AF1)
99-90,乱波半首(AF1)
99-91,ドラケンアーメット(AF1)
99-92,エボカーホーン(AF1)
164-4,メガスケフィエ(AF1)
164-5,コルセアトリコルヌ(AF1)
162-81,パペトリタージ(AF1)
121-108,クァールマスク
121-109,アダマンバルブータ
121-110,コーラルキャップ
121-111,ノーブルクラウン
121-112,チェラータ
121-113,羅漢陣鉢
121-114,ドラゴンマスク
125-11,羅刹陣鉢
125-12,クリムゾンマスク
125-13,アダマンチェラータ
125-14,オーガマスク
125-15,ケーニヒシャレル
125-66,ウォーベレー
127-86,パンプキンヘッド
127-87,浪士陣鉢
127-88,玄武兜
127-89,ヘカトンキャップ
127-90,エラントハット
130-23,タイガーマスク
130-24,ワイバーンヘルム
130-25,デーモンヘルム
130-26,修羅頭成兜
130-27,ゼニスクラウン
130-28,カラパスヘルム
130-29,ダスクマスク
130-30,ドラゴンキャップ
135-18,ウォリアーマスク(AF2)
135-19,メレークラウン(AF2)
135-20,クレリクキャップ(AF2)
135-21,ソーサラーペタソス(AF2)
135-22,デュエルシャポー(AF2)
135-23,アサシンボンネット(AF2)
135-24,ヴァラーコロネット(AF2)
135-25,アビスバーゴネット(AF2)
135-26,モンスターヘルム(AF2)
135-27,バードラウンドリト(AF2)
135-28,スカウトベレー(AF2)
135-29,早乙女桃形兜(AF2)
135-30,甲賀半首(AF2)
135-31,ウィルムアーメット(AF2)
135-32,サマナーホーン(AF2)
135-33,スコピオヘルム
135-34,オステアハット
138-117,パンサーマスク
138-118,オポオポ王の王冠
138-119,拡大眼鏡
138-120,防塵眼鏡
138-121,衛生帽子
138-122,遮光眼鏡
145-35,ガリシュクラウン
145-36,シアークラウン
145-37,？？？ベレー
145-38,ノクトベレー
146-23,？？？ティアラ
146-24,シェードティアラ
146-25,バイソンボンネット
146-26,シャイルターバン
146-65,バローネツッケット
146-104,イギラティアラ
148-38,アイゼンシャレル
149-68,ロードアーメット
149-114,ドリームキャップ
150-90,八幡陣鉢
151-67,ワイズキャップ
153-38,ユニコンキャップ
153-75,トレダーシャポー
154-88,アルミナサラド
155-14,ブラックサリット
155-79,マートキャップ
155-80,マンドラゴラベレー
155-81,ガイドベレー
152-80,オークヘルム
152-81,ヤグードヘッドギア
152-57,ゴブリンコイフ
152-82,クゥダフバルバト
156-93,スターズキャップ
156-109,ローレルクラウン
157-116,ナシラターバン
158-58,ホマムツッケット
158-111,黒トレダー頭？
159-18,クロウベレー
154-30,ハイドラムフル 
160-86,ハイドラキャップ 
164-6,シパーヒターバン
163-80,ジャリダクード
166-72,アミールバグリー
166-73,ペルワンカランスワ
166-74,イギトターバン
170-122,ウィッチハット
174-116,アレスマスク
174-117,スカディバイザー
176-31,薄金総面
176-32,マルドゥクティアラ
176-33,モリガンコロナル
182-35,デナリボンネット
182-36,エッグヘルム
183-38,アスカルツッケット
183-39,ゴリアードシャポー
186-24,ヴァルハラヘルム
185-115,シャドウヘルム
186-25,シャドウハット
186-125,グローリークラウン
186-126,モーグリキャップ
186-127,ノマドキャップ
187-64,レッドアイズ
188-8,マムージャヘルム
188-9,ラミアガーランド
188-10,トロールコイフ
188-11,キキルンフード
198-95,Unknown
198-96,Unknown
199-26,Unknown
199-27,Unknown
199-69,Unknown
200-105,Unknown
201-49,Unknown
201-50,Unknown
201-51,Unknown
210-81,Unknown
312-104,Unknown
312-105,Unknown
312-106,Unknown
