84-36,[格闘]コンボ
84-37,[格闘]タックル
84-38,[格闘]短勁
84-39,[格闘]バックハンドブロー
84-40,[格闘]乱撃
84-41,[格闘]スピンアタック
84-42,[格闘]空鳴拳
105-8,[格闘]双竜脚
105-9,[格闘]夢想阿修羅拳
141-10,[格闘]ファイナルヘブン

84-43,[短剣]ワスプスティング
84-44,[短剣]ガストスラッシュ
84-45,[短剣]シャドーステッチ
84-46,[短剣]バイパーバイト
84-47,[短剣]サイクロン
84-48,[短剣]エナジースティール
84-49,[短剣]エナジードレイン
84-50,[短剣]ダンシングエッジ
105-10,[短剣]シャークバイト
105-11,[短剣]エヴィサレーション
141-11,[短剣]マーシーストローク

84-27,[片手剣]ファストブレード
84-28,[片手剣]バーニングブレード
84-29,[片手剣]レッドロータス
84-32,[片手剣]フラットブレード
84-30,[片手剣]シャインブレード
84-31,[片手剣]セラフブレード
84-33,[片手剣]サークルブレード
84-34,[片手剣]スピリッツウィズイン
84-35,[片手剣]ボーパルブレード
105-6,[片手剣]スウィフトブレード
105-7,[片手剣]サベッジブレード
141-9,[片手剣]ナイツオブラウンド

84-65,[片手棍]シャインストライク
84-66,[片手棍]セラフストライク
84-67,[片手棍]ブレインシェイカー
84-68,[片手棍]スターライト
84-69,[片手棍]ムーンライト
84-70,[片手棍]スカルブレイカー
84-71,[片手棍]トゥルーストライク
84-72,[片手棍]ジャッジメント
105-16,[片手棍]ヘキサストライク
105-17,[片手棍]ブラックヘイロー
141-14,[片手棍]ランドグリース

84-51,[片手斧]レイジングアクス
84-52,[片手斧]スマッシュ
84-53,[片手斧]ラファールアクス
84-54,[片手斧]アバランチアクス
84-55,[片手斧]スピニングアクス
84-56,[片手斧]ランページ
84-57,[片手斧]カラミティ
105-12,[片手斧]ミストラルアクス
105-13,[片手斧]デシメーション
141-12,[片手斧]オンスロート

105-26,[片手刀]臨
105-27,[片手刀]烈
105-28,[片手刀]滴
105-29,[片手刀]凍
105-30,[片手刀]地
105-31,[片手刀]影
105-32,[片手刀]迅
105-33,[片手刀]天
105-34,[片手刀]空
141-19,[片手刀]生者必滅

84-80,[両手剣]ハードスラッシュ
84-81,[両手剣]パワースラッシュ
84-82,[両手剣]フロストバイト
84-83,[両手剣]フリーズバイト
84-84,[両手剣]ショックウェーブ
84-85,[両手剣]クレセントムーン
84-86,[両手剣]シックルムーン
105-20,[両手剣]スピンスラッシュ
105-21,[両手剣]グランドストライク
141-16,[両手剣]スカージ

84-94,[両手棍]ヘヴィスイング
84-95,[両手棍]ロッククラッシャー
84-96,[両手棍]アースクラッシャー
84-97,[両手棍]スターバースト
84-98,[両手棍]サンバースト
84-99,[両手棍]シェルクラッシャー
84-100,[両手棍]フルスイング
105-24,[両手棍]スピリットテーカー
105-25,[両手棍]レトリビューション
141-18,[両手棍]タルタロスゲート

84-73,[両手斧]シールドブレイク
84-74,[両手斧]アイアンテンペスト
84-75,[両手斧]シュトルムヴィント
84-76,[両手斧]アーマーブレイク
84-77,[両手斧]キーンエッジ
84-78,[両手斧]ウェポンブレイク
84-79,[両手斧]レイジングラッシュ
105-18,[両手斧]フルブレイク
105-19,[両手斧]スチールサイクロン
141-15,[両手斧]メタトロントーメント

105-35,[両手刀]壱之太刀・燕飛
105-36,[両手刀]弐之太刀・鋒縛
105-37,[両手刀]参之太刀・轟天
105-38,[両手刀]四之太刀・陽炎
105-39,[両手刀]五之太刀・陣風
105-40,[両手刀]六之太刀・光輝
105-41,[両手刀]七之太刀・雪風
105-42,[両手刀]八之太刀・月光
105-43,[両手刀]九之太刀・花車
141-20,[両手刀]零之太刀・回天

84-58,[両手鎌]スライス
84-59,[両手鎌]ダークハーベスト
84-60,[両手鎌]シャドーオブデス
84-61,[両手鎌]ナイトメアサイス
84-62,[両手鎌]スピニングサイス
84-63,[両手鎌]ボーパルサイス
84-64,[両手鎌]ギロティン
105-14,[両手鎌]クロスリーパー
105-15,[両手鎌]スパイラルヘル
141-13,[両手鎌]カスタロフィ

84-87,[両手槍]ダブルスラスト
84-88,[両手槍]サンダースラスト
84-89,[両手槍]ライデンスラスト
84-90,[両手槍]足払い
84-91,[両手槍]ペンタスラスト
84-92,[両手槍]ボーパルスラスト
84-93,[両手槍]スキュアー
105-22,[両手槍]大車輪
105-23,[両手槍]インパルスドライブ
141-17,[両手槍]ゲイルスコルグ

84-111,[弓術]フレイミングアロー
84-112,[弓術]ピアシングアロー
84-113,[弓術]ダリングアロー
84-115,[弓術]サイドワインダー
105-59,[弓術]ブラストアロー
105-60,[弓術]アーチングアロー
105-61,[弓術]エンピリアルアロー
141-21,[弓術]南無八幡

84-116,[射撃]ホットショット
84-117,[射撃]スプリットショット
84-118,[射撃]スナイパーショット
84-120,[射撃]スラッグショット
105-62,[射撃]ブラストショット
105-63,[射撃]ヘヴィショット
105-64,[射撃]デトネーター
141-22,[射撃]カラナック
