47-92,装備なし
47-93,レザートラウザ
47-94,クウィス
47-95,ズボン
47-96,忍袴
47-97,チェーンホーズ
47-98,リザードトラウザ
47-99,ラプトルトラウザ
47-100,初期装備
47-101,佩楯
47-102,リネンズボン
47-103,ホワイトズボン
47-104,王国従士制式下衣
47-105,王国騎士制式下衣
47-106,アイアンサブリガ
47-107,ブロンズサブリガ
47-108,ボーンサブリガ
47-109,下ばき
47-110,ウールスロップス
47-111,連邦軍師制式下衣
47-112,スロップス
47-113,ブレー
47-114,ダーククウィス
47-115,ホーズ
47-116,バトルホーズ
47-117,鋼鉄銃士隊制式股当
47-118,百人隊長股当
47-119,ガビアルクウィス
47-120,スケイルクウィス
47-121,ミスリルクウィス
47-122,種族装備
94-36,ファイタークウィス(AF1)
94-37,テンプルホーズ(AF1)
94-38,ヒーラーパンタロン(AF1)
94-39,ウィザードトンバン(AF1)
94-40,ワーロックタイツ(AF1)
94-41,ローグキュロット(AF1)
96-74,ガラントブリーチズ(AF1)
96-75,カオスフランチャー(AF1)
96-76,ビーストトラウザ(AF1)
96-77,コラルキャニオンズ(AF1)
96-78,ハンターブラッカエ(AF1)
99-38,明珍板佩楯(AF1)
99-39,乱波袴(AF1)
99-40,ドラケンブレー(AF1)
99-41,エボカースパッツ(AF1)
157-105,メガスシャルワー(AF1)
163-55,コルセアトルーズ(AF1)
163-56,パペトリチュリダル(AF1)
119-30,タイガートラウザ
119-31,アイアンクウィス
121-40,スチールクウィス
121-41,クァールトラウザ
121-42,アダマンクウィス
121-43,コーラルサブリガ
121-44,ノーブルズボン
121-45,シックブリーチズ
121-46,羅漢筒袴
121-47,ドラゴンクウィス
124-104,羅刹筒袴
124-105,クリムゾンクウィス
124-106,アダマンブリーチズ
124-107,オーガトラウザ
124-108,ケーニヒディヒリン
125-59,ウォーブレー
127-18,夜叉筒袴
127-19,白虎佩楯
127-20,ヘカトンサブリガ
127-21,エラントスロップス
127-22,フィッシャホーズ
127-23,チョコボホーズ
127-24,バガボンドホーズ
129-111,フィールドホーズ
129-112,修羅板佩楯
129-113,ゼニスズボン
129-114,ダスクトラウザ
129-115,ドラゴンサブリガ
134-24,ウォリアークウィス(AF2)
134-25,メレーホーズ(AF2)
134-26,クレリクパンタロン(AF2)
134-27,ソーサラートンバン(AF2)
134-28,デュエルタイツ(AF2)
134-29,アサシンキュロット(AF2)
134-30,ヴァラーブリーチズ(AF2)
134-31,アビスフランチャー(AF2)
134-32,モンスタートラウザ(AF2)
134-33,バードキャニオンズ(AF2)
134-34,スカウトブラッカエ(AF2)
134-35,早乙女板佩楯(AF2)
134-36,甲賀袴(AF2)
134-37,ウィルムブレー(AF2)
134-38,サマナースパッツ(AF2)
134-39,オステアスロップス
144-107,？？？タイツ
144-108,シェードタイツ
144-109,ガリシュズボン
144-110,シアーズボン
144-111,？？？ブレー
144-112,ノクトブレー
146-7,バイソンケックス
146-8,シャイルサラウィル
146-58,バローネコッシャレ
146-97,イギララッパ
148-31,アイゼンディヒリン
149-46,ロードクウィス
150-0,星座サブリガ
149-121,ウィル/フェーミナサブリガ
150-71,八幡袴
150-72,ブレスドズボン
151-60,ワイズブラコーニ
153-31,ユニコンサブリガ
153-68,トレダースロップス
154-77,アルミナブレエット
155-7,ブラッククウィス
157-106,ナシラサラウィル
158-45,ホマムコッシャレ
158-104,黒トレダー脚？
159-11,クロウホーズ
154-5,ハイドラブレエット 
160-79,ハイドラホーズ
163-57,シパーヒゼレハ
163-58,ジャリダシャルバル
166-49,アミールディル
166-50,ペルワンサラウィル
166-51,イギトサラウィル
174-102,アレスフランチャー
174-103,スカディショウス
176-10,薄金膝甲
176-11,マルドゥクシャルワ
176-12,モリガンスロップス
182-27,デナリケックス
183-16,アスカルディル
183-17,ゴリアードトルーズ
185-108,シャドウクイシュ
186-16,シャドウトルーズ
157-34,タルタルボクサー
157-35,タルタルショーツ
134-40,オパーラインホーズ
196-95,???
198-79,Unknown
198-80,Unknown
198-81,Unknown
199-12,Unknown
199-13,Unknown
199-32,Unknown
199-33,Unknown
199-66,Unknown
201-40,Unknown
204-72,Unknown
204-73,Unknown
207-45,Unknown
