46-114,装備なし
46-115,レザーバンダナ
46-116,サリット
46-117,忍鉢金
46-118,アイアンマスク
46-119,リザードヘルム
46-120,ラプトルヘルム
46-121,頭成兜
46-122,王国従士制式冑
46-123,王国騎士制式冑
46-124,パッデッドキャップ
46-125,ブロンズキャップ
46-126,ボーンマスク
46-127,鉢巻
47-0,ウールハット
47-1,連邦軍師制式帽子
47-2,サークレット
47-3,ヘッドギア
47-4,ダークアーメット
47-5,レッドキャップ
47-6,グリーンベレー
47-7,鋼鉄銃士隊制式冑
47-8,百人隊長面具
47-9,ガビアルマスク
47-10,フェイスガード
47-11,ミスリルサリット
47-12,ブルーリボン
47-13,パープルリボン
47-14,グリーンリボン
47-15,ブラックリボン
47-16,スカーレットリボン
94-13,ファイターマスク(AF1)
94-14,テンプルクラウン(AF1)
94-15,ヒーラーキャップ(AF1)
94-16,ウィザードペタソス(AF1)
94-17,ワーロックシャポー(AF1)
94-18,ローグボンネット(AF1)
96-59,ガラントコロネット(AF1)
96-60,カオスバーゴネット(AF1)
96-61,ビーストヘルム(AF1)
96-62,コラルラウンドリト(AF1)
96-63,ハンターベレー(AF1)
99-26,明珍桃形兜(AF1)
99-27,乱波半首(AF1)
99-28,ドラケンアーメット(AF1)
99-29,エボカーホーン(AF1)
157-99,メガスケフィエ(AF1)
163-43,コルセアトリコルヌ(AF1)
163-44,パペトリタージ(AF1)
121-17,クァールマスク
121-18,アダマンバルブータ
121-19,コーラルキャップ
121-20,ノーブルクラウン
121-21,チェラータ
121-22,羅漢陣鉢
121-23,ドラゴンマスク
124-89,羅刹陣鉢
124-90,クリムゾンマスク
124-91,アダマンチェラータ
124-92,オーガマスク
124-93,ケーニヒシャレル
125-56,ウォーベレー
126-126,パンプキンヘッド
126-127,浪士陣鉢
127-0,玄武兜
127-1,ヘカトンキャップ
127-2,エラントハット
129-91,タイガーマスク
129-92,ワイバーンヘルム
129-93,デーモンヘルム
129-94,修羅頭成兜
129-95,ゼニスクラウン
129-96,カラパスヘルム
129-97,ダスクマスク
129-98,ドラゴンキャップ
133-98,ウォリアーマスク(AF2)
133-99,メレークラウン(AF2)
133-100,クレリクキャップ(AF2)
133-101,ソーサラーペタソス(AF2)
133-102,デュエルシャポー(AF2)
133-103,アサシンボンネット(AF2)
133-104,ヴァラーコロネット(AF2)
133-105,アビスバーゴネット(AF2)
133-106,モンスターヘルム(AF2)
133-107,バードラウンドリト(AF2)
133-108,スカウトベレー(AF2)
133-109,早乙女桃形兜(AF2)
133-110,甲賀半首(AF2)
133-111,ウィルムアーメット(AF2)
133-112,サマナーホーン(AF2)
133-113,スコピオヘルム
133-114,オステアハット
138-14,パンサーマスク
138-15,オポオポ王の王冠
138-16,拡大眼鏡
138-17,防塵眼鏡
138-18,衛生帽子
138-19,遮光眼鏡
144-91,ガリシュクラウン
144-92,シアークラウン
144-93,？？？ベレー
144-94,ノクトベレー
145-127,？？？ティアラ
146-0,シェードティアラ
146-1,バイソンボンネット
146-2,シャイルターバン
146-55,バローネツッケット
146-94,イギラティアラ
148-28,アイゼンシャレル
149-44,ロードアーメット
149-112,ドリームキャップ
150-66,八幡陣鉢
151-57,ワイズキャップ
153-28,ユニコンキャップ
153-65,トレダーシャポー
154-74,アルミナサラド
155-4,ブラックサリット
155-73,マートキャップ
155-74,マンドラゴラベレー
155-75,ガイドベレー
152-74,オークヘルム
152-75,ヤグードヘッドギア
152-55,ゴブリンコイフ
152-76,クゥダフバルバト
156-91,スターズキャップ
156-107,ローレルクラウン
157-100,ナシラターバン
158-42,ホマムツッケット
158-101,黒トレダー頭？
159-8,クロウベレー
154-2,ハイドラムフル 
160-76,ハイドラキャップ
163-45,シパーヒターバン
163-46,ジャリダクード
166-40,アミールバグリー
166-41,ペルワンカランスワ
166-42,イギトターバン
170-114,ウィッチハット
174-96,アレスマスク
174-97,スカディバイザー
176-1,薄金総面
176-2,マルドゥクティアラ
176-3,モリガンコロナル
182-23,デナリボンネット
182-24,エッグヘルム
183-2,アスカルツッケット
183-3,ゴリアードシャポー
186-12,ヴァルハラヘルム
185-105,シャドウヘルム
186-13,シャドウハット
186-119,グローリークラウン
186-120,モーグリキャップ
186-121,ノマドキャップ
187-62,レッドアイズ
188-0,マムージャヘルム
188-1,ラミアガーランド
188-2,トロールコイフ
188-3,キキルンフード
133-115,リラコサージュ
196-19,Unknown
196-92,Unknown
196-92,???
198-70,Unknown
198-71,Unknown
198-72,Unknown
199-6,Unknown
199-7,Unknown
199-63,Unknown
201-35,Unknown
201-36,Unknown
201-37,Unknown
210-53,Unknown
