47-123,装備なし
47-124,レザーハイブーツ
47-125,プレートレギンス
47-126,ソレア
47-127,忍脚絆
48-0,グリーヴ
48-1,リザードレデルセン
48-2,ラプトルレデルセン
48-3,初期装備
48-4,脛当
48-5,シューズ
48-6,ストライダーブーツ
48-7,王国従士制式鎖靴
48-8,王国騎士制式鎖靴
48-9,レギンス
48-10,ブロンズレギンス
48-11,ボーンレギンス
48-12,脚絆
48-13,チェスナットサボ
48-14,連邦軍師制式靴
48-15,アッシュクロッグ
48-16,ゲートル
48-17,ダークサバトン
48-18,ソックス
48-19,バトルブーツ
48-20,鋼鉄銃士隊制式鉄靴
48-21,百人隊長脛当
48-22,ガビアルグリーヴ
48-23,スケイルグリーヴ
48-24,ミスリルレギンス
48-25,種族装備
94-42,ファイターカリガ(AF1)
94-43,テンプルゲートル(AF1)
94-44,ヒーラーダックビル(AF1)
94-45,ウィザードサボ(AF1)
94-46,ワーロックブーツ(AF1)
94-47,ローグプーレーヌ(AF1)
96-79,ガラントレギンス(AF1)
96-80,カオスソルレット(AF1)
96-81,ビーストゲートル(AF1)
96-82,コラルスリッパー(AF1)
96-83,ハンターソックス(AF1)
99-42,明珍筒脛当(AF1)
99-43,乱波脚絆(AF1)
99-44,ドラケングリーヴ(AF1)
99-45,エボカーピガッシュ(AF1)
157-107,メガスチャルク(AF1)
163-59,コルセアブーツ(AF1)
163-60,パペトリバブーシュ(AF1)
119-32,タイガーレデルセン
119-33,アイアングリーヴ
121-48,スチールグリーヴ
121-49,クァールレデルセン
121-50,アダマンサバトン
121-51,コーラルレギンス
121-52,ノーブルパンプス
121-53,シックソルレット
121-54,羅漢脛当
121-55,ドラゴングリーヴ 
124-109,羅刹脛当
124-110,クリムゾングリーヴ
124-111,アダマンソルレット
124-112,オーガレデルセン
124-113,ケーニヒシュー 
125-60,ウォーブーツ
127-25,夜叉脛当
127-26,朱雀脛当
127-27,ヘカトンレギンス
127-28,エラントピガッシュ
127-29,フィッシャブーツ
127-30,チョコボブーツ
127-31,バガボンドブーツ
129-116,フィールドブーツ
129-117,修羅篠脛当
129-118,ゼニスパンプス
129-119,ダスクレデルセン
129-120,ドラゴンレギンス
134-41,ウォリアーカリガ(AF2)
134-42,メレーゲートル(AF2)
134-43,クレリクダックビル(AF2)
134-44,ソーサラーサボ(AF2)
134-45,デュエルブーツ(AF2)
134-46,アサシンプーレーヌ(AF2)
134-47,ヴァラーレギンス(AF2)
134-48,アビスソルレット(AF2)
134-49,モンスターゲートル(AF2)
134-50,バードスリッパー(AF2)
134-51,スカウトソックス(AF2)
134-52,早乙女筒脛当(AF2)
134-53,甲賀脚絆(AF2)
134-54,ウィルムグリーヴ(AF2)
134-55,サマナーピガッシュ(AF2)
134-56,オステアサボ
138-34,ウェーダー
144-113,？？？スパッツ
144-114,シェードスパッツ
144-115,ガリシュパンプス
144-116,シアーパンプス
144-117,？？？ゲートル
144-118,ノクトゲートル
146-9,バイソンゲマッシュ
146-10,シャイルクラッコー
146-59,バローネガンビエラ
146-98,イギラファラッシュ
148-32,アイゼンシュー
149-47,ロードサバトン
150-73,八幡脛当
150-74,ブレスドパンプス
151-61,ワイズピガッシュ
153-32,ユニコンレギンス
153-69,トレダーピガッシュ
154-78,アルミナソルレ
155-8,ブラックソルレット
157-108,ナシラクラッコー
158-46,ホマムガンビエラ
158-105,黒トレダー足？
159-12,クロウゲートル
154-6,ハイドラソルレ 
160-80,ハイドラブーツ
163-61,シパーヒブーツ
163-62,ジャリダネール
166-52,アミールブーツ
166-53,ペルワンクラッコー
166-54,イギトクラッコー
174-104,アレスソルレット
174-105,スカディジャンボー
176-13,薄金脛当
176-14,マルドゥククラッコ
176-15,モリガンピガッシュ
182-28,デナリゲマッシュ
183-18,アスカルガンビエラ
183-19,ゴリアードクロッグ
185-109,シャドウサバトン
186-17,シャドウクロッグ
196-125,ドリームブーツ
157-48,無し
134-57,オパーラインブーツ
195-89,Unknown
196-96,???
196-125,Unknown
198-82,Unknown
198-83,Unknown
198-84,Unknown
199-14,Unknown
199-15,Unknown
199-67,Unknown
201-41,Unknown
207-46,Unknown
