48-26,素手
48-96,[格闘]アベンジャー
48-97,[格闘]ダークカタール
48-98,[格闘]カタール
48-99,[格闘]ジャマダル
48-100,[格闘]エグゾセ
48-101,[格闘]ダーククロー
48-102,[格闘]クロー
48-103,[格闘]ミスリルクロー
48-104,[格闘]サーメットクロー
48-105,[格闘]セスタス
48-106,[格闘]リザードセスタス
48-107,[格闘]ポイズンセスタス
48-108,[格闘]ダークナックル
48-109,[格闘]ブロンズナックル
48-110,[格闘]ブラスナックル
48-111,[格闘]メタルナックル
48-112,[格闘]ミスリルナックル
48-113,[格闘]ケーニヒスナックル
48-114,[格闘]ダイアナックル
48-115,[格闘]マノプル
48-116,[格闘]ゴールドパタ
48-117,[格闘]パタ
48-118,[格闘]ボーンパタ
48-119,[格闘]キャットバグナウ
48-120,[格闘]ブラスバグナウ
48-121,[格闘]バグナウ
48-122,[格闘]ルーンバグナウ(ﾙｰﾝ)
138-49,[格闘]スファライ(ﾚﾘｯｸ5)
149-55,[格闘]アダーガ
166-55,[格闘]サインティ
169-121,[格闘]ダークサインティ
171-74,[格闘]アダマンサインティ
172-27,[格闘]ブラックアダーガ
173-71,[格闘]ハデスサインティ
49-8,[短剣]バリアントナイフ
49-9,[短剣]ダークナイフ
49-10,[短剣]ブロンズナイフ
49-11,[短剣]ナイフ
49-12,[短剣]ミスリルナイフ
49-13,[短剣]サーメットナイフ
49-14,[短剣]ミセリコルデ
49-15,[短剣]ブロンズダガー
49-16,[短剣]ブラスダガー
49-17,[短剣]ダガー
49-18,[短剣]ミスリルダガー
49-19,[短剣]ダークバゼラード
49-20,[短剣]バゼラード
49-21,[短剣]ミスリルバゼラード
49-22,[短剣]ダークククリ
49-23,[短剣]ククリ
49-24,[短剣]ミスリルククリ
49-25,[短剣]サーメットククリ
49-26,[短剣]ハートスナッチャー
49-27,[短剣]パリーングナイフ
49-28,[短剣]連邦魔戦士制式短剣
49-29,[短剣]クリス
49-30,[短剣]トリプルダガー
49-31,[短剣]ボーンナイフ
99-53,[短剣]カルド
138-35,[短剣]マンダウ(ﾚﾘｯｸ5)
138-47,[短剣]名称不明
147-126,[短剣]ハルパー
163-123,[短剣]ジャンビア
172-26,[短剣]パラディウムダガー
173-30,[短剣]御方庖丁
175-11,[短剣]キマイラジャンビア
49-32,[片手剣]クリシュマルド
49-33,[片手剣]スモールソード
49-34,[片手剣]ビルボ
49-35,[片手剣]准銃士制式小剣
49-36,[片手剣]ジュワユース
49-37,[片手剣]シュレイガー
49-38,[片手剣]デュエルレイピア
49-39,[片手剣]デーゲン
49-40,[片手剣]ミスリルデーゲン
49-41,[片手剣]エペ
49-42,[片手剣]フルーレ
49-43,[片手剣]シュヴェールト
49-44,[片手剣]近衛騎士制式帯剣
49-100,[片手剣]スパタ
49-101,[片手剣]ゴールドソード
49-102,[片手剣]ロングソード
49-103,[片手剣]ナイトソード
49-104,[片手剣]サーベル
49-105,[片手剣]ルーンブレード(ﾙｰﾝ)
49-106,[片手剣]サパラ
49-107,[片手剣]シミター
49-108,[片手剣]タルワール
49-109,[片手剣]ハンガー
49-110,[片手剣]リディル
49-111,[片手剣]ダークファルシオン
49-112,[片手剣]プラチナカトラス
49-113,[片手剣]ファルシオン
49-114,[片手剣]カトラス
49-115,[片手剣]サイフォス
49-116,[片手剣]ブラスサイフォス
49-117,[片手剣]グラディウス
49-118,[片手剣]ダークソード
49-119,[片手剣]ブロンズソード
49-120,[片手剣]ジャドプラーテ
49-121,[片手剣]アイアンソード
49-122,[片手剣]ミスリルソード
49-123,[片手剣]ダインスレイフ
49-124,[片手剣]サーメットソード
49-125,[片手剣]アネラス
49-126,[片手剣]カッツバルゲル
49-127,[片手剣]ブロードソード
50-0,[片手剣]珊瑚の剣
50-1,[片手剣]フロッティ
50-2,[片手剣]バスタードソード
50-3,[片手剣]ハンティングソード
50-4,[片手剣]エスパドン
50-5,[片手剣]ナズ
50-6,[片手剣]古代の剣
50-7,[片手剣]カイザーソード
50-8,[片手剣]ダイセクター
50-9,[片手剣]名称不明09
50-10,[片手剣]グラットンソード
50-11,[片手剣]ウィングソード
121-58,[片手剣]エクスカリバー(ﾚﾘｯｸ5)
150-75,[片手剣]ショテル
163-63,[片手剣]キリジ
164-114,[片手剣]マクアフティル
169-120,[片手剣]ダークキリジ
170-115,[片手剣]ドラゴンスレイヤー
171-73,[片手剣]サングインソード
175-12,[片手剣]オートクレール
183-85,[片手剣]スチールキリジ
184-90,[片手剣]ホフド
48-42,[片手棍]名称不明
48-79,[片手棍]オークカジェル
48-80,[片手棍]ボーンカジェル
48-81,[片手棍]ブッディガン
48-82,[片手棍]ダークメイス
48-83,[片手棍]ブロンズメイス
48-84,[片手棍]プラチナメイス
48-85,[片手棍]メイス
48-86,[片手棍]ミスリルメイス
48-87,[片手棍]アッシュクラブ
48-88,[片手棍]チェスナットクラブ
48-89,[片手棍]シェルバスター
48-90,[片手棍]グレートクラブ
48-91,[片手棍]ダークモール
48-92,[片手棍]ブロンズハンマー
48-93,[片手棍]ブラスハンマー
48-94,[片手棍]ウォーハンマー
48-95,[片手棍]モール
49-69,[片手棍]セプター
49-70,[片手棍]ダークロッド
49-71,[片手棍]ブロンズロッド
49-72,[片手棍]ブラスロッド
49-73,[片手棍]ロッド
49-74,[片手棍]ミスリルロッド
49-75,[片手棍]ボーンロッド
49-76,[片手棍]エボニーワンド
49-77,[片手棍]ユーワンド
49-78,[片手棍]メープルワンド
49-79,[片手棍]神代の錫
49-80,[片手棍]ミステルテイン
49-81,[片手棍]ローズワンド
49-82,[片手棍]チェスナットワンド
49-83,[片手棍]ウィローワンド
49-84,[片手棍]カドゥケウス
49-85,[片手棍]名称不明
49-86,[片手棍]名称不明
49-87,[片手棍]チョコボワンド
49-88,[片手棍]名称不明
49-89,[片手棍]名称不明
49-90,[片手棍]名称不明
49-91,[片手棍]スターロッド
49-92,[片手棍]アスクレピオス
49-93,[片手棍]呪術の杖
49-94,[片手棍]スキールニルワンド
49-95,[片手棍]アースワンド
49-96,[片手棍]名称不明10
49-97,[片手棍]名称不明11
49-98,[片手棍]名称不明12
49-99,[片手棍]フェイワンド
50-30,[片手棍]ミョルニル(ﾚﾘｯｸ5)
138-37,[片手棍]ルーンロッド(ﾙｰﾝ)
138-44,[片手棍]名称不明15
149-48,[片手棍]モルゲンステルン
150-76,[片手棍]名称不明
159-96,[片手棍]チャームロッド
160-117,[片手棍]モグロッド
163-124,[片手棍]ジャダグナ
170-31,[片手棍]ノマドモグロッド
175-40,[片手棍]胡鬼板
183-84,[片手棍]ブラスジャダグナ
48-55,[片手斧]ブロンズアクス
48-56,[片手斧]ブラスアクス
48-57,[片手斧]バトルアクス
48-58,[片手斧]ミスリルアクス
48-59,[片手斧]ボーンアクス
48-60,[片手斧]タバルジン
48-61,[片手斧]ダークタバール
48-62,[片手斧]タバール
48-63,[片手斧]ダークアクス
48-64,[片手斧]ルーンアクス
48-65,[片手斧]ナトジーク
48-66,[片手斧]ダークピック
48-67,[片手斧]ウォーピック
48-68,[片手斧]ミスリルピック
48-69,[片手斧]ボーンピック
48-70,[片手斧]オーキシュアクス
138-48,[片手斧]ガトラー(ﾚﾘｯｸ5)
144-124,[片手斧]トマホーク
171-70,[片手斧]シリウスアクス
99-46,[片手刀]不動
99-47,[片手刀]脇指
99-48,[片手刀]小太刀
99-49,[片手刀]桜吹雪
99-50,[片手刀]兜割
99-51,[片手刀]雁行
99-52,[片手刀]苦無
138-45,[片手刀]鬼哭
152-11,[片手刀]釵
158-48,[片手刀]緋連雀
171-72,[片手刀]龍門
172-25,[片手刀]隼
183-83,[片手刀]十六夜
48-43,[両手剣]傭兵騎士団長大剣
48-44,[両手剣]ダーククレイモア
48-45,[両手剣]クレイモア
48-46,[両手剣]ミスリルクレイモア
48-47,[両手剣]グロリアスソード
48-48,[両手剣]アロンダイト
48-49,[両手剣]ツバイハンダー
48-50,[両手剣]トゥハンドソード
48-51,[両手剣]グレートソード
48-52,[両手剣]近衛騎士制式大剣
48-53,[両手剣]フランベルジュ
48-54,[両手剣]フォセ
121-56,[両手剣]ブラッディソード
121-57,[両手剣]ラグナロク(ﾚﾘｯｸ5)
121-59,[両手剣]バルムンク
144-123,[両手剣]ファルクス
149-50,[両手剣]名称不明
149-51,[両手剣]名称不明
163-121,[両手剣]アルゴル
170-117,[両手剣]ゴールドアルゴル
50-12,[両手棍]エルムスタッフ
50-13,[両手棍]ホリースタッフ
50-14,[両手棍]オークスタッフ
50-15,[両手棍]アッシュスタッフ
50-16,[両手棍]マホガニースタッフ
50-17,[両手棍]共和軍団兵制式戦杖
50-18,[両手棍]連邦賢者制式杖
50-19,[両手棍]スパイクドクラブ
50-20,[両手棍]ロックマッシャー
50-21,[両手棍]エボニーポール
50-22,[両手棍]エルムポール
50-23,[両手棍]ホリーポール
50-24,[両手棍]オークポール
50-25,[両手棍]アッシュポール
50-26,[両手棍]神代の杖
50-27,[両手棍]マホガニーポール
50-28,[両手棍]ルーンスタッフ(ﾙｰﾝ)
50-29,[両手棍]モンスターシグナ
127-33,[両手棍]ダークスタッフ
127-34,[両手棍]ウォータスタッフ
127-35,[両手棍]ウィンドスタッフ
