47-17,装備なし
47-18,レザーベスト
47-19,ブレストプレート
47-20,チュニック
47-21,忍上衣
47-22,チェーンメイル
47-23,リザードジャーキン
47-24,ラプトルジャーキン
47-25,初期装備
47-26,腹当
47-27,クローク
47-28,シルククローク
47-29,王国従士制式鎖帷子
47-30,王国騎士制式鎖帷子
47-31,パッデッドアーマー
47-32,ブロンズハーネス
47-33,ボーンハーネス
47-34,拳法着
47-35,ウールローブ
47-36,連邦軍師制式コート
47-37,ローブ
47-38,ダブレット
47-39,ダークキュイラス
47-40,ガンビスン
47-41,バトルジュポン
47-42,鋼鉄銃士隊制式胴鎧
47-43,百人隊長鎖帷子
47-44,ガビアルメイル
47-45,スケイルメイル
47-46,ミスリルブレスト
47-47,種族装備
47-48,アダマンブレスト
47-49,カーディナルベスト
47-50,スコピオハーネス
47-51,デーモンハーネス
47-52,ロードキュイラス
47-53,柔術着
47-54,王国騎士制式服
47-55,アクトン
47-56,ホーバージョン
47-57,バーニー
47-58,戦忍着
47-59,アースダブレット
47-60,ブリガンダイン
94-19,ジュストコール
94-20,ブラッククローク
94-21,バーミリオクローク
94-22,ブルーコタルディ
94-23,ブラックコタルディ
94-24,ファイターロリカ(AF1)
94-25,テンプルシクラス(AF1)
94-26,ヒーラーブリオー(AF1)
94-27,ウィザードコート(AF1)
94-28,ワーロックタバード(AF1)
94-29,ローグベスト(AF1)
96-64,ガラントサーコート(AF1)
96-65,カオスキュイラス(AF1)
96-66,ビーストジャック(AF1)
96-67,コラルジュストコル(AF1)
96-68,ハンタージャーキン(AF1)
99-30,明珍胴丸(AF1)
99-31,乱波鎖帷子(AF1)
99-32,ドラケンメイル(AF1)
99-33,エボカーダブレット(AF1)
157-101,メガズジュバ(AF1)
163-47,コルセアフラック(AF1)
163-48,パペトリトベ(AF1)
119-26,タイガージャーキン
119-27,アイアンスケイル
121-24,スチールスケイル
121-25,クァールジャーキン
121-26,アダマンキュイラス
121-27,コーラルハーネス
121-28,ノーブルチュニック
121-29,ホーバーク
121-30,羅漢作務衣
121-31,ドラゴンメイル
124-94,羅刹作務衣
124-95,クリムゾンスケイル
124-96,アダマンホーバーク
124-97,オーガジャーキン
124-98,ケーニヒキューラス
125-57,ウォーアクトン
127-3,ホーリーブレスト
127-4,夜叉作務衣
127-5,麒麟大袖
127-6,ヘカトンハーネス
127-7,エラントウプランド
127-8,フィッシャチュニカ
127-9,チョコボジャック
127-10,バガボンドチュニカ
129-99,フィールドチュニカ
129-100,修羅闘着
129-101,ダルマティカ
129-102,カラパスブレスト
129-103,ダスクジャーキン
129-104,ドラゴンハーネス
133-116,ウォリアーロリカ(AF2)
133-117,メレーシクラス(AF2)
133-118,クレリクブリオー(AF2)
133-119,ソーサラーコート(AF2)
133-120,デュエルタバード(AF2)
133-121,アサシンベスト(AF2)
133-122,ヴァラーサーコート(AF2)
133-123,アビスキュイラス(AF2)
133-124,モンスタージャック(AF2)
133-125,バードジュストコル(AF2)
133-126,スカウトジャーキン(AF2)
133-127,早乙女胴丸(AF2)
134-0,甲賀鎖帷子(AF2)
134-1,ウィルムメイル(AF2)
134-2,サマナーダブレット(AF2)
134-3,スコピオブレスト
134-4,オステアローブ
138-20,王国制式礼服
138-21,連邦制式礼服
138-22,共和国制式礼服
138-23,木彫師エプロン
138-24,鍛冶師エプロン
138-25,裁縫師エプロン
138-26,錬金術師エプロン
138-27,骨彫師エプロン
138-28,漁師エプロン
138-29,革細工師エプロン
138-30,調理師エプロン
138-31,彫金師エプロン
144-95,？？？ハーネス
144-96,シェードハーネス
144-97,ガリシュチュニック
144-98,シアーチュニック
144-99,セリーズダブレット
144-100,ノクトダブレット
146-3,バイソンジャケット
146-4,シャイルマンティル
146-56,バローネコラッツァ
146-95,イギラウエスキット
148-29,アイゼンブルスト
150-67,八幡胴丸
150-68,ブレスドブリオー
151-58,シャジュブル
153-29,ユニコンハーネス
153-66,トレダーサイオ
154-75,アルミナオーベール
155-5,ブラストロン
157-102,ナシラマンティル
158-43,ホマムコラッツァ
158-102,黒トレダー胴？
159-9,クロウジュポン
159-84,ドリームローブ
154-3,ハイドラオーベール 
160-77,ハイドラジュポン 
163-49,シパーヒジョシャン
163-50,ジャリダペティ
166-43,アミールコラジン
166-44,ペルワンカザガンド
166-45,イギトゴムレフ
170-90,コルセレット
170-91,弓道着
174-98,アレスキュイラス
174-99,スカディクウィリ
176-4,薄金腹巻
176-5,マルドゥクジュバ
176-6,モリガンローブ
183-4,ジョッキー服(橙)
183-5,ジョッキー服(黒)
183-6,ジョッキー服(紫)
183-7,ジョッキー服(水)
183-8,ジョッキー服(青)
183-9,ジョッキー服(赤)
183-10,ジョッキー服(白)
183-11,ジョッキー服(緑)
182-25,デナリジャケット
183-12,アスカルコラジン
183-13,ゴリアードサイオ
184-75,ヴァルハラブレスト
185-106,シャドウプレート
186-14,シャドウコート
157-31,タルタルマイヨー
157-32,タルタルトップ
143-28,おのこ浴衣
143-29,おみな浴衣
134-5,オパーラインドレス
196-93,???
198-73,Unknown
198-74,Unknown
198-75,Unknown
199-8,Unknown
199-9,Unknown
199-64,Unknown
201-38,Unknown
204-70,Unknown
204-71,Unknown
207-43,Unknown
