31-26,素手
36-29,[格闘]アベンジャー
36-30,[格闘]ダークカタール
36-31,[格闘]カタール
36-32,[格闘]ジャマダル
36-33,[格闘]エグゾセ
36-34,[格闘]ダーククロー
36-35,[格闘]クロー
36-36,[格闘]ミスリルクロー
36-37,[格闘]サーメットクロー
36-38,[格闘]セスタス
36-39,[格闘]リザードセスタス
36-40,[格闘]ポイズンセスタス
36-41,[格闘]ダークナックル
36-42,[格闘]ブロンズナックル
36-43,[格闘]ブラスナックル
36-44,[格闘]メタルナックル
36-45,[格闘]ミスリルナックル
36-46,[格闘]ケーニヒスナックル
36-47,[格闘]ダイアナックル
36-48,[格闘]マノプル
36-49,[格闘]ゴールドパタ
36-50,[格闘]パタ
36-51,[格闘]ボーンパタ
36-52,[格闘]キャットバグナウ
36-53,[格闘]ブラスバグナウ
36-54,[格闘]バグナウ
36-55,[格闘]ルーンバグナウ(ﾙｰﾝ)
142-22,[格闘]スファライ(ﾚﾘｯｸ5)
149-83,[格闘]アダーガ
166-89,[格闘]サインティ
170-4,[格闘]ダークサインティ
171-99,[格闘]アダマンサインティ
172-45,[格闘]ブラックアダーガ
173-75,[格闘]ハデスサインティ
110-77,[短剣]バリアントナイフ
110-78,[短剣]ダークナイフ
110-79,[短剣]ブロンズナイフ
110-80,[短剣]ナイフ
110-81,[短剣]ミスリルナイフ
110-82,[短剣]サーメットナイフ
110-83,[短剣]ミセリコルデ
110-84,[短剣]ブロンズダガー
110-85,[短剣]ブラスダガー
110-86,[短剣]ダガー
110-87,[短剣]ミスリルダガー
110-88,[短剣]ダークバゼラード
110-89,[短剣]バゼラード
110-90,[短剣]ミスリルバゼラード
110-91,[短剣]ダークククリ
110-92,[短剣]ククリ
110-93,[短剣]ミスリルククリ
110-94,[短剣]サーメットククリ
110-95,[短剣]ハートスナッチャー
110-96,[短剣]パリーングナイフ
110-97,[短剣]連邦魔戦士制式短剣
110-98,[短剣]クリス
110-99,[短剣]トリプルダガー
110-100,[短剣]ボーンナイフ
111-65,[短剣]カルド
142-16,[短剣]マンダウ(ﾚﾘｯｸ5)
142-20,[短剣]名称不明
148-2,[短剣]ハルパー
164-29,[短剣]ジャンビア
172-44,[短剣]パラディウムダガー
173-34,[短剣]御方庖丁
175-19,[短剣]キマイラジャンビア
110-101,[片手剣]クリシュマルド
110-102,[片手剣]スモールソード
110-103,[片手剣]ビルボ
110-104,[片手剣]准銃士制式小剣
110-105,[片手剣]ジュワユース
110-106,[片手剣]シュレイガー
110-107,[片手剣]デュエルレイピア
110-108,[片手剣]デーゲン
110-109,[片手剣]ミスリルデーゲン
110-110,[片手剣]エペ
110-111,[片手剣]フルーレ
110-112,[片手剣]シュヴェールト
110-113,[片手剣]近衛騎士制式帯剣
111-17,[片手剣]スパタ
111-18,[片手剣]ゴールドソード
111-19,[片手剣]ロングソード
111-20,[片手剣]ナイトソード
111-21,[片手剣]サーベル
111-22,[片手剣]ルーンブレード(ﾙｰﾝ)
111-23,[片手剣]サパラ
111-24,[片手剣]シミター
111-25,[片手剣]タルワール
111-26,[片手剣]ハンガー
111-27,[片手剣]リディル
111-28,[片手剣]ダークファルシオン
111-29,[片手剣]プラチナカトラス
111-30,[片手剣]ファルシオン
111-31,[片手剣]カトラス
111-32,[片手剣]サイフォス
111-33,[片手剣]ブラスサイフォス
111-34,[片手剣]グラディウス
111-35,[片手剣]ダークソード
111-36,[片手剣]ブロンズソード
111-37,[片手剣]ジャドプラーテ
111-38,[片手剣]アイアンソード
111-39,[片手剣]ミスリルソード
111-40,[片手剣]ダインスレイフ
111-41,[片手剣]サーメットソード
111-42,[片手剣]アネラス
111-43,[片手剣]カッツバルゲル
111-44,[片手剣]ブロードソード
111-45,[片手剣]珊瑚の剣
111-46,[片手剣]フロッティ
111-47,[片手剣]バスタードソード
111-48,[片手剣]ハンティングソード
111-49,[片手剣]エスパドン
111-50,[片手剣]ナズ
111-51,[片手剣]古代の剣
111-52,[片手剣]カイザーソード
111-53,[片手剣]ダイセクター
111-54,[片手剣]名称不明09
111-55,[片手剣]グラットンソード
111-56,[片手剣]ウィングソード
142-15,[片手剣]エクスカリバー(ﾚﾘｯｸ5)
150-105,[片手剣]ショテル
164-28,[片手剣]キリジ
164-122,[片手剣]マクアフティル
170-3,[片手剣]ダークキリジ
170-127,[片手剣]ドラゴンスレイヤー
171-98,[片手剣]サングインソード
