33-124,素手
34-66,[格闘]アベンジャー
34-67,[格闘]ダークカタール
34-68,[格闘]カタール
34-69,[格闘]ジャマダル
34-70,[格闘]エグゾセ
34-71,[格闘]ダーククロー
34-72,[格闘]クロー
34-73,[格闘]ミスリルクロー
34-74,[格闘]サーメットクロー
34-75,[格闘]セスタス
34-76,[格闘]リザードセスタス
34-77,[格闘]ポイズンセスタス
34-78,[格闘]ダークナックル
34-79,[格闘]ブロンズナックル
34-80,[格闘]ブラスナックル
34-81,[格闘]メタルナックル
34-82,[格闘]ミスリルナックル
34-83,[格闘]ケーニヒスナックル
34-84,[格闘]ダイアナックル
34-85,[格闘]マノプル
34-86,[格闘]ゴールドパタ
34-87,[格闘]パタ
34-88,[格闘]ボーンパタ
34-89,[格闘]キャットバグナウ
34-90,[格闘]ブラスバグナウ
34-91,[格闘]バグナウ
34-92,[格闘]ルーンバグナウ(ﾙｰﾝ)
137-35,[格闘]スファライ(ﾚﾘｯｸ5)
149-19,[格闘]アダーガ
166-7,[格闘]サインティ
169-112,[格闘]ダークサインティ
171-56,[格闘]アダマンサインティ
172-9,[格闘]ブラックアダーガ
173-68,[格闘]ハデスサインティ
34-106,[短剣]バリアントナイフ
34-107,[短剣]ダークナイフ
34-108,[短剣]ブロンズナイフ
34-109,[短剣]ナイフ
34-110,[短剣]ミスリルナイフ
34-111,[短剣]サーメットナイフ
34-112,[短剣]ミセリコルデ
34-113,[短剣]ブロンズダガー
34-114,[短剣]ブラスダガー
34-115,[短剣]ダガー
34-116,[短剣]ミスリルダガー
34-117,[短剣]ダークバゼラード
34-118,[短剣]バゼラード
34-119,[短剣]ミスリルバゼラード
34-120,[短剣]ダークククリ
34-121,[短剣]ククリ
34-122,[短剣]ミスリルククリ
34-123,[短剣]サーメットククリ
34-124,[短剣]ハートスナッチャー
34-125,[短剣]パリーングナイフ
34-126,[短剣]連邦魔戦士制式短剣
34-127,[短剣]クリス
35-0,[短剣]トリプルダガー
35-1,[短剣]ボーンナイフ
98-85,[短剣]カルド
137-21,[短剣]マンダウ(ﾚﾘｯｸ5)
137-33,[短剣]名称不明
147-123,[短剣]ハルパー
163-105,[短剣]ジャンビア
172-8,[短剣]パラディウムダガー
173-27,[短剣]御方庖丁
175-5,[短剣]キマイラジャンビア
35-2,[片手剣]クリシュマルド
35-3,[片手剣]スモールソード
35-4,[片手剣]ビルボ
35-5,[片手剣]准銃士制式小剣
35-6,[片手剣]ジュワユース
35-7,[片手剣]シュレイガー
35-8,[片手剣]デュエルレイピア
35-9,[片手剣]デーゲン
35-10,[片手剣]ミスリルデーゲン
35-11,[片手剣]エペ
35-12,[片手剣]フルーレ
35-13,[片手剣]シュヴェールト
35-14,[片手剣]近衛騎士制式帯剣
35-70,[片手剣]スパタ
35-71,[片手剣]ゴールドソード
35-72,[片手剣]ロングソード
35-73,[片手剣]ナイトソード
35-74,[片手剣]サーベル
35-75,[片手剣]ルーンブレード(ﾙｰﾝ)
35-76,[片手剣]サパラ
35-77,[片手剣]シミター
35-78,[片手剣]タルワール
35-79,[片手剣]ハンガー
35-80,[片手剣]リディル
35-81,[片手剣]ダークファルシオン
35-82,[片手剣]プラチナカトラス
35-83,[片手剣]ファルシオン
35-84,[片手剣]カトラス
35-85,[片手剣]サイフォス
