32-111,装備なし
32-112,レザーベスト
32-113,ブレストプレート
32-114,チュニック
32-115,忍上衣
32-116,チェーンメイル
32-117,リザードジャーキン
32-118,ラプトルジャーキン
32-119,初期装備
32-120,腹当
32-121,クローク
32-122,シルククローク
32-123,王国従士制式鎖帷子
32-124,王国騎士制式鎖帷子
32-125,パッデッドアーマー
32-126,ブロンズハーネス
32-127,ボーンハーネス
33-0,拳法着
33-1,ウールローブ
33-2,連邦軍師制式コート
33-3,ローブ
33-4,ダブレット
33-5,ダークキュイラス
33-6,ガンビスン
33-7,バトルジュポン
33-8,鋼鉄銃士隊制式胴鎧
33-9,百人隊長鎖帷子
33-10,ガビアルメイル
33-11,スケイルメイル
33-12,ミスリルブレスト
33-14,種族装備
33-15,アダマンブレスト
33-16,カーディナルベスト
33-17,スコピオハーネス
33-18,デーモンハーネス
33-19,ロードキュイラス
33-20,柔術着
33-21,王国騎士制式服
33-22,アクトン
33-23,ホーバージョン
33-24,バーニー
33-25,戦忍着
33-26,アースダブレット
33-27,ブリガンダイン
93-41,ジュストコール
93-42,ブラッククローク
93-43,バーミリオクローク
93-44,ブルーコタルディ
93-45,ブラックコタルディ
93-46,ファイターロリカ(AF1)
93-47,テンプルシクラス(AF1)
93-48,ヒーラーブリオー(AF1)
93-49,ウィザードコート(AF1)
93-50,ワーロックタバード(AF1)
93-51,ローグベスト(AF1)
95-117,ガラントサーコート(AF1)
95-118,カオスキュイラス(AF1)
95-119,ビーストジャック(AF1)
95-120,コラルジュストコル(AF1)
95-121,ハンタージャーキン(AF1)
98-62,明珍胴丸(AF1)
98-63,乱波鎖帷子(AF1)
98-64,ドラケンメイル(AF1)
98-65,エボカーダブレット(AF1)
162-52,メガズジュバ(AF1)
160-97,コルセアフラック(AF1)
163-4,パペトリトベ(AF1)
119-2,タイガージャーキン
119-3,アイアンスケイル
120-17,スチールスケイル
120-18,クァールジャーキン
120-19,アダマンキュイラス
120-20,コーラルハーネス
120-21,ノーブルチュニック
120-22,ホーバーク
120-23,羅漢作務衣
120-24,ドラゴンメイル
124-19,羅刹作務衣
124-20,クリムゾンスケイル
124-21,アダマンホーバーク
124-22,オーガジャーキン
124-23,ケーニヒキューラス
125-42,ウォーアクトン
125-126,ホーリーブレスト
125-127,夜叉作務衣
126-0,麒麟大袖
126-1,ヘカトンハーネス
126-2,エラントウプランド
126-3,フィッシャチュニカ
126-4,チョコボジャック
126-5,バガボンドチュニカ
129-9,フィールドチュニカ
129-10,修羅闘着
129-11,ダルマティカ
129-12,カラパスブレスト
129-13,ダスクジャーキン
129-14,ドラゴンハーネス
131-113,ウォリアーロリカ(AF2)
131-114,メレーシクラス(AF2)
131-115,クレリクブリオー(AF2)
131-116,ソーサラーコート(AF2)
131-117,デュエルタバード(AF2)
131-118,アサシンベスト(AF2)
131-119,ヴァラーサーコート(AF2)
131-120,アビスキュイラス(AF2)
131-121,モンスタージャック(AF2)
131-122,バードジュストコル(AF2)
131-123,スカウトジャーキン(AF2)
131-124,早乙女胴丸(AF2)
131-125,甲賀鎖帷子(AF2)
131-126,ウィルムメイル(AF2)
131-127,サマナーダブレット(AF2)
214-70,Mirage Jubbah (BLU AF2)
214-71,Commodore Frac (COR AF2)
214-72,Pantin Tobe (PUP AF2)
217-116,Etoile Casaque (DNC AF2)
217-74,Argute Gown (SCH AF2)
132-0,スコピオブレスト
132-1,オステアローブ
137-6,王国制式礼服
137-7,連邦制式礼服
137-8,共和国制式礼服
137-9,木彫師エプロン
