32-79,装備なし
32-80,レザーバンダナ
32-81,サリット
32-82,忍鉢金
32-83,アイアンマスク
32-84,リザードヘルム
32-85,ラプトルヘルム
32-86,頭成兜
32-87,王国従士制式冑
32-88,王国騎士制式冑
32-89,パッデッドキャップ
32-90,ブロンズキャップ
32-91,ボーンマスク
32-92,鉢巻
32-93,ウールハット
32-94,連邦軍師制式帽子
32-95,サークレット
32-96,ヘッドギア
32-97,ダークアーメット
32-98,レッドキャップ
32-99,グリーンベレー
32-100,鋼鉄銃士隊制式冑
32-101,百人隊長面具
32-102,ガビアルマスク
32-103,フェイスガード
32-104,ミスリルサリット
32-106,ブルーリボン
32-107,パープルリボン
32-108,グリーンリボン
32-109,ブラックリボン
32-110,スカーレットリボン
93-35,ファイターマスク(AF1)
93-36,テンプルクラウン(AF1)
93-37,ヒーラーキャップ(AF1)
93-38,ウィザードペタソス(AF1)
93-39,ワーロックシャポー(AF1)
93-40,ローグボンネット(AF1)
95-112,ガラントコロネット(AF1)
95-113,カオスバーゴネット(AF1)
95-114,ビーストヘルム(AF1)
95-115,コラルラウンドリト(AF1)
95-116,ハンターベレー(AF1)
98-58,明珍桃形兜(AF1)
98-59,乱波半首(AF1)
98-60,ドラケンアーメット(AF1)
98-61,エボカーホーン(AF1)
162-51,メガスケフィエ(AF1)
160-96,コルセアトリコルヌ(AF1)
163-1,パペトリタージ(AF1)
120-10,クァールマスク
120-11,アダマンバルブータ
120-12,コーラルキャップ
120-13,ノーブルクラウン
120-14,チェラータ
120-15,羅漢陣鉢
120-16,ドラゴンマスク
124-14,羅刹陣鉢
124-15,クリムゾンマスク
124-16,アダマンチェラータ
124-17,オーガマスク
124-18,ケーニヒシャレル
125-41,ウォーベレー
125-121,パンプキンヘッド
125-122,浪士陣鉢
125-123,玄武兜
125-124,ヘカトンキャップ
125-125,エラントハット
129-1,タイガーマスク
129-2,ワイバーンヘルム
129-3,デーモンヘルム
129-4,修羅頭成兜
129-5,ゼニスクラウン
