28-52,装備なし
28-53,レザーグローブ
28-54,ガントレット
28-55,ミトン
28-56,忍手甲
28-57,チェーンミトン
28-58,リザードグローブ
28-59,ラプトルグローブ
28-60,初期装備
28-61,篭手
28-62,リネンミトン
28-63,ブラックミトン
28-64,王国従士制式鎖手袋
28-65,王国騎士制式鎖手袋
28-66,アイアンミトン
28-67,ブロンズミトン
28-68,ボーンミトン
28-69,手甲
28-70,ウールカフス
28-71,連邦軍師制式袖飾り
28-72,カフス
28-73,グローブ
28-74,ダークガントレ
28-75,ブレーサー
28-76,バトルブレーサー
28-77,鋼鉄銃士隊制式篭手
28-78,百人隊長篭手
28-79,ガビアルフィンガー
28-80,スケイルフィンガー
28-81,ミスリルガントレ
28-83,種族装備
93-16,ファイターマフラ(AF1)
93-17,テンプルグローブ(AF1)
93-18,ヒーラーミトン(AF1)
93-19,ウィザードグローブ(AF1)
93-20,ワーロックグローブ(AF1)
93-21,ローグアームレット(AF1)
95-97,ガラントガントレ(AF1)
95-98,カオスガントレット(AF1)
95-99,ビーストグローブ(AF1)
95-100,コラルカフス(AF1)
95-101,ハンターブレーサー(AF1)
98-35,明珍筒篭手(AF1)
98-36,乱波手甲(AF1)
98-37,ドラケンフィンガー(AF1)
98-38,エボカーブレーサー(AF1)
157-59,メガスハズバンド(AF1)
160-93,コルセアガントリー(AF1)
163-93,パペトリダスタナ(AF1)
118-124,タイガーグローブ
118-125,アイアンフィンガー
119-108,スチールフィンガー
119-109,クァールグローブ
119-110,アダマンガントレ
119-111,コーラルミトン
119-112,ノーブルミトン
119-113,シックマフラ
119-114,羅漢手甲
119-115,ドラゴンフィンガー
123-127,羅刹手甲
124-0,クリムゾンフィンガ
124-1,アダマンマフラ
124-2,オーガグローブ
124-3,ケーニヒハントシュ
125-38,ウォーグローブ
125-91,夜叉手甲
125-92,青龍篭手
125-93,ヘカトンミトン
125-94,エラントカフス
125-95,フィッシャグローブ
125-96,チョコボグローブ
125-97,バガボンドグローブ 
128-113,フィールドグローブ
128-114,修羅篠篭手
128-115,ゼニスミトン
128-116,カラパスガントレ
128-117,ダスクグローブ
128-118,ドラゴンミトン
131-46,ウォリアーマフラ(AF2)
131-47,メレーグローブ(AF2)
131-48,クレリクミトン(AF2)
131-49,ソーサラーグローブ(AF2)
131-50,デュエルグローブ(AF2)
131-51,アサシンアムレット(AF2)
131-52,ヴァラーガントレ(AF2)
131-53,アビスガントレット(AF2)
131-54,モンスターグローブ(AF2)
131-55,バードカフス(AF2)
131-56,スカウトブレーサー(AF2)
131-57,早乙女筒篭手(AF2)
131-58,甲賀手甲(AF2)
131-59,ウィルムフィンガー(AF2)
131-60,サマナーブレーサー(AF2)
212-38,Mirage Bazubands (BLU AF2)
214-22,Commodore Gants (COR AF2)
212-39,Pantin Dastanas (PUP AF2)
217-112,Etoile Bangles (DNC AF2)
217-69,Argute Bracers (SCH AF2)
131-61,スコピオガントレ
131-62,オステアカフス 
136-99,木工軍手 革工手袋
136-100,耐熱ミトン
143-85,？？？ミトン
143-86,シェードミトン
143-87,ガリシュミトン
143-88,シアーミトン
143-89,？？？グローブ
143-90,ノクトグローブ
145-85,バイソンリスト
145-86,シャイルゲージ
146-37,バローネマノポラ
146-76,イギラマニラ
148-10,アイゼンヘンツェ
148-125,ロードガントレット
150-21,八幡篭手
150-22,ブレスドミトン
151-39,ワイズグローブ
153-10,ユニコンミトン
153-47,トレダーカフス
154-51,アルミナムフル
154-114,ブラックガドリング
157-77,ナシラゲージ
158-12,ホマムマノポラ
158-83,黒トレダー手？
158-118,クロウブレーサー
153-88,ハイドラムフル 
160-58,ハイドラブレーサー 
161-25,シパーヒダスタナ
161-27,ジャリダバズバンド
161-26,アミールコッルク
165-30,ペルワンダスタナ
164-105,イギトゲージ
174-33,アレスガントレット
174-34,スカディバズバンド
174-55,薄金篭手
174-56,マルドゥクダスタナ
174-57,モリガンカフス
182-2,デナリリスト
182-70,アスカルマノポラ
182-71,ゴリアードカフス
185-84,シャドウガントレ
185-85,シャドウカフス
164-104,ジャリダバズバンド(灰)
157-42,無し
28-82,ジャッジガントレ(GM)
189-23,ダンサーバングル
189-24,スカラーブレーサー
195-80,Unknown
196-64,フォースガントレ
199-45,Cobra Unit Gloves
200-74,Cobra Unit Mittens
201-17,Iron Ram Dastanas
198-108,Fourth Division Hentzes
196-64,Bastokan Armor
195-80,Orcish Gauntlets
157-42,-for Custom Gilet-
