28-116,装備なし
28-117,レザーハイブーツ
28-118,プレートレギンス
28-119,ソレア
28-120,忍脚絆
28-121,グリーヴ
28-122,リザードレデルセン
28-123,ラプトルレデルセン
28-124,初期装備
28-125,脛当
28-126,シューズ
28-127,ストライダーブーツ
29-0,王国従士制式鎖靴
29-1,王国騎士制式鎖靴
29-2,レギンス
29-3,ブロンズレギンス
29-4,ボーンレギンス
29-5,脚絆
29-6,チェスナットサボ
29-7,連邦軍師制式靴
29-8,アッシュクロッグ
29-9,ゲートル
29-10,ダークサバトン
29-11,ソックス
29-12,バトルブーツ
29-13,鋼鉄銃士隊制式鉄靴
29-14,百人隊長脛当
29-15,ガビアルグリーヴ
29-16,スケイルグリーヴ
29-17,ミスリルレギンス
29-19,種族装備
93-28,ファイターカリガ(AF1)
93-29,テンプルゲートル(AF1)
93-30,ヒーラーダックビル(AF1)
93-31,ウィザードサボ(AF1)
93-32,ワーロックブーツ(AF1)
93-33,ローグプーレーヌ(AF1)
95-107,ガラントレギンス(AF1)
95-108,カオスソルレット(AF1)
95-109,ビーストゲートル(AF1)
95-110,コラルスリッパー(AF1)
95-111,ハンターソックス(AF1)
98-43,明珍筒脛当(AF1)
98-44,乱波脚絆(AF1)
98-45,ドラケングリーヴ(AF1)
98-46,エボカーピガッシュ(AF1)
157-61,メガスチャルク(AF1)
160-95,コルセアブーツ(AF1)
163-95,パペトリバブーシュ(AF1)
119-0,タイガーレデルセン
119-1,アイアングリーヴ
119-124,スチールグリーヴ
119-125,クァールレデルセン
119-126,アダマンサバトン
119-127,コーラルレギンス
120-0,ノーブルパンプス
120-1,シックソルレット
120-2,羅漢脛当
120-3,ドラゴングリーヴ 
124-9,羅刹脛当
124-10,クリムゾングリーヴ
124-11,アダマンソルレット
124-12,オーガレデルセン
124-13,ケーニヒシュー 
125-40,ウォーブーツ
159-52,夜叉脛当
125-105,朱雀脛当
125-106,ヘカトンレギンス
125-107,エラントピガッシュ
125-108,フィッシャブーツ
125-109,チョコボブーツ
125-110,バガボンドブーツ
128-124,フィールドブーツ
128-125,修羅篠脛当
128-126,ゼニスパンプス
128-127,ダスクレデルセン
129-0,ドラゴンレギンス
131-79,ウォリアーカリガ(AF2)
131-80,メレーゲートル(AF2)
131-81,クレリクダックビル(AF2)
131-82,ソーサラーサボ(AF2)
131-83,デュエルブーツ(AF2)
131-84,アサシンプーレーヌ(AF2)
131-85,ヴァラーレギンス(AF2)
131-86,アビスソルレット(AF2)
131-87,モンスターゲートル(AF2)
131-88,バードスリッパー(AF2)
131-89,スカウトソックス(AF2)
131-90,早乙女筒脛当(AF2)
131-91,甲賀脚絆(AF2)
131-92,ウィルムグリーヴ(AF2)
131-93,サマナーピガッシュ(AF2)
212-42,Mirage Charuqs (BLU AF2)
214-24,Commodore Bottes (COR AF2)
212-43,Pantin Babouches (PUP AF2)
217-114,Etoile Shoes (DNC AF2)
217-71,Argute Loafers (SCH AF2)
131-94,オステアサボ
136-101,ウェーダー
143-97,？？？スパッツ
143-98,シェードスパッツ
143-99,ガリシュパンプス
143-100,シアーパンプス
143-101,？？？ゲートル
143-102,ノクトゲートル
145-89,バイソンゲマッシュ
145-90,シャイルクラッコー
146-39,バローネガンビエラ
146-78,イギラファラッシュ
148-12,アイゼンシュー
148-127,ロードサバトン
150-25,八幡脛当
150-26,ブレスドパンプス
151-41,ワイズピガッシュ
153-12,ユニコンレギンス
153-49,トレダーピガッシュ
154-53,アルミナソルレ
154-116,ブラックソルレット
157-79,ナシラクラッコー
158-14,ホマムガンビエラ
158-85,黒トレダー足？
158-120,クロウゲートル
153-90,ハイドラソルレ 
160-60,ハイドラブーツ
161-31,シパーヒブーツ
161-33,ジャリダネール
161-32,アミールブーツ
165-32,ペルワンクラッコー
164-109,イギトクラッコー
174-37,アレスソルレット
174-38,スカディジャンボー
174-61,薄金脛当
174-62,マルドゥククラッコ
174-63,モリガンピガッシュ
182-4,デナリゲマッシュ
182-74,アスカルガンビエラ
182-75,ゴリアードクロッグ
185-88,シャドウサバトン
185-89,シャドウクロッグ
196-111,ドリームブーツ
164-108,ジャリダネール(灰)
157-43,無し
29-18,ジャッジグリーヴ(GM)
189-27,ダンサートーシュー
189-28,スカラーローファー
195-81,Unknown
196-66,フォースサバトン
196-111,Dream Boots
199-47,Cobra Unit Boots
200-76,Cobra Unit Sabots
201-19,Iron Ram Sollerets
198-110,Fourth Division Boots
196-66,Bastokan Armor
195-81,Karasutengu Kogake
157-43,-for Custom Trunks-
207-30,Hachiryu Sune-Ate
157-43,-for Benedight Hose-
217-72,Noble Poulaines
219-61,Gothic Sabatons
235-51,Ebon Sabatons
235-52,Furia Sabatons
235-53,Ebur Sabatons
235-54,Ebon Greaves
235-55,Furia Greaves
235-56,Ebur Greaves
235-57,Ebon Sollerets
235-58,Furia Sollerets
235-59,Ebur Sollerets
235-60,Ebon Leggings
235-61,Furia Leggings
235-62,Ebur Leggings
227-87,Ebon Boots
227-88,Furia Boots
227-89,Ebur Boots
227-90,Ebon Socks
227-91,Furia Socks
227-92,Ebur Socks
227-93,Shikkoku Sune-ate
227-94,Shinku Sune-ate
227-95,Ginhaku Sune-ate
227-96,Ebon Gaiters
229-106,Furia Gaiters
229-107,Ebur Gaiters
231-125,Ebon Brogues
231-126,Furia Brogues
231-127,Ebur Brogues
232-0,Ebon Sabots
232-1,Furia Sabots
232-2,Ebur Sabots
232-3,Ebon Galoshes
232-4,Furia Galoshes
232-5,Ebur Galoshes
232-6,Ebon Clogs
232-7,Furia Clogs
232-8,Ebur Clogs
157-43,-for Dinner Hose-
239-43,Purple Boots
240-76,Spritewarden's Sabatons
247-75,Serpentes Sabots
247-76,Praeda Sabatons
247-77,Augur's Gaiters
220-75,Perle Solerets
220-76,Teal Pigaches
220-77,Aurore Gaiters
240-74,Goetia Sabots (BLM AF3)
240-75,Creed Sabatons (PLD AF3)
243-123,Ravager's Calligae (WAR AF3)
243-124,Estoqueur's Houseeaux (RDM AF3)
251-14,Tantra Gaiters (MNK AF3)
251-15,Raider's Poulaines (THF AF3)
251-16,Bale Sollerets (DRK AF3)
251-17,Ferine Ocreae (BST AF3)
251-18,Aoidos' Cothurnes (BRD AF3)
251-19,Unkai Sune-Ate (SAM AF3)
251-20,Iga Kyahan (NIN AF3)
251-21,Lancer's Schynbalds (DRG AF3)
251-22,Mavi Basmak (BLU AF3)
251-23,Navarch's Bottes (COR AF3)
251-24,Cirque Scarpe (PUP AF3)
251-25,Savant's Loafers (SCH AF3)
254-22,Orison Duckbills (WHM AF3)
254-78,Charis Toeshoes (DNC AF3)
255-19,Sylvan Bottillons (RNG AF3)
255-20,Caller's Pigaches (SMN AF3)
157-43,-for Novennial Hose-
264-26,Calmecac Leggings
264-27,Jingang Greaves
264-28,Menhit Leggings
268-21,Kheper Gamashes
268-22,Paean Boots
271-43,Ogier's Leggings
271-44,Athos's Boots
271-45,Rubeus Boots
277-58,Auspex Nails
277-59,Hrafn Gambieras
277-60,Tenryu Sune-Ate
280-90,
280-91,
157-43,-for Marine Boxers-
157-43,-for Decennial Hose-
282-40,Dux Greaves
282-41,Chelona Boots
157-43,-for Moogle Suit-
288-86,Ocular Boots
286-89, Geomancer AF1
292-32, Rune Fencer AF1
290-47, Karieyh Sollerets
290-48, Thurandaut Boots
290-49, Orvail Souliers
290-50, ???
292-31, Chocaliztli - Whirlpool
300-116, Mikinaak Greaves
300-117, Manibozho Boots
300-118, Bokwus Boots
