31-26,素手
31-53,[格闘]アベンジャー
31-54,[格闘]ダークカタール
31-55,[格闘]カタール
31-56,[格闘]ジャマダル
31-57,[格闘]エグゾセ
31-58,[格闘]ダーククロー
31-59,[格闘]クロー
31-60,[格闘]ミスリルクロー
31-61,[格闘]サーメットクロー
31-62,[格闘]セスタス
31-63,[格闘]リザードセスタス
31-64,[格闘]ポイズンセスタス
31-65,[格闘]ダークナックル
31-66,[格闘]ブロンズナックル
31-67,[格闘]ブラスナックル
31-68,[格闘]メタルナックル
31-69,[格闘]ミスリルナックル
31-70,[格闘]ケーニヒスナックル
31-71,[格闘]ダイアナックル
31-72,[格闘]マノプル
31-73,[格闘]ゴールドパタ
31-74,[格闘]パタ
31-75,[格闘]ボーンパタ
31-76,[格闘]キャットバグナウ
31-77,[格闘]ブラスバグナウ
31-78,[格闘]バグナウ
31-79,[格闘]ルーンバグナウ(ﾙｰﾝ)
142-14,[格闘]スファライ(ﾚﾘｯｸ5)
149-81,[格闘]アダーガ
166-88,[格闘]サインティ
170-2,[格闘]ダークサインティ
171-94,[格闘]アダマンサインティ
172-42,[格闘]ブラックアダーガ
173-74,[格闘]ハデスサインティ
109-30,[短剣]バリアントナイフ
109-31,[短剣]ダークナイフ
109-32,[短剣]ブロンズナイフ
109-33,[短剣]ナイフ
109-34,[短剣]ミスリルナイフ
109-35,[短剣]サーメットナイフ
109-36,[短剣]ミセリコルデ
109-37,[短剣]ブロンズダガー
109-38,[短剣]ブラスダガー
109-39,[短剣]ダガー
109-40,[短剣]ミスリルダガー
109-41,[短剣]ダークバゼラード
109-42,[短剣]バゼラード
109-43,[短剣]ミスリルバゼラード
109-44,[短剣]ダークククリ
109-45,[短剣]ククリ
109-46,[短剣]ミスリルククリ
109-47,[短剣]サーメットククリ
109-48,[短剣]ハートスナッチャー
109-49,[短剣]パリーングナイフ
109-50,[短剣]連邦魔戦士制式短剣
109-51,[短剣]クリス
109-52,[短剣]トリプルダガー
109-53,[短剣]ボーンナイフ
110-18,[短剣]カルド
142-8,[短剣]マンダウ
142-12,[短剣]名称不明
148-1,[短剣]ハルパー
164-26,[短剣]ジャンビア
172-41,[短剣]パラディウムダガー
173-33,[短剣]御方庖丁
175-17,[短剣]キマイラジャンビア
109-54,[片手剣]クリシュマルド
109-55,[片手剣]スモールソード
109-56,[片手剣]ビルボ
109-57,[片手剣]准銃士制式小剣
109-58,[片手剣]ジュワユース
109-59,[片手剣]シュレイガー
109-60,[片手剣]デュエルレイピア
109-61,[片手剣]デーゲン
109-62,[片手剣]ミスリルデーゲン
109-63,[片手剣]エペ
109-64,[片手剣]フルーレ
109-65,[片手剣]シュヴェールト
109-66,[片手剣]近衛騎士制式帯剣
109-98,[片手剣]スパタ
109-99,[片手剣]ゴールドソード
109-100,[片手剣]ロングソード
109-101,[片手剣]ナイトソード
109-102,[片手剣]サーベル
109-103,[片手剣]ルーンブレード(ﾙｰﾝ)
