31-82,装備なし
31-83,[投擲]フレイムブーメラン
31-84,[投擲]ブーメラン
31-85,[投擲]ライジングサン
31-86,[投擲]チャクラム
31-87,[投擲]円月輪
31-88,[投擲]グレネード
31-89,[投擲]十字手裏剣
150-6,[投擲]風魔手裏剣
148-108,[投擲]銛
148-107,[投擲]まさかり
31-90,[弓]ジェンダワ
31-91,[弓]ロクスリーボウ
31-92,[弓]ウォーボウ
31-93,[弓]グレートボウ
31-94,[弓]バトルボウ
31-95,[弓]パワーボウ
31-96,[弓]ロングボウ
31-97,[弓]ラピッドボウ
31-98,[弓]名称不明
31-99,[弓]セルフボウ
31-100,[弓]カマン
31-101,[弓]名称不明
31-102,[弓]ラップドボウ
31-103,[弓]義勇兵の弓
31-104,[弓]エクスパンジャー
31-105,[弓]スピードボウ
31-106,[弓]ハンティングボウ
31-107,[弓]コンポジットボウ
31-108,[弓]名称不明
31-109,[弓]ショートボウ
31-110,[弓]ルーンボウ(ﾙｰﾝ)
120-9,[弓]重藤弓
143-110,[弓]与一の弓
166-119,[弓]ラミアンカマン
31-111,[射撃]ヘヴィクロスボウ
31-112,[射撃]クロスボウ
31-113,[射撃]アルバレスト
31-114,[射撃]ザンバーハ
31-115,[射撃]ライトクロスボウ
31-116,[射撃]根来式鉄砲
31-117,[射撃]ヘルファイア
31-118,[射撃]ハーケンビュクゼ
31-119,[射撃]バンティットガン
31-120,[射撃]リピーティングボウ
31-121,[射撃]パワークロスボウ
31-122,[射撃]カルバリン
136-117,[射撃]コフィンメーカー
143-109,[射撃]アナイアレイター
163-101,[射撃]ヘキサガン
169-110,[射撃]ダークヘキサガン
183-70,[射撃]マーズヘキサガン
31-123,[管楽器]トラベルシエール
31-124,[管楽器]フルート
31-125,[管楽器]ピッコロ
31-126,[管楽器]フェアリーピッコロ
31-127,[管楽器]ホルン
32-0,[管楽器]コルネット
32-1,[管楽器]クラムホルン
32-2,[管楽器]ゲムショルン
136-118,[管楽器]ギャッラルホルン
32-3,[弦楽器]エボニーハープ
32-4,[弦楽器]名称不明
32-5,[弦楽器]ラミアの竪琴
32-6,[弦楽器]メープルハープ
32-7,[弦楽器]ナースメイドハープ
32-8,[弦楽器]神代の竪琴
32-9,[弦楽器]ハープ
32-10,[弦楽器]ローズハープ
32-11,[弦楽器]嘆きの竪琴
32-12,[弦楽器]キタラアングリカ
