52-88,装備なし
52-89,レザートラウザ
52-90,クウィス
52-91,ズボン
52-92,忍袴
52-93,チェーンホーズ
52-94,リザードトラウザ
52-95,ラプトルトラウザ
52-96,初期装備
52-97,佩楯
52-98,リネンズボン
52-99,ホワイトズボン
52-100,王国従士制式下衣
52-101,王国騎士制式下衣
52-102,アイアンサブリガ
52-103,ブロンズサブリガ
52-104,ボーンサブリガ
52-105,下ばき
52-106,ウールスロップス
52-107,連邦軍師制式下衣
52-108,スロップス
52-109,ブレー
52-110,ダーククウィス
52-111,ホーズ
52-112,バトルホーズ
52-113,鋼鉄銃士隊制式股当
52-114,百人隊長股当
52-115,ガビアルクウィス
52-116,スケイルクウィス
52-117,ミスリルクウィス
52-118,種族装備
94-71,ファイタークウィス(AF1)
94-72,テンプルホーズ(AF1)
94-73,ヒーラーパンタロン(AF1)
94-74,ウィザードトンバン(AF1)
94-75,ワーロックタイツ(AF1)
94-76,ローグキュロット(AF1)
96-99,ガラントブリーチズ(AF1)
96-100,カオスフランチャー(AF1)
96-101,ビーストトラウザ(AF1)
96-102,コラルキャニオンズ(AF1)
96-103,ハンターブラッカエ(AF1)
99-70,明珍板佩楯(AF1)
99-71,乱波袴(AF1)
99-72,ドラケンブレー(AF1)
99-73,エボカースパッツ(AF1)
163-73,メガスシャルワー(AF1)
160-104,コルセアトルーズ(AF1)
162-79,パペトリチュリダル(AF1)
119-38,タイガートラウザ
119-39,アイアンクウィス
121-86,スチールクウィス
121-87,クァールトラウザ
121-88,アダマンクウィス
121-89,コーラルサブリガ
121-90,ノーブルズボン
121-91,シックブリーチズ
121-92,羅漢筒袴
121-93,ドラゴンクウィス
125-1,羅刹筒袴
125-2,クリムゾンクウィス
125-3,アダマンブリーチズ
125-4,オーガトラウザ
125-5,ケーニヒディヒリン
125-64,ウォーブレー
127-62,夜叉筒袴
127-63,白虎佩楯
127-64,ヘカトンサブリガ
127-65,エラントスロップス
127-66,フィッシャホーズ
127-67,チョコボホーズ
127-68,バガボンドホーズ
130-13,フィールドホーズ
130-14,修羅板佩楯
130-15,ゼニスズボン
130-16,ダスクトラウザ
130-17,ドラゴンサブリガ
134-112,ウォリアークウィス(AF2)
134-113,メレーホーズ(AF2)
134-114,クレリクパンタロン(AF2)
134-115,ソーサラートンバン(AF2)
134-116,デュエルタイツ(AF2)
134-117,アサシンキュロット(AF2)
134-118,ヴァラーブリーチズ(AF2)
134-119,アビスフランチャー(AF2)
134-120,モンスタートラウザ(AF2)
134-121,バードキャニオンズ(AF2)
134-122,スカウトブラッカエ(AF2)
134-123,早乙女板佩楯(AF2)
134-124,甲賀袴(AF2)
134-125,ウィルムブレー(AF2)
134-126,サマナースパッツ(AF2)
134-127,オステアスロップス
145-15,？？？タイツ
145-16,シェードタイツ
145-17,ガリシュズボン
145-18,シアーズボン
145-19,？？？ブレー
145-20,ノクトブレー
146-19,バイソンケックス
146-20,シャイルサラウィル
146-63,バローネコッシャレ
146-102,イギララッパ
148-36,アイゼンディヒリン
149-58,ロードクウィス
150-1,星座サブリガ
149-122,フェーミナサブリガ
150-83,八幡袴
150-84,ブレスドズボン
151-65,ワイズブラコーニ
153-36,ユニコンサブリガ
153-73,トレダースロップス
154-84,アルミナブレエット
155-12,ブラッククウィス
157-113,ナシラサラウィル
158-53,ホマムコッシャレ
158-109,黒トレダー脚？
159-16,クロウホーズ
154-22,ハイドラブレエット 
160-84,ハイドラホーズ 
163-74,シパーヒゼレハ
163-75,ジャリダシャルバル
166-65,アミールディル
166-66,ペルワンサラウィル
166-67,イギトサラウィル
174-112,アレスフランチャー
174-113,スカディショウス
176-25,薄金膝甲
176-26,マルドゥクシャルワ
176-27,モリガンスロップス
182-33,デナリケックス
183-34,アスカルディル
183-35,ゴリアードトルーズ
185-113,シャドウクイシュ
186-22,シャドウトルーズ
157-38,ミスラショーツ
135-0,オパーラインホーズ
196-99,???
198-91,Unknown
198-92,Unknown
199-22,Unknown
199-23,Unknown
200-102,Unknown
201-47,Unknown
204-75,Unknown
207-49,Unknown
214-49,Unknown
214-50,Unknown
214-51,Unknown
