52-119,装備なし
52-120,レザーハイブーツ
52-121,プレートレギンス
52-122,ソレア
52-123,忍脚絆
52-124,グリーヴ
52-125,リザードレデルセン
52-126,ラプトルレデルセン
52-127,初期装備
53-0,脛当
53-1,シューズ
53-2,ストライダーブーツ
53-3,王国従士制式鎖靴
53-4,王国騎士制式鎖靴
53-5,レギンス
53-6,ブロンズレギンス
53-7,ボーンレギンス
53-8,脚絆
53-9,チェスナットサボ
53-10,連邦軍師制式靴
53-11,アッシュクロッグ
53-12,ゲートル
53-13,ダークサバトン
53-14,ソックス
53-15,バトルブーツ
53-16,鋼鉄銃士隊制式鉄靴
53-17,百人隊長脛当
53-18,ガビアルグリーヴ
53-19,スケイルグリーヴ
53-20,ミスリルレギンス
53-21,種族装備
94-77,ファイターカリガ(AF1)
94-78,テンプルゲートル(AF1)
94-79,ヒーラーダックビル(AF1)
94-80,ウィザードサボ(AF1)
94-81,ワーロックブーツ(AF1)
94-82,ローグプーレーヌ(AF1)
96-104,ガラントレギンス(AF1)
96-105,カオスソルレット(AF1)
96-106,ビーストゲートル(AF1)
96-107,コラルスリッパー(AF1)
96-108,ハンターソックス(AF1)
99-74,明珍筒脛当(AF1)
99-75,乱波脚絆(AF1)
99-76,ドラケングリーヴ(AF1)
99-77,エボカーピガッシュ(AF1)
163-76,メガスチャルク(AF1)
160-105,コルセアブーツ(AF1)
162-80,パペトリバブーシュ(AF1)
119-40,タイガーレデルセン
119-41,アイアングリーヴ
121-94,スチールグリーヴ
121-95,クァールレデルセン
121-96,アダマンサバトン
121-97,コーラルレギンス
121-98,ノーブルパンプス
121-99,シックソルレット
121-100,羅漢脛当
121-101,ドラゴングリーヴ 
125-6,羅刹脛当
125-7,クリムゾングリーヴ
125-8,アダマンソルレット
125-9,オーガレデルセン
125-10,ケーニヒシュー 
125-65,ウォーブーツ
127-69,夜叉脛当
127-70,朱雀脛当
127-71,ヘカトンレギンス
127-72,エラントピガッシュ
127-73,フィッシャブーツ
127-74,チョコボブーツ
127-75,バガボンドブーツ
130-18,フィールドブーツ
130-19,修羅篠脛当
130-20,ゼニスパンプス
130-21,ダスクレデルセン
130-22,ドラゴンレギンス
135-1,ウォリアーカリガ(AF2)
135-2,メレーゲートル(AF2)
135-3,クレリクダックビル(AF2)
135-4,ソーサラーサボ(AF2)
135-5,デュエルブーツ(AF2)
135-6,アサシンプーレーヌ(AF2)
135-7,ヴァラーレギンス(AF2)
135-8,アビスソルレット(AF2)
135-9,モンスターゲートル(AF2)
135-10,バードスリッパー(AF2)
135-11,スカウトソックス(AF2)
135-12,早乙女筒脛当(AF2)
135-13,甲賀脚絆(AF2)
135-14,ウィルムグリーヴ(AF2)
135-15,サマナーピガッシュ(AF2)
135-16,オステアサボ
138-90,ウェーダー
145-21,？？？スパッツ
145-22,シェードスパッツ
145-23,ガリシュパンプス
145-24,シアーパンプス
145-25,？？？ゲートル
145-26,ノクトゲートル
146-21,バイソンゲマッシュ
146-22,シャイルクラッコー
146-64,バローネガンビエラ
146-103,イギラファラッシュ
148-37,アイゼンシュー
149-59,ロードサバトン
150-85,八幡脛当
150-86,ブレスドパンプス
151-66,ワイズピガッシュ
153-37,ユニコンレギンス
153-74,トレダーピガッシュ
154-85,アルミナソルレ
155-13,ブラックソルレット
157-114,ナシラクラッコー
158-54,ホマムガンビエラ
158-110,黒トレダー足？
159-17,クロウゲートル
154-23,ハイドラソルレ 
160-85,ハイドラブーツ
163-77,シパーヒブーツ
163-78,ジャリダネール
166-68,アミールブーツ
166-69,ペルワンクラッコー
166-70,イギトクラッコー
174-114,アレスソルレット
174-115,スカディジャンボー
176-28,薄金脛当
176-29,マルドゥククラッコ
176-30,モリガンピガッシュ
182-34,デナリゲマッシュ
183-36,アスカルガンビエラ
183-37,ゴリアードクロッグ
185-114,シャドウサバトン
186-23,シャドウクロッグ
196-128,ドリームブーツ
157-49,無し
135-17,オパーラインブーツ
195-91,Unknown
196-100,???
196-126,Unknown
198-93,Unknown
198-94,Unknown
199-24,Unknown
199-25,Unknown
200-103,Unknown
201-48,Unknown
207-50,Unknown
214-52,Unknown
214-53,Unknown
214-54,Unknown
