55-27,素手
55-54,[格闘]アベンジャー
55-55,[格闘]ダークカタール
55-56,[格闘]カタール
55-57,[格闘]ジャマダル
55-58,[格闘]エグゾセ
55-59,[格闘]ダーククロー
55-60,[格闘]クロー
55-61,[格闘]ミスリルクロー
55-62,[格闘]サーメットクロー
55-63,[格闘]セスタス
55-64,[格闘]リザードセスタス
55-65,[格闘]ポイズンセスタス
55-66,[格闘]ダークナックル
55-67,[格闘]ブロンズナックル
55-68,[格闘]ブラスナックル
55-69,[格闘]メタルナックル
55-70,[格闘]ミスリルナックル
55-71,[格闘]ケーニヒスナックル
55-72,[格闘]ダイアナックル
55-73,[格闘]マノプル
55-74,[格闘]ゴールドパタ
55-75,[格闘]パタ
55-76,[格闘]ボーンパタ
55-77,[格闘]キャットバグナウ
55-78,[格闘]ブラスバグナウ
55-79,[格闘]バグナウ
55-80,[格闘]ルーンバグナウ(ﾙｰﾝ)
142-54,[格闘]スファライ(ﾚﾘｯｸ5)
149-91,[格闘]アダーガ
166-93,[格闘]サインティ
170-12,[格闘]ダークサインティ
171-119,[格闘]アダマンサインティ
172-57,[格闘]ブラックアダーガ
173-79,[格闘]ハデスサインティ
115-119,[短剣]バリアントナイフ
115-120,[短剣]ダークナイフ
115-121,[短剣]ブロンズナイフ
115-122,[短剣]ナイフ
115-123,[短剣]ミスリルナイフ
115-124,[短剣]サーメットナイフ
115-125,[短剣]ミセリコルデ
115-126,[短剣]ブロンズダガー
115-127,[短剣]ブラスダガー
116-0,[短剣]ダガー
116-1,[短剣]ミスリルダガー
116-2,[短剣]ダークバゼラード
116-3,[短剣]バゼラード
116-4,[短剣]ミスリルバゼラード
116-5,[短剣]ダークククリ
116-6,[短剣]ククリ
116-7,[短剣]ミスリルククリ
116-8,[短剣]サーメットククリ
116-9,[短剣]ハートスナッチャー
116-10,[短剣]パリーングナイフ
116-11,[短剣]連邦魔戦士制式短剣
116-12,[短剣]クリス
116-13,[短剣]トリプルダガー
116-14,[短剣]ボーンナイフ
116-107,[短剣]カルド
142-048,[短剣]マンダウ(ﾚﾘｯｸ5)
142-052,[短剣]名称不明
148-6,[短剣]ハルパー
164-40,[短剣]ジャンビア
172-56,[短剣]パラディウムダガー
173-38,[短剣]御方庖丁
175-27,[短剣]キマイラジャンビア
116-15,[片手剣]クリシュマルド
116-16,[片手剣]スモールソード
116-17,[片手剣]ビルボ
116-18,[片手剣]准銃士制式小剣
116-19,[片手剣]ジュワユース
116-20,[片手剣]シュレイガー
116-21,[片手剣]デュエルレイピア
116-22,[片手剣]デーゲン
116-23,[片手剣]ミスリルデーゲン
116-24,[片手剣]エペ
116-25,[片手剣]フルーレ
116-26,[片手剣]シュヴェールト
116-27,[片手剣]近衛騎士制式帯剣
116-59,[片手剣]スパタ
116-60,[片手剣]ゴールドソード
116-61,[片手剣]ロングソード
116-62,[片手剣]ナイトソード
116-63,[片手剣]サーベル
116-64,[片手剣]ルーンブレード(ﾙｰﾝ)
116-65,[片手剣]サパラ
116-66,[片手剣]シミター
116-67,[片手剣]タルワール
116-68,[片手剣]ハンガー
116-69,[片手剣]リディル
116-70,[片手剣]ダークファルシオン
116-71,[片手剣]プラチナカトラス
116-72,[片手剣]ファルシオン
116-73,[片手剣]カトラス
116-74,[片手剣]サイフォス
116-75,[片手剣]ブラスサイフォス
116-76,[片手剣]グラディウス
116-77,[片手剣]ダークソード
116-78,[片手剣]ブロンズソード
116-79,[片手剣]ジャドプラーテ
116-80,[片手剣]アイアンソード
116-81,[片手剣]ミスリルソード
116-82,[片手剣]ダインスレイフ
116-83,[片手剣]サーメットソード
116-84,[片手剣]アネラス
116-85,[片手剣]カッツバルゲル
116-86,[片手剣]ブロードソード
116-87,[片手剣]珊瑚の剣
116-88,[片手剣]フロッティ
116-89,[片手剣]バスタードソード
116-90,[片手剣]ハンティングソード
116-91,[片手剣]エスパドン
116-92,[片手剣]ナズ
116-93,[片手剣]古代の剣
116-94,[片手剣]カイザーソード
116-95,[片手剣]ダイセクター
116-96,[片手剣]名称不明09
116-97,[片手剣]グラットンソード
116-98,[片手剣]ウィングソード
142-047,[片手剣]エクスカリバー(ﾚﾘｯｸ5)
150-117,[片手剣]ショテル
164-39,[片手剣]キリジ
165-6,[片手剣]マクアフティル
170-11,[片手剣]ダークキリジ
171-3,[片手剣]ドラゴンスレイヤー
171-118,[片手剣]サングインソード
175-28,[片手剣]オートクレール
183-112,[片手剣]スチールキリジ
184-101,[片手剣]ホフド
115-85,[片手棍]名称不明
115-102,[片手棍]オークカジェル
115-103,[片手棍]ボーンカジェル
115-104,[片手棍]ブッディガン
115-105,[片手棍]ダークメイス
115-106,[片手棍]ブロンズメイス
115-107,[片手棍]プラチナメイス
115-108,[片手棍]メイス
115-109,[片手棍]ミスリルメイス
115-110,[片手棍]アッシュクラブ
115-111,[片手棍]チェスナットクラブ
115-112,[片手棍]シェルバスター
115-113,[片手棍]グレートクラブ
115-114,[片手棍]ダークモール
115-115,[片手棍]ブロンズハンマー
115-116,[片手棍]ブラスハンマー
115-117,[片手棍]ウォーハンマー
115-118,[片手棍]モール
116-28,[片手棍]セプター
116-29,[片手棍]ダークロッド
116-30,[片手棍]ブロンズロッド
116-31,[片手棍]ブラスロッド
116-32,[片手棍]ロッド
116-33,[片手棍]ミスリルロッド
116-34,[片手棍]ボーンロッド
116-35,[片手棍]エボニーワンド
116-36,[片手棍]ユーワンド
116-37,[片手棍]メープルワンド
116-38,[片手棍]神代の錫
116-39,[片手棍]ミステルテイン
116-40,[片手棍]ローズワンド
116-41,[片手棍]チェスナットワンド
116-42,[片手棍]ウィローワンド
116-43,[片手棍]カドゥケウス
116-44,[片手棍]名称不明01
116-45,[片手棍]名称不明02
116-46,[片手棍]チョコボワンド
116-47,[片手棍]名称不明04
116-48,[片手棍]名称不明05
116-49,[片手棍]名称不明06
116-50,[片手棍]スターロッド
116-51,[片手棍]アスクレピオス
116-52,[片手棍]呪術の杖
116-53,[片手棍]スキールニルワンド
116-54,[片手棍]アースワンド
116-55,[片手棍]名称不明10
116-56,[片手棍]名称不明11
116-57,[片手棍]名称不明12
116-58,[片手棍]フェイワンド
116-99,[片手棍]ミョルニル(ﾚﾘｯｸ5)
142-049,[片手棍]ルーンロッド(ﾙｰﾝ)
142-050,[片手棍]名称不明15
149-90,[片手棍]モルゲンステルン
150-118,[片手棍]名称不明
159-104,[片手棍]チャームロッド
160-125,[片手棍]モグロッド
164-41,[片手棍]ジャダグナ
170-39,[片手棍]ノマドモグロッド
175-48,[片手棍]胡鬼板
183-111,[片手棍]ブラスジャダグナ
115-86,[片手斧]ブロンズアクス
115-87,[片手斧]ブラスアクス
115-88,[片手斧]バトルアクス
115-89,[片手斧]ミスリルアクス
115-90,[片手斧]ボーンアクス
115-91,[片手斧]タバルジン
115-92,[片手斧]ダークタバール
115-93,[片手斧]タバール
115-94,[片手斧]ダークアクス
115-95,[片手斧]ルーンアクス
115-96,[片手斧]ナトジーク
115-97,[片手斧]ダークピック
115-98,[片手斧]ウォーピック
115-99,[片手斧]ミスリルピック
115-100,[片手斧]ボーンピック
115-101,[片手斧]オーキシュアクス
142-053,[片手斧]ガトラー(ﾚﾘｯｸ5)
145-77,[片手斧]トマホーク
171-116,[片手斧]シリウスアクス
116-100,[片手刀]不動
116-101,[片手刀]脇指
116-102,[片手刀]小太刀
116-103,[片手刀]桜吹雪
116-104,[片手刀]兜割
116-105,[片手刀]雁行
116-106,[片手刀]苦無
142-051,[片手刀]鬼哭
152-19,[片手刀]釵
158-71,[片手刀]緋連雀
171-117,[片手刀]龍門
172-55,[片手刀]隼
183-110,[片手刀]十六夜
