53-22,素手
53-92,[格闘]アベンジャー
53-93,[格闘]ダークカタール
53-94,[格闘]カタール
53-95,[格闘]ジャマダル
53-96,[格闘]エグゾセ
53-97,[格闘]ダーククロー
53-98,[格闘]クロー
53-99,[格闘]ミスリルクロー
53-100,[格闘]サーメットクロー
53-101,[格闘]セスタス
53-102,[格闘]リザードセスタス
53-103,[格闘]ポイズンセスタス
53-104,[格闘]ダークナックル
53-105,[格闘]ブロンズナックル
53-106,[格闘]ブラスナックル
53-107,[格闘]メタルナックル
53-108,[格闘]ミスリルナックル
53-109,[格闘]ケーニヒスナックル
53-110,[格闘]ダイアナックル
53-111,[格闘]マノプル
53-112,[格闘]ゴールドパタ
53-113,[格闘]パタ
53-114,[格闘]ボーンパタ
53-115,[格闘]キャットバグナウ
53-116,[格闘]ブラスバグナウ
53-117,[格闘]バグナウ
53-118,[格闘]ルーンバグナウ(ﾙｰﾝ)
138-105,[格闘]スファライ(ﾚﾘｯｸ5)
149-67,[格闘]アダーガ
166-71,[格闘]サインティ
169-124,[格闘]ダークサインティ
171-80,[格闘]アダマンサインティ
172-33,[格闘]ブラックアダーガ
173-72,[格闘]ハデスサインティ
54-4,[短剣]バリアントナイフ
54-5,[短剣]ダークナイフ
54-6,[短剣]ブロンズナイフ
54-7,[短剣]ナイフ
54-8,[短剣]ミスリルナイフ
54-9,[短剣]サーメットナイフ
54-10,[短剣]ミセリコルデ
54-11,[短剣]ブロンズダガー
54-12,[短剣]ブラスダガー
54-13,[短剣]ダガー
54-14,[短剣]ミスリルダガー
54-15,[短剣]ダークバゼラード
54-16,[短剣]バゼラード
54-17,[短剣]ミスリルバゼラード
54-18,[短剣]ダークククリ
54-19,[短剣]ククリ
54-20,[短剣]ミスリルククリ
54-21,[短剣]サーメットククリ
54-22,[短剣]ハートスナッチャー
54-23,[短剣]パリーングナイフ
54-24,[短剣]連邦魔戦士制式短剣
54-25,[短剣]クリス
54-26,[短剣]トリプルダガー
54-27,[短剣]ボーンナイフ
99-85,[短剣]カルド
138-91,[短剣]マンダウ(ﾚﾘｯｸ5)
138-103,[短剣]名称不明
147-127,[短剣]ハルパー
164-1,[短剣]ジャンビア
172-32,[短剣]パラディウムダガー
173-31,[短剣]御方庖丁
175-13,[短剣]キマイラジャンビア
54-28,[片手剣]クリシュマルド
54-29,[片手剣]スモールソード
54-30,[片手剣]ビルボ
54-31,[片手剣]准銃士制式小剣
54-32,[片手剣]ジュワユース
54-33,[片手剣]シュレイガー
54-34,[片手剣]デュエルレイピア
54-35,[片手剣]デーゲン
54-36,[片手剣]ミスリルデーゲン
54-37,[片手剣]エペ
54-38,[片手剣]フルーレ
54-39,[片手剣]シュヴェールト
54-40,[片手剣]近衛騎士制式帯剣
54-96,[片手剣]スパタ
54-97,[片手剣]ゴールドソード
54-98,[片手剣]ロングソード
54-99,[片手剣]ナイトソード
54-100,[片手剣]サーベル
54-101,[片手剣]ルーンブレード(ﾙｰﾝ)
54-102,[片手剣]サパラ
54-103,[片手剣]シミター
54-104,[片手剣]タルワール
54-105,[片手剣]ハンガー
54-106,[片手剣]リディル
54-107,[片手剣]ダークファルシオン
54-108,[片手剣]プラチナカトラス
54-109,[片手剣]ファルシオン
54-110,[片手剣]カトラス
54-111,[片手剣]サイフォス
54-112,[片手剣]ブラスサイフォス
54-113,[片手剣]グラディウス
54-114,[片手剣]ダークソード
54-115,[片手剣]ブロンズソード
