52-13,装備なし
52-14,レザーベスト
52-15,ブレストプレート
52-16,チュニック
52-17,忍上衣
52-18,チェーンメイル
52-19,リザードジャーキン
52-20,ラプトルジャーキン
52-21,初期装備
52-22,腹当
52-23,クローク
52-24,シルククローク
52-25,王国従士制式鎖帷子
52-26,王国騎士制式鎖帷子
52-27,パッデッドアーマー
52-28,ブロンズハーネス
52-29,ボーンハーネス
52-30,拳法着
52-31,ウールローブ
52-32,連邦軍師制式コート
52-33,ローブ
52-34,ダブレット
52-35,ダークキュイラス
52-36,ガンビスン
52-37,バトルジュポン
52-38,鋼鉄銃士隊制式胴鎧
52-39,百人隊長鎖帷子
52-40,ガビアルメイル
52-41,スケイルメイル
52-42,ミスリルブレスト
52-43,種族装備
52-44,アダマンブレスト
52-45,カーディナルベスト
52-46,スコピオハーネス
52-47,デーモンハーネス
52-48,ロードキュイラス
52-49,柔術着
52-50,王国騎士制式服
52-51,アクトン
52-52,ホーバージョン
52-53,バーニー
52-54,戦忍着
52-55,アースダブレット
52-56,ブリガンダイン
94-54,ジュストコール
94-55,ブラッククローク
94-56,バーミリオクローク
94-57,ブルーコタルディ
94-58,ブラックコタルディ
94-59,ファイターロリカ(AF1)
94-60,テンプルシクラス(AF1)
94-61,ヒーラーブリオー(AF1)
94-62,ウィザードコート(AF1)
94-63,ワーロックタバード(AF1)
94-64,ローグベスト(AF1)
96-89,ガラントサーコート(AF1)
96-90,カオスキュイラス(AF1)
96-91,ビーストジャック(AF1)
96-92,コラルジュストコル(AF1)
96-93,ハンタージャーキン(AF1)
99-62,明珍胴丸(AF1)
99-63,乱波鎖帷子(AF1)
99-64,ドラケンメイル(AF1)
99-65,エボカーダブレット(AF1)
163-67,メガズジュバ(AF1)
160-102,コルセアフラック(AF1)
162-77,パペトリトベ(AF1)
119-34,タイガージャーキン
119-35,アイアンスケイル
121-70,スチールスケイル
121-71,クァールジャーキン
121-72,アダマンキュイラス
121-73,コーラルハーネス
121-74,ノーブルチュニック
121-75,ホーバーク
121-76,羅漢作務衣
121-77,ドラゴンメイル
124-119,羅刹作務衣
124-120,クリムゾンスケイル
124-121,アダマンホーバーク
124-122,オーガジャーキン
124-123,ケーニヒキューラス
125-62,ウォーアクトン
127-47,ホーリーブレスト
127-48,夜叉作務衣
127-49,麒麟大袖
127-50,ヘカトンハーネス
127-51,エラントウプランド
127-52,フィッシャチュニカ
127-53,チョコボジャック
127-54,バガボンドチュニカ
130-1,フィールドチュニカ
130-2,修羅闘着
130-3,ダルマティカ
130-4,カラパスブレスト
130-5,ダスクジャーキン
130-6,ドラゴンハーネス
134-76,ウォリアーロリカ(AF2)
134-77,メレーシクラス(AF2)
134-78,クレリクブリオー(AF2)
134-79,ソーサラーコート(AF2)
134-80,デュエルタバード(AF2)
134-81,アサシンベスト(AF2)
134-82,ヴァラーサーコート(AF2)
134-83,アビスキュイラス(AF2)
134-84,モンスタージャック(AF2)
134-85,バードジュストコル(AF2)
134-86,スカウトジャーキン(AF2)
134-87,早乙女胴丸(AF2)
134-88,甲賀鎖帷子(AF2)
134-89,ウィルムメイル(AF2)
134-90,サマナーダブレット(AF2)
134-91,スコピオブレスト
134-92,オステアローブ
138-76,王国制式礼服
138-77,連邦制式礼服
138-78,共和国制式礼服
138-79,木彫師エプロン
138-80,鍛冶師エプロン
138-81,裁縫師エプロン
138-82,錬金術師エプロン
138-83,骨彫師エプロン
138-84,漁師エプロン
138-85,革細工師エプロン
138-86,調理師エプロン
138-87,彫金師エプロン
145-3,？？？ハーネス
145-4,シェードハーネス
145-5,ガリシュチュニック
145-6,シアーチュニック
145-7,セリーズダブレット
145-8,ノクトダブレット
146-15,バイソンジャケット
146-16,シャイルマンティル
146-61,バローネコラッツァ
146-100,イギラウエスキット
148-34,アイゼンブルスト
150-79,八幡胴丸
150-80,ブレスドブリオー
151-63,シャジュブル
153-34,ユニコンハーネス
153-71,トレダーサイオ
154-82,アルミナオーベール
155-10,ブラストロン
157-111,ナシラマンティル
158-51,ホマムコラッツァ
158-107,黒トレダー胴？
159-14,クロウジュポン
159-89,ドリームローブ
154-20,ハイドラオーベール 
160-82,ハイドラジュポン 
163-68,シパーヒジョシャン
163-69,ジャリダペティ
166-59,アミールコラジン
166-60,ペルワンカザガンド
166-61,イギトゴムレフ
170-92,コルセレット
170-93,弓道着
174-108,アレスキュイラス
174-109,スカディクウィリ
176-19,薄金腹巻
176-20,マルドゥクジュバ
176-21,モリガンローブ
183-22,ジョッキー服(橙)
183-23,ジョッキー服(黒)
183-24,ジョッキー服(紫)
183-25,ジョッキー服(水)
183-26,ジョッキー服(青)
183-27,ジョッキー服(赤)
183-28,ジョッキー服(白)
183-29,ジョッキー服(緑)
182-31,デナリジャケット
183-30,アスカルコラジン
183-31,ゴリアードサイオ
184-76,ヴァルハラブレスト
185-111,シャドウプレート
186-20,シャドウコート
157-36,ミスラトップ
143-38,おみな浴衣
134-93,オパーラインドレス
196-97,???
198-87,Unknown
198-88,Unknown
199-18,Unknown
199-19,Unknown
200-100,Unknown
201-45,Unknown
204-74,Unknown
207-47,Unknown
214-43,Unknown
214-44,Unknown
214-45,Unknown
