51-110,装備なし
51-111,レザーバンダナ
51-112,サリット
51-113,忍鉢金
51-114,アイアンマスク
51-115,リザードヘルム
51-116,ラプトルヘルム
51-117,頭成兜
51-118,王国従士制式冑
51-119,王国騎士制式冑
51-120,パッデッドキャップ
51-121,ブロンズキャップ
51-122,ボーンマスク
51-123,鉢巻
51-124,ウールハット
51-125,連邦軍師制式帽子
51-126,サークレット
51-127,ヘッドギア
52-0,ダークアーメット
52-1,レッドキャップ
52-2,グリーンベレー
52-3,鋼鉄銃士隊制式冑
52-4,百人隊長面具
52-5,ガビアルマスク
52-6,フェイスガード
52-7,ミスリルサリット
52-8,ブルーリボン
52-9,パープルリボン
52-10,グリーンリボン
52-11,ブラックリボン
52-12,スカーレットリボン
94-48,ファイターマスク(AF1)
94-49,テンプルクラウン(AF1)
94-50,ヒーラーキャップ(AF1)
94-51,ウィザードペタソス(AF1)
94-52,ワーロックシャポー(AF1)
94-53,ローグボンネット(AF1)
96-84,ガラントコロネット(AF1)
96-85,カオスバーゴネット(AF1)
96-86,ビーストヘルム(AF1)
96-87,コラルラウンドリト(AF1)
96-88,ハンターベレー(AF1)
99-58,明珍桃形兜(AF1)
99-59,乱波半首(AF1)
99-60,ドラケンアーメット(AF1)
99-61,エボカーホーン(AF1)
163-64,メガスケフィエ(AF1)
160-101,コルセアトリコルヌ(AF1)
162-76,パペトリタージ(AF1)
121-63,クァールマスク
121-64,アダマンバルブータ
121-65,コーラルキャップ
121-66,ノーブルクラウン
121-67,チェラータ
121-68,羅漢陣鉢
121-69,ドラゴンマスク
124-114,羅刹陣鉢
124-115,クリムゾンマスク
124-116,アダマンチェラータ
124-117,オーガマスク
124-118,ケーニヒシャレル
125-61,ウォーベレー
127-42,パンプキンヘッド
127-43,浪士陣鉢
127-44,玄武兜
127-45,ヘカトンキャップ
127-46,エラントハット
129-121,タイガーマスク
129-122,ワイバーンヘルム
129-123,デーモンヘルム
129-124,修羅頭成兜
129-125,ゼニスクラウン
129-126,カラパスヘルム
129-127,ダスクマスク
130-0,ドラゴンキャップ
134-58,ウォリアーマスク(AF2)
134-59,メレークラウン(AF2)
134-60,クレリクキャップ(AF2)
134-61,ソーサラーペタソス(AF2)
134-62,デュエルシャポー(AF2)
134-63,アサシンボンネット(AF2)
134-64,ヴァラーコロネット(AF2)
134-65,アビスバーゴネット(AF2)
134-66,モンスターヘルム(AF2)
134-67,バードラウンドリト(AF2)
134-68,スカウトベレー(AF2)
134-69,早乙女桃形兜(AF2)
134-70,甲賀半首(AF2)
134-71,ウィルムアーメット(AF2)
134-72,サマナーホーン(AF2)
134-73,スコピオヘルム
134-74,オステアハット
138-70,パンサーマスク
138-71,オポオポ王の王冠
138-72,拡大眼鏡
138-73,防塵眼鏡
138-74,衛生帽子
138-75,遮光眼鏡
144-127,ガリシュクラウン
145-0,シアークラウン
145-1,？？？ベレー
145-2,ノクトベレー
146-11,？？？ティアラ
146-12,シェードティアラ
146-13,バイソンボンネット
146-14,シャイルターバン
146-60,バローネツッケット
146-99,イギラティアラ
148-33,アイゼンシャレル
149-56,ロードアーメット
149-113,ドリームキャップ
150-78,八幡陣鉢
151-62,ワイズキャップ
153-33,ユニコンキャップ
153-70,トレダーシャポー
154-81,アルミナサラド
155-9,ブラックサリット
155-76,マートキャップ
155-77,マンドラゴラベレー
155-78,ガイドベレー
152-77,オークヘルム
152-78,ヤグードヘッドギア
152-56,ゴブリンコイフ
152-79,クゥダフバルバト
156-92,スターズキャップ
156-108,ローレルクラウン
157-110,ナシラターバン
158-50,ホマムツッケット
158-106,黒トレダー頭？
159-13,クロウベレー
154-19,ハイドラムフル 
160-81,ハイドラキャップ
163-65,シパーヒターバン
163-66,ジャリダクード
166-56,アミールバグリー
166-57,ペルワンカランスワ
166-58,イギトターバン
170-118,ウィッチハット
174-106,アレスマスク
174-107,スカディバイザー
176-16,薄金総面
176-17,マルドゥクティアラ
176-18,モリガンコロナル
182-29,デナリボンネット
182-30,エッグヘルム
183-20,アスカルツッケット
183-21,ゴリアードシャポー
186-18,ヴァルハラヘルム
185-110,シャドウヘルム
186-19,シャドウハット
186-122,グローリークラウン
186-123,モーグリキャップ
186-124,ノマドキャップ
187-63,レッドアイズ
188-4,マムージャヘルム
188-5,ラミアガーランド
188-6,トロールコイフ
188-7,キキルンフード
134-75,リラコサージュ
198-85,Unknown
198-86,Unknown
199-16,Unknown
199-17,Unknown
199-68,Unknown
200-99,Unknown
201-42,Unknown
201-43,Unknown
201-44,Unknown
210-67,Unknown
214-40,Unknown
214-41,Unknown
214-42,Unknown
