0-52,ジャコ・ワーコンダロ[カザム族長]
0-53,ヒュム♂NPC[黒服]
16-10,ギルガメッシュ
16-12,明星の巫女
16-13,グラビトン
16-14,闇の王[頭部]
16-15,セミ・ラフィーナ
16-17,AAガルカ
16-18,AAエルヴァーン
16-19,AAヒューム
16-20,AAタルタル
16-21,AAミスラ
16-22,ミスラNPC
16-23,ミスラNPC
16-24,ミスラNPC
16-27,ヒュム♂NPC[白服]
16-28,ヒュム♂NPC[白服]
16-29,ヒュム♂NPC[白服]
16-30,ヒュム♀NPC[白服]
16-31,ヒュム♀NPC[白服]
16-32,ヒュム♀NPC[白服]
22-23,トンベリ 22-84まで
22-24,トンベリ
22-29,トンベリ
22-30,トンベリ
22-34,トンベリ
22-37,トンベリ
22-39,トンベリ
22-40,トンベリ
22-47,トンベリ
22-48,トンベリ
22-49,トンベリ
22-50,トンベリ
22-51,トンベリ
22-54,トンベリ
22-57,トンベリ
22-58,トンベリ
22-59,トンベリ
22-63,トンベリ
22-67,トンベリ
22-68,トンベリ
22-69,トンベリ
22-71,トンベリ
22-72,トンベリ
22-76,トンベリ
22-77,トンベリ
22-79,トンベリ
22-85,トンベリキンク 22-99まで
22-92,トンベリキンク
22-96,トンベリキンク
22-97,トンベリキンク
22-100,アンティカ 23-16まで
22-101,アンティカ
22-105,アンティカ
22-106,アンティカ
22-107,アンティカ
22-111,アンティカ
22-113,アンティカ
22-115,アンティカ
22-116,アンティカ
22-118,アンティカ 
22-123,アンティカ
22-124,アンティカ
22-125,アンティカ
22-126,アンティカ
23-0,アンティカ
23-2,アンティカ
23-6,アンティカ
23-7,アンティカ
23-8,アンティカ
23-9,アンティカ
23-10,アンティカ
23-14,アンティカ
23-16,アンティカ
23-19,サハギン 23-56まで
23-21,サハギン
23-24,サハギン
23-28,サハギン
23-29,サハギン
23-36,サハギン
23-37,サハギン
23-38,サハギン
23-39,サハギン
23-40,サハギン
23-41,サハギン
23-42,サハギン
23-43,サハギン
23-44,サハギン
23-46,サハギン
23-47,サハギン
23-48,サハギン
23-49,サハギン
23-50,サハギン
23-51,サハギン
23-52,サハギン
23-53,サハギン
23-55,サハギン
23-60,明星の巫女0
23-61,明星の巫女1
23-62,明星の巫女2
23-63,明星の巫女3
23-64,明星の巫女4
23-65,明星の巫女5
23-66,明星の巫女6
23-67,明星の巫女7
23-68,ヒュム♂NPC[黒服]
23-69,ヒュム♂NPC[黒服]
23-70,ヒュム♂NPC[黒服]
23-71,ノーマッドモーグリ
