0-63,チェルキキ
0-64,クッキーチェブキー
0-65,マッキーチェブキー
3-93,ウルミア
3-94,プリッシュ
3-95,謎の少年
3-96,デスパシエール
3-97,エルオジイ
3-98,エルオバア
5-23,ジラート人
5-27,土台
5-28,土台
5-29,土台
5-30,土台
5-35,ワンダラー
5-36,ワンダラー
5-37,ワンダラー
5-38,ワンダラー
5-39,ウィーパー
5-40,ウィーパー
5-41,ウィーパー
5-42,ウィーパー
5-53,クレイバー
5-97,バグベア
5-98,バグベア
5-106,エシャンタール
5-107,ナグモラーダ
5-108,ジラート人
5-109,ジジイ
5-110,魔晶石
5-111,暁の瞳
5-112,プリッシュ
5-114,ジジイ
5-115,オバサン
5-116,オバサン
5-117,プリッシュ
7-36,バハムート
7-37,プリッシュ
7-57,ゴブリン
7-58,ゴブリン
7-59,ゴブリン
7-60,ゴブリン
7-61,ゴブリン
7-62,ゴブリン
7-63,ゴブリン
7-64,ゴブリン
7-65,モブリンロードマン
7-67,モブリンロードマン
7-68,モブリンロードマン
7-69,モブリンロードマン
7-71,モブリン荷物持
7-72,モブリン荷物持
7-73,モブリン荷物持
7-75,モブリン荷物持
7-76,モブリン荷物持
7-77,モブリン荷物持
7-78,モブリン荷物持
7-80,モブリングラウンドマン
7-81,モブリングラウンドマン
7-83,赤ゴブリン
7-85,黒ゴブリン
7-86,黒ゴブリン
7-87,黒ゴブリン
7-88,黒ゴブリン
7-89,黒ゴブリン
7-90,黒ゴブリン
7-91,黒ゴブリン
8-9,親クレイバー？
8-10,クレイバー
8-11,クレイバー
8-12,クレイバー
8-14,足長
8-15,足長
8-16,足長
8-17,足長
8-19,イブノイル
8-20,明星の巫女
8-21,グラビトン
8-22,AAガルカ
8-23,AAエルヴァーン
8-24,AAヒューム
8-25,AAタルタル
8-26,AAミスラ
8-27,バハムート
8-28,プリッシュ
8-29,エネルギーの網
9-28,スノール
9-31,ゴブリン(赤)
9-32,ゴブリン(赤)
9-33,ゴブリン(赤)
9-38,シーザー
9-39,シーザー
9-40,シーザー
9-41,シーザー
9-43,親クレイバー？
9-44,親クレイバー？
9-45,親クレイバー？
9-47,クレイバー
9-48,クレイバー
9-49,親クレイバー？
9-50,クレイバー
9-51,足長
9-81,アルテマ
9-82,アルテマ
9-83,オメガ
9-84,球体
10-27,Aern's Wynav(仔竜)
10-29,プロマシア(復活前)
10-30,プロマシア(復活後) 10-32まで
10-31,プロマシア(復活後)
10-32,プロマシア(復活後)
10-36,くじら
10-39,エイ
10-45,ヘキサ君(片手剣)
10-66,Aern(格闘)
10-67,Aern(短剣)
10-68,Aern(片手斧)
10-69,Aern(片手剣)
10-70,Aern(両手槍)
10-71,Aern(両手棍)
10-72,Aern(赤短剣)
10-73,Aern(赤片手斧)
10-74,Aern(赤片手剣)
10-75,Aern(赤両手槍)
10-76,Aern(赤両手棍)
10-77,Aern(赤両手棍)
10-98,ヒューム男白服
10-99,ヒューム男白服
10-100,ヒューム男白服
10-101,ヒューム女白服
10-102,ヒューム女白服
10-103,ヒューム女白服
