42-100,装備なし
42-101,レザーグローブ
42-102,ガントレット
42-103,ミトン
42-104,忍手甲
42-105,チェーンミトン
42-106,リザードグローブ
42-107,ラプトルグローブ
42-108,初期装備
42-109,篭手
42-110,リネンミトン
42-111,ブラックミトン
42-112,王国従士制式鎖手袋
42-113,王国騎士制式鎖手袋
42-114,アイアンミトン
42-115,ブロンズミトン
42-116,ボーンミトン
42-117,手甲
42-118,ウールカフス
42-119,連邦軍師制式袖飾り
42-120,カフス
42-121,グローブ
42-122,ダークガントレ
42-123,ブレーサー
42-124,バトルブレーサー
42-125,鋼鉄銃士隊制式篭手
42-126,百人隊長篭手
42-127,ガビアルフィンガー
43-0,スケイルフィンガー
43-1,ミスリルガントレ
43-2,種族装備
93-123,ファイターマフラ(AF1)
93-124,テンプルグローブ(AF1)
93-125,ヒーラーミトン(AF1)
93-126,ウィザードグローブ(AF1)
93-127,ワーロックグローブ(AF1)
94-0,ローグアームレット(AF1)
96-44,ガラントガントレ(AF1)
96-45,カオスガントレット(AF1)
96-46,ビーストグローブ(AF1)
96-47,コラルカフス(AF1)
96-48,ハンターブレーサー(AF1)
99-0,明珍筒篭手(AF1)
99-1,乱波手甲(AF1)
99-2,ドラケンフィンガー(AF1)
99-3,エボカーブレーサー(AF1)
162-67,メガスハズバンド(AF1)
162-68,コルセアガントリー(AF1)
162-69,パペトリダスタナ(AF1)
119-20,タイガーグローブ
119-21,アイアンフィンガー
120-115,スチールフィンガー
120-116,クァールグローブ
120-117,アダマンガントレ
120-118,コーラルミトン
120-119,ノーブルミトン
120-120,シックマフラ
120-121,羅漢手甲
120-122,ドラゴンフィンガー
124-74,羅刹手甲
124-75,クリムゾンフィンガ
124-76,アダマンマフラ
124-77,オーガグローブ
124-78,ケーニヒハントシュ
125-53,ウォーグローブ
126-95,夜叉手甲
126-96,青龍篭手
126-97,ヘカトンミトン
126-98,エラントカフス
126-99,フィッシャグローブ
126-100,チョコボグローブ
126-101,バガボンドグローブ 
129-75,フィールドグローブ
129-76,修羅篠篭手
129-77,ゼニスミトン
129-78,カラパスガントレ
129-79,ダスクグローブ
129-80,ドラゴンミトン
133-46,ウォリアーマフラ(AF2)
133-47,メレーグローブ(AF2)
133-48,クレリクミトン(AF2)
133-49,ソーサラーグローブ(AF2)
133-50,デュエルグローブ(AF2)
133-51,アサシンアムレット(AF2)
133-52,ヴァラーガントレ(AF2)
133-53,アビスガントレット(AF2)
133-54,モンスターグローブ(AF2)
133-55,バードカフス(AF2)
133-56,スカウトブレーサー(AF2)
133-57,早乙女筒篭手(AF2)
133-58,甲賀手甲(AF2)
133-59,ウィルムフィンガー(AF2)
133-60,サマナーブレーサー(AF2)
133-61,スコピオガントレ
133-62,オステアカフス 
137-113,木工軍手 革工手袋
137-114,耐熱ミトン
144-65,？？？ミトン
144-66,シェードミトン
144-67,ガリシュミトン
144-68,シアーミトン
144-69,？？？グローブ
144-70,ノクトグローブ
145-121,バイソンリスト
145-122,シャイルゲージ
146-52,バローネマノポラ
146-91,イギラマニラ
148-25,アイゼンヘンツェ
149-33,ロードガントレット
150-57,八幡篭手
150-58,ブレスドミトン
151-54,ワイズグローブ
153-25,ユニコンミトン
153-62,トレダーカフス
154-69,アルミナムフル
155-1,ブラックガドリング
157-95,ナシラゲージ
158-36,ホマムマノポラ
158-98,黒トレダー手？
159-5,クロウブレーサー
153-121,ハイドラムフル 
160-73,ハイドラブレーサー
163-37,シパーヒダスタナ
163-38,ジャリダバズバンド
166-30,アミールコッルク
166-31,ペルワンダスタナ
166-32,イギトゲージ
174-90,アレスガントレット
174-91,スカディバズバンド
175-120,薄金篭手
175-121,マルドゥクダスタナ
175-122,モリガンカフス
182-20,デナリリスト
182-124,アスカルマノポラ
182-125,ゴリアードカフス
185-102,シャドウガントレ
186-9,シャドウカフス
133-63,無し
195-86,Unkown
196-72,???
198-64,Unknown
198-65,Unknown
199-0,Unknown
199-1,Unknown
199-60,Unknown
200-94,Unknown
201-33,Unknown
207-40,Unknown
214-31,Unknown
214-32,Unknown
214-33,Unknown
