45-126,装備なし
45-127,[投擲]フレイムブーメラン
46-0,[投擲]ブーメラン
46-1,[投擲]ライジングサン
46-2,[投擲]チャクラム
46-3,[投擲]円月輪
46-4,[投擲]グレネード
46-5,[投擲]十字手裏剣
150-9,[投擲]風魔手裏剣
148-114,[投擲]銛
148-113,[投擲]まさかり
46-6,[弓]ジェンダワ
46-7,[弓]ロクスリーボウ
46-8,[弓]ウォーボウ
46-9,[弓]グレートボウ
46-10,[弓]バトルボウ
46-11,[弓]パワーボウ
46-12,[弓]ロングボウ
46-13,[弓]ラピッドボウ
46-14,[弓]名称不明06
46-15,[弓]セルフボウ
46-16,[弓]カマン
46-17,[弓]名称不明09
46-18,[弓]ラップドボウ
46-19,[弓]義勇兵の弓
46-20,[弓]エクスパンジャー
46-21,[弓]スピードボウ
46-22,[弓]ハンティングボウ
46-23,[弓]コンポジットボウ
46-24,[弓]名称不明16
46-25,[弓]ショートボウ
46-26,[弓]ルーンボウ(ﾙｰﾝ)
121-16,[弓]重藤弓
144-90,[弓]与一の弓
166-122,[弓]ラミアンカマン
46-27,[射撃]ヘヴィクロスボウ
46-28,[射撃]クロスボウ
46-29,[射撃]アルバレスト
46-30,[射撃]ザンバーハ
46-31,[射撃]ライトクロスボウ
46-32,[射撃]根来式鉄砲
46-33,[射撃]ヘルファイア
46-34,[射撃]ハーケンビュクゼ
46-35,[射撃]バンティットガン
46-36,[射撃]リピーティングボウ
46-37,[射撃]パワークロスボウ
46-38,[射撃]カルバリン
138-3,[射撃]コフィンメーカー
144-89,[射撃]アナイアレイター(ﾚﾘｯｸ5)
163-119,[射撃]ヘキサガン
169-119,[射撃]ダークヘキサガン
183-82,[射撃]マーズヘキサガン
46-39,[管楽器]トラベルシエール
46-40,[管楽器]フルート
46-41,[管楽器]ピッコロ
46-42,[管楽器]フェアリーピッコロ
46-43,[管楽器]ホルン
46-44,[管楽器]コルネット
46-45,[管楽器]クラムホルン
46-46,[管楽器]ゲムショルン
138-4,[管楽器]ギャッラルホルン(ﾚﾘｯｸ5)
46-47,[弦楽器]エボニーハープ
46-48,[弦楽器]名称不明
46-49,[弦楽器]ラミアの竪琴
46-50,[弦楽器]メープルハープ
46-51,[弦楽器]ナースメイドハープ
46-52,[弦楽器]神代の竪琴
46-53,[弦楽器]ハープ
46-54,[弦楽器]ローズハープ
46-55,[弦楽器]嘆きの竪琴
46-56,[弦楽器]キタラアングリカ
