42-25,装備なし
42-26,レザーバンダナ
42-27,サリット
42-28,忍鉢金
42-29,アイアンマスク
42-30,リザードヘルム
42-31,ラプトルヘルム
42-32,頭成兜
42-33,王国従士制式冑
42-34,王国騎士制式冑
42-35,パッデッドキャップ
42-36,ブロンズキャップ
42-37,ボーンマスク
42-38,鉢巻
42-39,ウールハット
42-40,連邦軍師制式帽子
42-41,サークレット
42-42,ヘッドギア
42-43,ダークアーメット
42-44,レッドキャップ
42-45,グリーンベレー
42-46,鋼鉄銃士隊制式冑
42-47,百人隊長面具
42-48,ガビアルマスク
42-49,フェイスガード
42-50,ミスリルサリット
42-51,ブルーリボン
42-52,パープルリボン
42-53,グリーンリボン
42-54,ブラックリボン
42-55,スカーレットリボン
93-106,ファイターマスク(AF1)
93-107,テンプルクラウン(AF1)
93-108,ヒーラーキャップ(AF1)
93-109,ウィザードペタソス(AF1)
93-110,ワーロックシャポー(AF1)
93-111,ローグボンネット(AF1)
96-34,ガラントコロネット(AF1)
96-35,カオスバーゴネット(AF1)
96-36,ビーストヘルム(AF1)
96-37,コラルラウンドリト(AF1)
96-38,ハンターベレー(AF1)
98-120,明珍桃形兜(AF1)
98-121,乱波半首(AF1)
98-122,ドラケンアーメット(AF1)
98-123,エボカーホーン(AF1)
162-61,メガスケフィエ(AF1)
162-62,コルセアトリコルヌ(AF1)
162-63,パペトリタージ(AF1)
120-100,クァールマスク
120-101,アダマンバルブータ
120-102,コーラルキャップ
120-103,ノーブルクラウン
120-104,チェラータ
120-105,羅漢陣鉢
120-106,ドラゴンマスク
124-64,羅刹陣鉢
124-65,クリムゾンマスク
124-66,アダマンチェラータ
124-67,オーガマスク
124-68,ケーニヒシャレル
125-51,ウォーベレー
126-82,パンプキンヘッド
126-83,浪士陣鉢
126-84,玄武兜
126-85,ヘカトンキャップ
126-86,エラントハット
129-61,タイガーマスク
129-62,ワイバーンヘルム
129-63,デーモンヘルム
129-64,修羅頭成兜
129-65,ゼニスクラウン
129-66,カラパスヘルム
129-67,ダスクマスク
129-68,ドラゴンキャップ
133-10,ウォリアーマスク(AF2)
133-11,メレークラウン(AF2)
133-12,クレリクキャップ(AF2)
133-13,ソーサラーペタソス(AF2)
133-14,デュエルシャポー(AF2)
133-15,アサシンボンネット(AF2)
133-16,ヴァラーコロネット(AF2)
133-17,アビスバーゴネット(AF2)
133-18,モンスターヘルム(AF2)
133-19,バードラウンドリト(AF2)
133-20,スカウトベレー(AF2)
133-21,早乙女桃形兜(AF2)
133-22,甲賀半首(AF2)
133-23,ウィルムアーメット(AF2)
133-24,サマナーホーン(AF2)
133-25,スコピオヘルム
133-26,オステアハット
137-95,パンサーマスク
137-96,オポオポ王の王冠
137-97,拡大眼鏡
137-98,防塵眼鏡
137-99,衛生帽子
137-100,遮光眼鏡
144-55,ガリシュクラウン
144-56,シアークラウン
144-57,？？？ベレー
144-58,ノクトベレー
145-115,？？？ティアラ
145-116,シェードティアラ
145-117,バイソンボンネット
145-118,シャイルターバン
146-50,バローネツッケット
146-89,イギラティアラ
148-23,アイゼンシャレル
149-32,ロードアーメット
149-111,ドリームキャップ
150-54,八幡陣鉢
151-52,ワイズキャップ
153-23,ユニコンキャップ
153-60,トレダーシャポー
154-67,アルミナサラド
154-127,ブラックサリット
155-70,マートキャップ
155-71,マンドラゴラベレー
155-72,ガイドベレー
152-71,オークヘルム
152-72,ヤグードヘッドギア
152-54,ゴブリンコイフ
152-73,クゥダフバルバト
156-90,スターズキャップ
156-106,ローレルクラウン
157-93,ナシラターバン
158-34,ホマムツッケット
158-96,黒トレダー頭？
159-3,クロウベレー
153-119,ハイドラムフル 
160-71,ハイドラキャップ
163-33,シパーヒターバン
163-34,ジャリダクード
166-24,アミールバグリー
166-25,ペルワンカランスワ
166-26,イギトターバン
170-110,ウィッチハット
174-86,アレスマスク
174-87,スカディバイザー
175-114,薄金総面
175-115,マルドゥクティアラ
175-116,モリガンコロナル
182-17,デナリボンネット
182-18,エッグヘルム
182-112,アスカルツッケット
182-113,ゴリアードシャポー
186-6,ヴァルハラヘルム
185-100,シャドウヘルム
186-7,シャドウハット
186-116,グローリークラウン
186-117,モーグリキャップ
186-118,ノマドキャップ
187-61,レッドアイズ
187-124,マムージャヘルム
187-125,ラミアガーランド
187-126,トロールコイフ
187-127,キキルンフード
133-27,リラコサージュ
196-122,???
198-60,Unknown
198-61,Unknown
198-124,Unknown
198-125,Unknown
199-58,Unknown
200-92,Unknown
201-31,Unknown
201-32,Unknown
210-39,Unknown
214-25,Unknown
214-26,Unknown
214-27,Unknown
