37-127,装備なし
38-0,レザーグローブ
38-1,ガントレット
38-2,ミトン
38-3,忍手甲
38-4,チェーンミトン
38-5,リザードグローブ
38-6,ラプトルグローブ
38-7,初期装備
38-8,篭手
38-9,リネンミトン
38-10,ブラックミトン
38-11,王国従士制式鎖手袋
38-12,王国騎士制式鎖手袋
38-13,アイアンミトン
38-14,ブロンズミトン
38-15,ボーンミトン
38-16,手甲
38-17,ウールカフス
38-18,連邦軍師制式袖飾り
38-19,カフス
38-20,グローブ
38-21,ダークガントレ
38-22,ブレーサー
38-23,バトルブレーサー
38-24,鋼鉄銃士隊制式篭手
38-25,百人隊長篭手
38-26,ガビアルフィンガー
38-27,スケイルフィンガー
38-28,ミスリルガントレ
38-29,種族装備
93-88,ファイターマフラ(AF1)
93-89,テンプルグローブ(AF1)
93-90,ヒーラーミトン(AF1)
93-91,ウィザードグローブ(AF1)
93-92,ワーロックグローブ(AF1)
93-93,ローグアームレット(AF1)
96-19,ガラントガントレ(AF1)
96-20,カオスガントレット(AF1)
96-21,ビーストグローブ(AF1)
96-22,コラルカフス(AF1)
96-23,ハンターブレーサー(AF1)
98-97,明珍筒篭手(AF1)
98-98,乱波手甲(AF1)
98-99,ドラケンフィンガー(AF1)
98-100,エボカーブレーサー(AF1)
163-23,メガスハズバンド(AF1)
160-110,コルセアガントリー(AF1)
163-24,パペトリダスタナ(AF1)
119-12,タイガーグローブ
119-13,アイアンフィンガー
120-70,スチールフィンガー
120-71,クァールグローブ
120-72,アダマンガントレ
120-73,コーラルミトン
120-74,ノーブルミトン
120-75,シックマフラ
120-76,羅漢手甲
120-77,ドラゴンフィンガー
124-49,羅刹手甲
124-50,クリムゾンフィンガ
124-51,アダマンマフラ
124-52,オーガグローブ
124-53,ケーニヒハントシュ
125-48,ウォーグローブ
126-50,夜叉手甲
126-51,青龍篭手
126-52,ヘカトンミトン
126-53,エラントカフス
126-54,フィッシャグローブ
126-55,チョコボグローブ
126-56,バガボンドグローブ 
129-45,フィールドグローブ
129-46,修羅篠篭手
129-47,ゼニスミトン
129-48,カラパスガントレ
129-49,ダスクグローブ
129-50,ドラゴンミトン
132-89,ウォリアーマフラ(AF2)
132-90,メレーグローブ(AF2)
132-91,クレリクミトン(AF2)
132-92,ソーサラーグローブ(AF2)
132-93,デュエルグローブ(AF2)
132-94,アサシンアムレット(AF2)
132-95,ヴァラーガントレ(AF2)
132-96,アビスガントレット(AF2)
132-97,モンスターグローブ(AF2)
132-98,バードカフス(AF2)
132-99,スカウトブレーサー(AF2)
132-100,早乙女筒篭手(AF2)
132-101,甲賀手甲(AF2)
132-102,ウィルムフィンガー(AF2)
132-103,サマナーブレーサー(AF2)
132-104,スコピオガントレ
132-105,オステアカフス 
137-66,木工軍手 革工手袋
137-67,耐熱ミトン
144-29,？？？ミトン
144-30,シェードミトン
144-31,ガリシュミトン
144-32,シアーミトン
144-33,？？？グローブ
144-34,ノクトグローブ
145-109,バイソンリスト
145-110,シャイルゲージ
146-47,バローネマノポラ
146-86,イギラマニラ
148-20,アイゼンヘンツェ
149-21,ロードガントレット
150-45,八幡篭手
150-46,ブレスドミトン
151-49,ワイズグローブ
153-20,ユニコンミトン
153-57,トレダーカフス
154-63,アルミナムフル
154-124,ブラックガドリング
157-89,ナシラゲージ
158-28,ホマムマノポラ
158-93,黒トレダー手？
159-0,クロウブレーサー
153-110,ハイドラムフル 
160-68,ハイドラブレーサー
163-25,シパーヒダスタナ
162-58,ジャリダバズバンド
166-14,アミールコッルク
166-15,ペルワンダスタナ
166-16,イギトゲージ
174-80,アレスガントレット
174-81,スカディバズバンド
175-105,薄金篭手
175-106,マルドゥクダスタナ
175-107,モリガンカフス
182-14,デナリリスト
182-106,アスカルマノポラ
182-107,ゴリアードカフス
185-97,シャドウガントレ
186-3,シャドウカフス
195-84,Unkown
157-45,無し
196-68,???
199-55,Cobra Unit Gloves
200-87,Cobra Unit Mittens
201-29,Iron Ram Dastanas
198-119,Fourth Division Hentzes
198-118,Bastokan Armor
195-84,Orcish Gauntlets
196-68,San d'Orian Armor
207-36,Hachiryu Kote
214-92,Mirage Bazubands (BLU AF2)
214-93,Commodore Gants (COR AF2)
214-94,Pantin Dastanas (PUP AF2)
217-122,Etoile Bangles (DNC AF2)
217-81,Argute Bracers (SCH AF2)
219-67,Gothic Gauntlets
225-67,Synergy Gloves
236-19,Ebon Dastanas
236-20,Furia Dastanas
236-21,Ebur Dastanas
236-22,Ebon Mufflers
236-23,Furia Mufflers
236-24,Ebur Mufflers
236-25,Ebon Moufles
236-26,Furia Moufles
236-27,Ebur Moufles
236-28,Ebon Gauntlets
236-29,Furia Gauntlets
236-30,Ebur Gauntlets
228-41,Ebon Gloves
228-42,Furia Gloves
228-43,Ebur Gloves
228-44,Ebon Bracers
228-45,Furia Bracers
228-46,Ebur Bracers
228-47,Shikkoku Kote
228-48,Shinku Kote
228-49,Ginhaku Kote
228-50,Ebon Wristbands
229-122,Furia Wristbands
229-123,Ebur Wristbands
232-93,Ebon Gants
232-94,Furia Gants
232-95,Ebur Gants
232-96,Ebon Cuffs
232-97,Furia Cuffs
232-98,Ebur Cuffs
232-99,Ebon Gages
232-100,Furia Gages
232-101,Ebur Gages
232-102,Ebon Mitts
232-103,Furia Mitts
232-104,Ebur Mitts
157-45,-for Dinner Jacket-
239-47,Purple Gloves
248-0,Serpentes Cuffs
248-1,Praeda Gauntlets
248-2,Timarli Dastanas
248-3,Augur's Gloves
248-4,Ocelot Gloves
248-5,Perle Moufles
248-6,Teal Cuffs
248-7,Aurore Gloves
241-28,Goetia Gloves (BLM AF3)
241-29,Creed Gauntlets (PLD AF3)
244-11,Ravager's Mufflers (WAR AF3)
