37-83,装備なし
37-84,レザーベスト
37-85,ブレストプレート
37-86,チュニック
37-87,忍上衣
37-88,チェーンメイル
37-89,リザードジャーキン
37-90,ラプトルジャーキン
37-91,初期装備
37-92,腹当
37-93,クローク
37-94,シルククローク
37-95,王国従士制式鎖帷子
37-96,王国騎士制式鎖帷子
37-97,パッデッドアーマー
37-98,ブロンズハーネス
37-99,ボーンハーネス
37-100,拳法着
37-101,ウールローブ
37-102,連邦軍師制式コート
37-103,ローブ
37-104,ダブレット
37-105,ダークキュイラス
37-106,ガンビスン
37-107,バトルジュポン
37-108,鋼鉄銃士隊制式胴鎧
37-109,百人隊長鎖帷子
37-110,ガビアルメイル
37-111,スケイルメイル
37-112,ミスリルブレスト
37-113,種族装備
37-114,アダマンブレスト
37-115,カーディナルベスト
37-116,スコピオハーネス
37-117,デーモンハーネス
37-118,ロードキュイラス
37-119,柔術着
37-120,王国騎士制式服
37-121,アクトン
37-122,ホーバージョン
37-123,バーニー
37-124,戦忍着
37-125,アースダブレット
37-126,ブリガンダイン
93-77,ジュストコール
93-78,ブラッククローク
93-79,バーミリオクローク
93-80,ブルーコタルディ
93-81,ブラックコタルディ
93-82,ファイターロリカ(AF1)
93-83,テンプルシクラス(AF1)
93-84,ヒーラーブリオー(AF1)
93-85,ウィザードコート(AF1)
93-86,ワーロックタバード(AF1)
93-87,ローグベスト(AF1)
96-14,ガラントサーコート(AF1)
96-15,カオスキュイラス(AF1)
96-16,ビーストジャック(AF1)
96-17,コラルジュストコル(AF1)
96-18,ハンタージャーキン(AF1)
98-93,明珍胴丸(AF1)
98-94,乱波鎖帷子(AF1)
98-95,ドラケンメイル(AF1)
98-96,エボカーダブレット(AF1)
163-20,メガズジュバ(AF1)
160-109,コルセアフラック(AF1)
163-21,パペトリトベ(AF1)
119-10,タイガージャーキン
119-11,アイアンスケイル
120-62,スチールスケイル
120-63,クァールジャーキン
120-64,アダマンキュイラス
120-65,コーラルハーネス
120-66,ノーブルチュニック
120-67,ホーバーク
120-68,羅漢作務衣
120-69,ドラゴンメイル
124-44,羅刹作務衣
124-45,クリムゾンスケイル
124-46,アダマンホーバーク
124-47,オーガジャーキン
124-48,ケーニヒキューラス
125-47,ウォーアクトン
126-42,ホーリーブレスト
126-43,夜叉作務衣
126-44,麒麟大袖
126-45,ヘカトンハーネス
126-46,エラントウプランド
126-47,フィッシャチュニカ
126-48,チョコボジャック
126-49,バガボンドチュニカ
129-39,フィールドチュニカ
129-40,修羅闘着
129-41,ダルマティカ
129-42,カラパスブレスト
129-43,ダスクジャーキン
129-44,ドラゴンハーネス
132-72,ウォリアーロリカ(AF2)
132-73,メレーシクラス(AF2)
132-74,クレリクブリオー(AF2)
132-75,ソーサラーコート(AF2)
132-76,デュエルタバード(AF2)
132-77,アサシンベスト(AF2)
132-78,ヴァラーサーコート(AF2)
132-79,アビスキュイラス(AF2)
132-80,モンスタージャック(AF2)
132-81,バードジュストコル(AF2)
132-82,スカウトジャーキン(AF2)
132-83,早乙女胴丸(AF2)
132-84,甲賀鎖帷子(AF2)
132-85,ウィルムメイル(AF2)
132-86,サマナーダブレット(AF2)
132-87,スコピオブレスト
132-88,オステアローブ
137-54,王国制式礼服
137-55,連邦制式礼服
137-56,共和国制式礼服
137-57,木彫師エプロン
137-58,鍛冶師エプロン
137-59,裁縫師エプロン
137-60,錬金術師エプロン
137-61,骨彫師エプロン
137-62,漁師エプロン
137-63,革細工師エプロン
137-64,調理師エプロン
137-65,彫金師エプロン
144-23,ハイドラハーネス
144-24,シェードハーネス
144-25,ガリシュチュニック
144-26,シアーチュニック
144-27,セリーズダブレット
144-28,ノクトダブレット
145-107,バイソンジャケット
145-108,シャイルマンティル
146-46,バローネコラッツァ
146-85,イギラウエスキット
148-19,アイゼンブルスト
150-43,八幡胴丸
150-44,ブレスドブリオー
151-48,シャジュブル
153-19,ユニコンハーネス
153-56,トレダーサイオ
154-62,アルミナオーベール
154-123,ブラストロン
157-88,ナシラマンティル
158-27,ホマムコラッツァ
158-92,黒トレダー胴？
158-127,クロウジュポン
159-87,ドリームローブ
153-109,ハイドラオーベール 
160-67,ハイドラジュポン
163-22,シパーヒジョシャン
162-57,ジャリダペティ
166-11,アミールコラジン
166-12,ペルワンカザガンド
166-13,イギトゴムレフ
170-86,コルセレット
170-87,弓道着
174-78,アレスキュイラス
174-79,スカディクウィリ
175-102,薄金腹巻
175-103,マルドゥクジュバ
175-104,モリガンローブ
182-96,ジョッキー服(橙)
182-97,ジョッキー服(黒)
182-98,ジョッキー服(紫)
182-99,ジョッキー服(水)
182-100,ジョッキー服(青)
182-101,ジョッキー服(赤)
182-102,ジョッキー服(白)
182-103,ジョッキー服(緑)
182-13,デナリジャケット
182-104,アスカルコラジン
182-105,ゴリアードサイオ
184-73,ヴァルハラブレスト
185-96,シャドウプレート
186-2,シャドウコート
157-25,エルヴジレ
143-18,おのこ浴衣
165-98,？？？
196-67,???
196-120,???
198-52,ダンサー？
199-54,Cobra Unit Harness
200-86,Cobra Unit Coat
196-120,Iron Ram Hauberk
198-117,Fourth Division Brunne
198-116,Bastokan Armor
196-67,San d'Orian Armor
204-66,Magna Gilet
207-35,Hachiryu Haramaki
214-91,Eerie Cloak
214-90,Tidal Talisman
214-87,Mirage Jubbah (BLU AF2)
214-88,Commodore Frac (COR AF2)
214-89,Pantin Tobe (PUP AF2)
217-121,Etoile Casaque (DNC AF2)
217-80,Argute Gown (SCH AF2)
219-66,Benedight Coat
221-52,Royal Redingote
221-51,Nuevo Coselete
221-83,Mirke Wardecors
223-45,Otokogusa Yukata
225-58,Carpenter's Smock
225-59,Blacksmith's Smock
225-60,Weaver's Smock
225-61,Alchemist's Smock
225-62,Boneworker's Smock
225-63,Fisherman's Smock
225-64,Tanner's Smock
225-65,Culinarian's Smock
225-66,Goldsmith's Smock
236-7,Ebon Cuirass
236-8,Furia Cuirass
236-9,Ebur Cuirass
236-10,Ebon Mail
236-11,Furia Mail
236-12,Ebur Mail
236-13,Ebon Haubert
236-14,Furia Haubert
236-15,Ebur Haubert
236-16,Ebon Breastplate
236-17,Furia Breastplate
236-18,Ebur Breastplate
228-31,Ebon Harness
228-32,Furia Harness
228-33,Ebur Harness
228-34,Ebon Jerkin
228-35,Furia Jerkin
228-36,Ebur Jerkin
228-37,Shikkoku Togi
228-38,Shinku Togi
228-39,Ginhaku Togi
228-40,Ebon Vest
229-120,Furia Vest
229-121,Ebur Vest
232-81,Ebon Talar
232-82,Furia Talar
232-83,Ebur Talar
232-84,Ebon Coat
232-85,Furia Coat
232-86,Ebur Coat
232-87,Ebon Bliaut
232-88,Furia Bliaut
232-89,Ebur Bliaut
232-90,Ebon Frock
232-91,Furia Frock
232-92,Ebur Frock
238-117,Dinner Jacket
238-118,Nocturnus Mail
239-46,Purple Tabard
247-119,Grim Cuirass
247-120,Timarli Jawshan
247-121,Yhel Jacket
247-122,Juogi
247-123,Augur's Jaseran
247-124,Loki's Kaftan
247-125,Perle Hauberk
247-126,Teal Saio
247-127,Aurore Doublet
241-26,Goetia Coat (BLM AF3)
241-27,Creed Cuirass  (PLD AF3)
244-9,Ravager's Lorica (WAR AF3)
244-10,Estoqueur's Sayon (RDM AF3)
251-98,Tantra Cyclas (MNK AF3)
251-99,Raider's Vest (THF AF3)
251-100,Bale Cuirass (DRK AF3)
251-101,Ferine Gausape (BST AF3)
251-102,Aoidos' Hongreline (BRD AF3)
251-103,Unkai Domaru (SAM AF3)
251-104,Iga Ningi (NIN AF3)
251-105,Lancer Plackart (DRG AF3)
251-106,Mavi Mintan (BLU AF3)
251-107,Navarch's Frac (COR AF3)
251-108,Cirque Farsetto (PUP AF3)
251-109,Savant's Gown (SCH AF3)
254-29,Orison Bliaud (WHM AF3)
254-85,Charis Casaque (DNC AF3)
256-39,Sylvan Caban (RNG AF3)
256-40,Caller's Doublet (SMN AF3)
261-75,Twilight Mail
261-76,Twilight Cloak
263-17,Cuauhtli Harness
263-18,Fazheluo Mail
263-60,Hyksos Robe
263-69,Novennial Coat
263-82,Mextli Harness
263-83,Anhur Robe
263-84,Fazheluo Radiant Mail
265-115,Hikogami Yukata
266-10,Ocelomeh Harness
266-11,Nefer Kalasiris
266-12,Mekira Toshugai
266-116,Heka's Kalasiris
266-125,Toci's Harness
267-18,Mekira Meikogai
271-69,Ogier's Surcoat
271-70,Athos's Tabard
271-71,Rubeus Jacket
271-72,Fulad-Zereh
271-73,Praeco Doublet
277-92,Kheper Jacket
277-93,Paean Bliaut
277-94,Auspex Doublet
277-95,Hrafn Haubert
277-96,Tenryu Domaru
277-97,Tessera Saio
281-106,
281-107,Woodsy Gilet
282-13,Decennial Coat
282-54,Dux Scale Mail
282-55,Chelona Blazer
286-27,Moogle Suit
288-102,Baalmuian Robe
291-75, Geomancer AF1
292-48, Rune Fencer AF1
290-75, Karieyh Haubert
290-76, Thurandaut Tabard
290-77, Orvail Robe
290-78, ???
290-79, ???
301-9, Mikinaak Breastplate
301-10, Manibozho Jerkin
301-11, Bokwus Robe
