41-25,装備なし
41-26,[投擲]フレイムブーメラン
41-27,[投擲]ブーメラン
41-28,[投擲]ライジングサン
41-29,[投擲]チャクラム
41-30,[投擲]円月輪
41-31,[投擲]グレネード
41-32,[投擲]十字手裏剣
150-8,[投擲]風魔手裏剣
148-112,[投擲]銛
148-111,[投擲]まさかり 
41-33,[弓]ジェンダワ
41-34,[弓]ロクスリーボウ
41-35,[弓]ウォーボウ
41-36,[弓]グレードボウ
41-37,[弓]バトルボウ
41-38,[弓]パワーボウ
41-39,[弓]ロングボウ
41-40,[弓]ラピッドボウ
41-41,[弓]名称不明06
41-42,[弓]セルフボウ
41-43,[弓]カマン
41-44,[弓]名称不明09
41-45,[弓]ラップドボウ
41-46,[弓]義勇兵の弓
41-47,[弓]エクスパンジャー
41-48,[弓]スピードボウ
41-49,[弓]ハンティングボウ
41-50,[弓]コンポジットボウ
41-51,[弓]名称不明16
41-52,[弓]ショートボウ
41-53,[弓]ルーンボウ(ﾙｰﾝ)
120-99,[弓]重藤弓
144-54,[弓]与一の弓
273-87,[弓]Yoichinoyumi (99)
166-121,[弓]ラミアンカマン
247-13,[弓]Gandiva
273-91,[弓]Gandiva (99)
245-59,[弓]Siege Bow
264-79,[弓]Percept Bow
282-104,[弓]Unknown Bow 4
41-54,[射撃]ヘヴィクロスボウ
41-55,[射撃]クロスボウ
41-56,[射撃]アルバレスト
41-57,[射撃]ザンバーハ
41-58,[射撃]ライトクロスボウ
41-59,[射撃]根来式鉄砲
41-60,[射撃]ヘルファイア
41-61,[射撃]ハーケンビュクゼ
41-62,[射撃]バンティットガン
41-63,[射撃]リピーティングボウ
41-64,[射撃]パワークロスボウ
41-65,[射撃]カルバリン
137-84,[射撃]コフィンメーカー
144-53,[射撃]アナイアレイター(ﾚﾘｯｸ5)
273-86,[射撃]Annihilator (99)
163-113,[射撃]ヘキサガン
169-116,[射撃]ダークヘキサガン
183-78,[射撃]マーズヘキサガン
200-7,[射撃]Silver Cassandra
205-0,[射撃]Gastraphetes
273-89,[射撃]Gastraphetes (99)
204-127,[射撃]Death Penalty
273-90,[射撃]Death Penalty (99)
210-38,[射撃]Unknown Gun
241-125,[射撃]Armageddon
273-92,[射撃]Armageddon (99)
41-66,[管楽器]トラベルシエール
41-67,[管楽器]フルート
41-68,[管楽器]ピッコロ
41-69,[管楽器]フェアリーピッコロ
41-70,[管楽器]ホルン
41-71,[管楽器]コルネット
41-72,[管楽器]クラムホルン
41-73,[管楽器]ゲムショルン
137-85,[管楽器]ギャッラルホルン(ﾚﾘｯｸ5)
273-88,[管楽器]Gjallarhorn (99)
280-111,[管楽器]Unknown Horn
41-74,[弦楽器]エボニーハープ
41-75,[弦楽器]名称不明
41-76,[弦楽器]ラミアの竪琴
41-77,[弦楽器]メープルハープ
41-78,[弦楽器]ナースメイドハープ
41-79,[弦楽器]神代の竪琴
41-80,[弦楽器]ハープ
41-81,[弦楽器]ローズハープ
41-82,[弦楽器]嘆きの竪琴
41-83,[弦楽器]キタラアングリカ
261-77,[弦楽器]Daurdabla
273-93,[弦楽器]Daurdabla (99)
