57-27,装備なし
57-28,レザーグローブ
57-29,ガントレット
57-30,ミトン
57-31,忍手甲
57-32,チェーンミトン
57-33,リザードグローブ
57-34,ラプトルグローブ
57-35,初期装備
57-36,篭手
57-37,リネンミトン
57-38,ブラックミトン
57-39,王国従士制式鎖手袋
57-40,王国騎士制式鎖手袋
57-41,アイアンミトン
57-42,ブロンズミトン
57-43,ボーンミトン
57-44,手甲
57-45,ウールカフス
57-46,連邦軍師制式袖飾り
57-47,カフス
57-48,グローブ
57-49,ダークガントレ
57-50,ブレーサー
57-51,バトルブレーサー
57-52,鋼鉄銃士隊制式篭手
57-53,百人隊長篭手
57-54,ガビアルフィンガー
57-55,スケイルフィンガー
57-56,ミスリルガントレ
57-57,種族装備
94-100,ファイターマフラ(AF1)
94-101,テンプルグローブ(AF1)
94-102,ヒーラーミトン(AF1)
94-103,ウィザードグローブ(AF1)
94-104,ワーロックグローブ(AF1)
94-105,ローグアームレット(AF1)
96-119,ガラントガントレ(AF1)
96-120,カオスガントレット(AF1)
96-121,ビーストグローブ(AF1)
96-122,コラルカフス(AF1)
96-123,ハンターブレーサー(AF1)
99-97,明珍筒篭手(AF1)
99-98,乱波手甲(AF1)
99-99,ドラケンフィンガー(AF1)
99-100,エボカーブレーサー(AF1)
164-10,メガスハズバンド(AF1)
164-11,コルセアガントリー(AF1)
162-83,パペトリダスタナ(AF1)
119-44,タイガーグローブ
119-45,アイアンフィンガー
121-123,スチールフィンガー
121-124,クァールグローブ
121-125,アダマンガントレ
121-126,コーラルミトン
121-127,ノーブルミトン
122-0,シックマフラ
122-1,羅漢手甲
122-2,ドラゴンフィンガー
125-21,羅刹手甲
125-22,クリムゾンフィンガ
125-23,アダマンマフラ
125-24,オーガグローブ
125-25,ケーニヒハントシュ
125-68,ウォーグローブ
127-99,夜叉手甲
127-100,青龍篭手
127-101,ヘカトンミトン
127-102,エラントカフス
127-103,フィッシャグローブ
127-104,チョコボグローブ
127-105,バガボンドグローブ 
130-37,フィールドグローブ
130-38,修羅篠篭手
130-39,ゼニスミトン
130-40,カラパスガントレ
130-41,ダスクグローブ
130-42,ドラゴンミトン
135-52,ウォリアーマフラ(AF2)
135-53,メレーグローブ(AF2)
135-54,クレリクミトン(AF2)
135-55,ソーサラーグローブ(AF2)
135-56,デュエルグローブ(AF2)
135-57,アサシンアムレット(AF2)
135-58,ヴァラーガントレ(AF2)
135-59,アビスガントレット(AF2)
135-60,モンスターグローブ(AF2)
135-61,バードカフス(AF2)
135-62,スカウトブレーサー(AF2)
135-63,早乙女筒篭手(AF2)
135-64,甲賀手甲(AF2)
135-65,ウィルムフィンガー(AF2)
135-66,サマナーブレーサー(AF2)
135-67,スコピオガントレ
135-68,オステアカフス 
139-7,木工軍手 革工手袋
139-8,耐熱ミトン
145-45,？？？ミトン
145-46,シェードミトン
145-47,ガリシュミトン
145-48,シアーミトン
145-49,？？？グローブ
145-50,ノクトグローブ
146-29,バイソンリスト
146-30,シャイルゲージ
146-67,バローネマノポラ
146-106,イギラマニラ
148-40,アイゼンヘンツェ
149-69,ロードガントレット
150-93,八幡篭手
150-94,ブレスドミトン
151-69,ワイズグローブ
153-40,ユニコンミトン
153-77,トレダーカフス
154-90,アルミナムフル
155-16,ブラックガドリング
157-118,ナシラゲージ
158-60,ホマムマノポラ
158-113,黒トレダー手？
159-20,クロウブレーサー
154-32,ハイドラムフル 
160-88,ハイドラブレーサー
164-12,シパーヒダスタナ
163-82,ジャリダバズバンド
166-78,アミールコッルク
166-79,ペルワンダスタナ
166-80,イギトゲージ
174-120,アレスガントレット
174-121,スカディバズバンド
176-37,薄金篭手
176-38,マルドゥクダスタナ
176-39,モリガンカフス
182-38,デナリリスト
183-50,アスカルマノポラ
183-51,ゴリアードカフス
185-117,シャドウガントレ
186-27,シャドウカフス
195-92,Unknown
157-50,無し
198-99,Unknown
198-100,Unknown
199-30,Unknown
199-31,Unknown
199-71,Unknown
200-107,Unknown
201-53,Unknown
207-52,Unknown
312-110,Unknown
312-111,Unknown
312-112,Unknown
