57-89,装備なし
57-90,レザーハイブーツ
57-91,プレートレギンス
57-92,ソレア
57-93,忍脚絆
57-94,グリーヴ
57-95,リザードレデルセン
57-96,ラプトルレデルセン
57-97,初期装備
57-98,脛当
57-99,シューズ
57-100,ストライダーブーツ
57-101,王国従士制式鎖靴
57-102,王国騎士制式鎖靴
57-103,レギンス
57-104,ブロンズレギンス
57-105,ボーンレギンス
57-106,脚絆
57-107,チェスナットサボ
57-108,連邦軍師制式靴
57-109,アッシュクロッグ
57-110,ゲートル
57-111,ダークサバトン
57-112,ソックス
57-113,バトルブーツ
57-114,鋼鉄銃士隊制式鉄靴
57-115,百人隊長脛当
57-116,ガビアルグリーヴ
57-117,スケイルグリーヴ
57-118,ミスリルレギンス
57-119,種族装備
94-112,ファイターカリガ(AF1)
94-113,テンプルゲートル(AF1)
94-114,ヒーラーダックビル(AF1)
94-115,ウィザードサボ(AF1)
94-116,ワーロックブーツ(AF1)
94-117,ローグプーレーヌ(AF1)
97-1,ガラントレギンス(AF1)
97-2,カオスソルレット(AF1)
97-3,ビーストゲートル(AF1)
97-4,コラルスリッパー(AF1)
97-5,ハンターソックス(AF1)
99-105,明珍筒脛当(AF1)
99-106,乱波脚絆(AF1)
99-107,ドラケングリーヴ(AF1)
99-108,エボカーピガッシュ(AF1)
164-16,メガスチャルク(AF1)
164-17,コルセアブーツ(AF1)
162-85,パペトリバブーシュ(AF1)
119-48,タイガーレデルセン
119-49,アイアングリーヴ
122-11,スチールグリーヴ
122-12,クァールレデルセン
122-13,アダマンサバトン
122-14,コーラルレギンス
122-15,ノーブルパンプス
122-16,シックソルレット
122-17,羅漢脛当
122-18,ドラゴングリーヴ 
125-31,羅刹脛当
125-32,クリムゾングリーヴ
125-33,アダマンソルレット
125-34,オーガレデルセン
125-35,ケーニヒシュー 
125-70,ウォーブーツ
127-113,夜叉脛当
127-114,朱雀脛当
127-115,ヘカトンレギンス
127-116,エラントピガッシュ
127-117,フィッシャブーツ
127-118,チョコボブーツ
127-119,バガボンドブーツ
130-48,フィールドブーツ
130-49,修羅篠脛当
130-50,ゼニスパンプス
130-51,ダスクレデルセン
130-52,ドラゴンレギンス
135-85,ウォリアーカリガ(AF2)
135-86,メレーゲートル(AF2)
135-87,クレリクダックビル(AF2)
135-88,ソーサラーサボ(AF2)
135-89,デュエルブーツ(AF2)
135-90,アサシンプーレーヌ(AF2)
135-91,ヴァラーレギンス(AF2)
135-92,アビスソルレット(AF2)
135-93,モンスターゲートル(AF2)
135-94,バードスリッパー(AF2)
135-95,スカウトソックス(AF2)
135-96,早乙女筒脛当(AF2)
135-97,甲賀脚絆(AF2)
135-98,ウィルムグリーヴ(AF2)
135-99,サマナーピガッシュ(AF2)
135-100,オステアサボ
139-9,ウェーダー
145-57,？？？スパッツ
145-58,シェードスパッツ
145-59,ガリシュパンプス
145-60,シアーパンプス
145-61,？？？ゲートル
145-62,ノクトゲートル
146-33,バイソンゲマッシュ
146-34,シャイルクラッコー
146-69,バローネガンビエラ
146-108,イギラファラッシュ
148-42,アイゼンシュー
149-71,ロードサバトン
150-97,八幡脛当
150-98,ブレスドパンプス
151-71,ワイズピガッシュ
153-42,ユニコンレギンス
153-79,トレダーピガッシュ
154-92,アルミナソルレ
155-18,ブラックソルレット
157-120,ナシラクラッコー
158-62,ホマムガンビエラ
158-115,黒トレダー足？
159-22,クロウゲートル
154-34,ハイドラソルレ 
160-90,ハイドラブーツ
164-18,シパーヒブーツ
163-84,ジャリダネール
166-84,アミールブーツ
166-85,ペルワンクラッコー
166-86,イギトクラッコー
174-124,アレスソルレット
174-125,スカディジャンボー
176-43,薄金脛当
176-44,マルドゥククラッコ
176-45,モリガンピガッシュ
182-40,デナリゲマッシュ
183-54,アスカルガンビエラ
183-55,ゴリアードクロッグ
185-119,シャドウサバトン
186-29,シャドウクロッグ
195-93,Unknown
196-127,ドリームブーツ
157-51,無し
198-103,Unknown
198-104,Unknown
199-34,Unknown
199-35,Unknown
199-73,Unknown
200-109,Unknown
201-55,Unknown
207-54,Unknown
312-116,Unknown
312-117,Unknown
312-118,Unknown
