59-125,素手
60-24,[格闘]アベンジャー
60-25,[格闘]ダークカタール
60-26,[格闘]カタール
60-27,[格闘]ジャマダル
60-28,[格闘]エグゾセ
60-29,[格闘]ダーククロー
60-30,[格闘]クロー
60-31,[格闘]ミスリルクロー
60-32,[格闘]サーメットクロー
60-33,[格闘]セスタス
60-34,[格闘]リザードセスタス
60-35,[格闘]ポイズンセスタス
60-36,[格闘]ダークナックル
60-37,[格闘]ブロンズナックル
60-38,[格闘]ブラスナックル
60-39,[格闘]メタルナックル
60-40,[格闘]ミスリルナックル
60-41,[格闘]ケーニヒスナックル
60-42,[格闘]ダイアナックル
60-43,[格闘]マノプル
60-44,[格闘]ゴールドパタ
60-45,[格闘]パタ
60-46,[格闘]ボーンパタ
60-47,[格闘]キャットバグナウ
60-48,[格闘]ブラスバグナウ
60-49,[格闘]バグナウ
60-50,[格闘]ルーンバグナウ(ﾙｰﾝ)
142-62,[格闘]スファライ(ﾚﾘｯｸ5)
149-93,[格闘]アダーガ
166-94,[格闘]サインティ
170-14,[格闘]ダークサインティ
171-124,[格闘]アダマンサインティ
172-60,[格闘]ブラックアダーガ
173-80,[格闘]ハデスサインティ
117-32,[短剣]バリアントナイフ
117-33,[短剣]ダークナイフ
117-34,[短剣]ブロンズナイフ
117-35,[短剣]ナイフ
117-36,[短剣]ミスリルナイフ
117-37,[短剣]サーメットナイフ
117-38,[短剣]ミセリコルデ
117-39,[短剣]ブロンズダガー
117-40,[短剣]ブラスダガー
117-41,[短剣]ダガー
117-42,[短剣]ミスリルダガー
117-43,[短剣]ダークバゼラード
117-44,[短剣]バゼラード
117-45,[短剣]ミスリルバゼラード
117-46,[短剣]ダークククリ
117-47,[短剣]ククリ
117-48,[短剣]ミスリルククリ
117-49,[短剣]サーメットククリ
117-50,[短剣]ハートスナッチャー
117-51,[短剣]パリーングナイフ
117-52,[短剣]連邦魔戦士制式短剣
117-53,[短剣]クリス
117-54,[短剣]トリプルダガー
117-55,[短剣]ボーンナイフ
118-20,[短剣]カルド
142-056,[短剣]マンダウ(ﾚﾘｯｸ5)
142-060,[短剣]名称不明
148-7,[短剣]ハルパー
164-43,[短剣]ジャンビア
172-59,[短剣]パラディウムダガー
173-39,[短剣]御方庖丁
175-29,[短剣]キマイラジャンビア
117-56,[片手剣]クリシュマルド
117-57,[片手剣]スモールソード
117-58,[片手剣]ビルボ
117-59,[片手剣]准銃士制式小剣
117-60,[片手剣]ジュワユース
117-61,[片手剣]シュレイガー
117-62,[片手剣]デュエルレイピア
117-63,[片手剣]デーゲン
117-64,[片手剣]ミスリルデーゲン
117-65,[片手剣]エペ
117-66,[片手剣]フルーレ
117-67,[片手剣]シュヴェールト
117-68,[片手剣]近衛騎士制式帯剣
117-100,[片手剣]スパタ
117-101,[片手剣]ゴールドソード
117-102,[片手剣]ロングソード
117-103,[片手剣]ナイトソード
117-104,[片手剣]サーベル
117-105,[片手剣]ルーンブレード(ﾙｰﾝ)
117-106,[片手剣]サパラ
117-107,[片手剣]シミター
117-108,[片手剣]タルワール
117-109,[片手剣]ハンガー
117-110,[片手剣]リディル
117-111,[片手剣]ダークファルシオン
117-112,[片手剣]プラチナカトラス
117-113,[片手剣]ファルシオン
117-114,[片手剣]カトラス
117-115,[片手剣]サイフォス
117-116,[片手剣]ブラスサイフォス
117-117,[片手剣]グラディウス
117-118,[片手剣]ダークソード
117-119,[片手剣]ブロンズソード
117-120,[片手剣]ジャドプラーテ
117-121,[片手剣]アイアンソード
117-122,[片手剣]ミスリルソード
117-123,[片手剣]ダインスレイフ
117-124,[片手剣]サーメットソード
117-125,[片手剣]アネラス
117-126,[片手剣]カッツバルゲル
117-127,[片手剣]ブロードソード
118-0,[片手剣]珊瑚の剣
118-1,[片手剣]フロッティ
118-2,[片手剣]バスタードソード
118-3,[片手剣]ハンティングソード
118-4,[片手剣]エスパドン
118-5,[片手剣]ナズ
118-6,[片手剣]古代の剣
118-7,[片手剣]カイザーソード
118-8,[片手剣]ダイセクター
118-9,[片手剣]名称不明09
118-10,[片手剣]グラットンソード
118-11,[片手剣]ウィングソード
142-055,[片手剣]エクスカリバー(ﾚﾘｯｸ5)
150-120,[片手剣]ショテル
164-42,[片手剣]キリジ
165-9,[片手剣]マクアフティル
170-13,[片手剣]ダークキリジ
171-4,[片手剣]ドラゴンスレイヤー
171-123,[片手剣]サングインソード
175-30,[片手剣]オートクレール
183-115,[片手剣]スチールキリジ
184-102,[片手剣]ホフド
116-126,[片手棍]名称不明
117-15,[片手棍]オークカジェル
117-16,[片手棍]ボーンカジェル
117-17,[片手棍]ブッディガン
117-18,[片手棍]ダークメイス
117-19,[片手棍]ブロンズメイス
117-20,[片手棍]プラチナメイス
117-21,[片手棍]メイス
117-22,[片手棍]ミスリルメイス
117-23,[片手棍]アッシュクラブ
117-24,[片手棍]チェスナットクラブ
117-25,[片手棍]シェルバスター
117-26,[片手棍]グレートクラブ
117-27,[片手棍]ダークモール
117-28,[片手棍]ブロンズハンマー
117-29,[片手棍]ブラスハンマー
117-30,[片手棍]ウォーハンマー
117-31,[片手棍]モール
117-69,[片手棍]セプター
117-70,[片手棍]ダークロッド
117-71,[片手棍]ブロンズロッド
117-72,[片手棍]ブラスロッド
117-73,[片手棍]ロッド
117-74,[片手棍]ミスリルロッド
117-75,[片手棍]ボーンロッド
117-76,[片手棍]エボニーワンド
117-77,[片手棍]ユーワンド
117-78,[片手棍]メープルワンド
117-79,[片手棍]神代の錫
117-80,[片手棍]ミステルテイン
117-81,[片手棍]ローズワンド
117-82,[片手棍]チェスナットワンド
117-83,[片手棍]ウィローワンド
117-84,[片手棍]カドゥケウス
117-85,[片手棍]名称不明01
117-86,[片手棍]名称不明02
117-87,[片手棍]チョコボワンド
117-88,[片手棍]名称不明04
117-89,[片手棍]名称不明05
117-90,[片手棍]名称不明06
117-91,[片手棍]スターロッド
117-92,[片手棍]アスクレピオス
117-93,[片手棍]呪術の杖
117-94,[片手棍]スキールニルワンド
117-95,[片手棍]アースワンド
117-96,[片手棍]名称不明10
117-97,[片手棍]名称不明11
117-98,[片手棍]名称不明12
117-99,[片手棍]フェイワンド
118-12,[片手棍]ミョルニル(ﾚﾘｯｸ5)
142-57,[片手棍]ルーンロッド(ﾙｰﾝ)
142-58,[片手棍]名称不明15
149-92,[片手棍]モルゲンステルン
150-121,[片手棍]名称不明
159-105,[片手棍]チャームロッド
160-126,[片手棍]モグロッド
164-44,[片手棍]ジャダグナ
170-40,[片手棍]ノマドモグロッド
175-49,[片手棍]胡鬼板
183-114,[片手棍]ブラスジャダグナ
116-127,[片手斧]ブロンズアクス
117-0,[片手斧]ブラスアクス
117-1,[片手斧]バトルアクス
117-2,[片手斧]ミスリルアクス
117-3,[片手斧]ボーンアクス
117-4,[片手斧]タバルジン
117-5,[片手斧]ダークタバール
117-6,[片手斧]タバール
117-7,[片手斧]ダークアクス
117-8,[片手斧]ルーンアクス
117-9,[片手斧]ナトジーク
117-10,[片手斧]ダークピック
117-11,[片手斧]ウォーピック
117-12,[片手斧]ミスリルピック
117-13,[片手斧]ボーンピック
117-14,[片手斧]オーキシュアクス
142-061,[片手斧]ガトラー(ﾚﾘｯｸ5)
145-78,[片手斧]トマホーク
171-121,[片手斧]シリウスアクス
118-13,[片手刀]不動
118-14,[片手刀]脇指
118-15,[片手刀]小太刀
118-16,[片手刀]桜吹雪
118-17,[片手刀]兜割
118-18,[片手刀]雁行
118-19,[片手刀]苦無
142-059,[片手刀]鬼哭
152-20,[片手刀]釵
158-72,[片手刀]緋連雀
171-122,[片手刀]龍門
172-58,[片手刀]隼
183-113,[片手刀]十六夜
59-126,[盾]名称不明01
59-127,[盾]名称不明02
60-0,[盾]リッターシルト
60-1,[盾]リッターシルト(予備
60-2,[盾]カイトシールド
60-3,[盾]ヒーターシールド
60-4,[盾]王立騎士団制式盾
60-5,[盾]神殿騎士団制式盾
60-6,[盾]近衛騎士制式盾
60-7,[盾]ダークシールド
60-8,[盾]甲羅の盾
60-9,[盾]畳楯
60-10,[盾]スクトゥム
60-11,[盾]タワーシールド
60-12,[盾]フェアリーシールド
60-13,[盾]メープルシールド
60-14,[盾]ラワンシールド
60-15,[盾]オークシールド
60-16,[盾]エルムシールド
60-17,[盾]マホガニーシールド
60-18,[盾]アスピス
60-19,[盾]ゴールドバックラー
60-20,[盾]タージェ
60-21,[盾]バックラー
60-22,[盾]ダークバックラー
60-23,[盾]オーキシュシールド
122-84,[盾]ジェネラルシールド
122-85,[盾]ケーニヒシールド
130-63,[盾]アケロンシールド
155-88,[盾]イージス
155-102,[盾]甲羅の盾(別ver.
165-7,[盾]タリカー
165-8,[盾]ジャヌイヤ

