57-120,素手
58-62,[格闘]アベンジャー
58-63,[格闘]ダークカタール
58-64,[格闘]カタール
58-65,[格闘]ジャマダル
58-66,[格闘]エグゾセ
58-67,[格闘]ダーククロー
58-68,[格闘]クロー
58-69,[格闘]ミスリルクロー
58-70,[格闘]サーメットクロー
58-71,[格闘]セスタス
58-72,[格闘]リザードセスタス
58-73,[格闘]ポイズンセスタス
58-74,[格闘]ダークナックル
58-75,[格闘]ブロンズナックル
58-76,[格闘]ブラスナックル
58-77,[格闘]メタルナックル
58-78,[格闘]ミスリルナックル
58-79,[格闘]ケーニヒスナックル
58-80,[格闘]ダイアナックル
58-81,[格闘]マノプル
58-82,[格闘]ゴールドパタ
58-83,[格闘]パタ
58-84,[格闘]ボーンパタ
58-85,[格闘]キャットバグナウ
58-86,[格闘]ブラスバグナウ
58-87,[格闘]バグナウ
58-88,[格闘]ルーンバグナウ(ﾙｰﾝ)
139-24,[格闘]スファライ(ﾚﾘｯｸ5)
149-79,[格闘]アダーガ
166-87,[格闘]サインティ
169-127,[格闘]ダークサインティ
171-86,[格闘]アダマンサインティ
172-39,[格闘]ブラックアダーガ
173-73,[格闘]ハデスサインティ
58-102,[短剣]バリアントナイフ
58-103,[短剣]ダークナイフ
58-104,[短剣]ブロンズナイフ
58-105,[短剣]ナイフ
58-106,[短剣]ミスリルナイフ
58-107,[短剣]サーメットナイフ
58-108,[短剣]ミセリコルデ
58-109,[短剣]ブロンズダガー
58-110,[短剣]ブラスダガー
58-111,[短剣]ダガー
58-112,[短剣]ミスリルダガー
58-113,[短剣]ダークバゼラード
58-114,[短剣]バゼラード
58-115,[短剣]ミスリルバゼラード
58-116,[短剣]ダークククリ
58-117,[短剣]ククリ
58-118,[短剣]ミスリルククリ
58-119,[短剣]サーメットククリ
58-120,[短剣]ハートスナッチャー
58-121,[短剣]パリーングナイフ
58-122,[短剣]連邦魔戦士制式短剣
58-123,[短剣]クリス
58-124,[短剣]トリプルダガー
58-125,[短剣]ボーンナイフ
99-116,[短剣]カルド
139-10,[短剣]マンダウ(ﾚﾘｯｸ5)
139-22,[短剣]名称不明
148-0,[短剣]ハルパー
164-22,[短剣]ジャンビア
172-38,[短剣]パラディウムダガー
173-32,[短剣]御方庖丁
175-15,[短剣]キマイラジャンビア
58-126,[片手剣]クリシュマルド
58-127,[片手剣]スモールソード
59-0,[片手剣]ビルボ
59-1,[片手剣]准銃士制式小剣
59-2,[片手剣]ジュワユース
59-3,[片手剣]シュレイガー
59-4,[片手剣]デュエルレイピア
59-5,[片手剣]デーゲン
59-6,[片手剣]ミスリルデーゲン
59-7,[片手剣]エペ
59-8,[片手剣]フルーレ
59-9,[片手剣]シュヴェールト
59-10,[片手剣]近衛騎士制式帯剣
59-66,[片手剣]スパタ
59-67,[片手剣]ゴールドソード
59-68,[片手剣]ロングソード
59-69,[片手剣]ナイトソード
59-70,[片手剣]サーベル
59-71,[片手剣]ルーンブレード(ﾙｰﾝ)
59-72,[片手剣]サパラ
59-73,[片手剣]シミター
59-74,[片手剣]タルワール
59-75,[片手剣]ハンガー
59-76,[片手剣]リディル
59-77,[片手剣]ダークファルシオン
59-78,[片手剣]プラチナカトラス
59-79,[片手剣]ファルシオン
59-80,[片手剣]カトラス
59-81,[片手剣]サイフォス
59-82,[片手剣]ブラスサイフォス
59-83,[片手剣]グラディウス
59-84,[片手剣]ダークソード
59-85,[片手剣]ブロンズソード
59-86,[片手剣]ジャドプラーテ
59-87,[片手剣]アイアンソード
59-88,[片手剣]ミスリルソード
59-89,[片手剣]ダインスレイフ
59-90,[片手剣]サーメットソード
59-91,[片手剣]アネラス
59-92,[片手剣]カッツバルゲル
59-93,[片手剣]ブロードソード
59-94,[片手剣]珊瑚の剣
59-95,[片手剣]フロッティ
59-96,[片手剣]バスタードソード
59-97,[片手剣]ハンティングソード
59-98,[片手剣]エスパドン
59-99,[片手剣]ナズ
59-100,[片手剣]古代の剣
59-101,[片手剣]カイザーソード
59-102,[片手剣]ダイセクター
59-103,[片手剣]名称不明09
59-104,[片手剣]グラットンソード
59-105,[片手剣]ウィングソード
122-21,[片手剣]エクスカリバー(ﾚﾘｯｸ5)
150-99,[片手剣]ショテル
163-85,[片手剣]キリジ
164-116,[片手剣]マクアフティル
169-126,[片手剣]ダークキリジ
170-123,[片手剣]ドラゴンスレイヤー
171-85,[片手剣]サングインソード
175-16,[片手剣]オートクレール
183-93,[片手剣]スチールキリジ
184-94,[片手剣]ホフド
58-8,[片手棍]名称不明
58-45,[片手棍]オークカジェル
58-46,[片手棍]ボーンカジェル
58-47,[片手棍]ブッディガン
58-48,[片手棍]ダークメイス
58-49,[片手棍]ブロンズメイス
58-50,[片手棍]プラチナメイス
58-51,[片手棍]メイス
58-52,[片手棍]ミスリルメイス
58-53,[片手棍]アッシュクラブ
58-54,[片手棍]チェスナットクラブ
58-55,[片手棍]シェルバスター
58-56,[片手棍]グレートクラブ
58-57,[片手棍]ダークモール
58-58,[片手棍]ブロンズハンマー
58-59,[片手棍]ブラスハンマー
58-60,[片手棍]ウォーハンマー
58-61,[片手棍]モール
59-35,[片手棍]セプター
59-36,[片手棍]ダークロッド
59-37,[片手棍]ブロンズロッド
59-38,[片手棍]ブラスロッド
59-39,[片手棍]ロッド
59-40,[片手棍]ミスリルロッド
59-41,[片手棍]ボーンロッド
59-42,[片手棍]エボニーワンド
59-43,[片手棍]ユーワンド
59-44,[片手棍]メープルワンド
59-45,[片手棍]神代の錫
59-46,[片手棍]ミステルテイン
59-47,[片手棍]ローズワンド
59-48,[片手棍]チェスナットワンド
59-49,[片手棍]ウィローワンド
59-50,[片手棍]カドゥケウス
59-51,[片手棍]名称不明
59-52,[片手棍]名称不明
59-53,[片手棍]チョコボワンド
59-54,[片手棍]名称不明
59-55,[片手棍]名称不明
59-56,[片手棍]名称不明
59-57,[片手棍]スターロッド
59-58,[片手棍]アスクレピオス
59-59,[片手棍]呪術の杖
59-60,[片手棍]スキールニルワンド
59-61,[片手棍]アースワンド
59-62,[片手棍]名称不明10
59-63,[片手棍]名称不明11
59-64,[片手棍]名称不明12
59-65,[片手棍]フェイワンド
59-124,[片手棍]ミョルニル(ﾚﾘｯｸ5)
139-12,[片手棍]ルーンロッド(ﾙｰﾝ)
139-19,[片手棍]名称不明15
149-72,[片手棍]モルゲンステルン
150-100,[片手棍]名称不明
159-98,[片手棍]チャームロッド
160-119,[片手棍]モグロッド
164-23,[片手棍]ジャダグナ
170-33,[片手棍]ノマドモグロッド
175-42,[片手棍]胡鬼板
183-92,[片手棍]ブラスジャダグナ
58-21,[片手斧]ブロンズアクス
58-22,[片手斧]ブラスアクス
58-23,[片手斧]バトルアクス
58-24,[片手斧]ミスリルアクス
58-25,[片手斧]ボーンアクス
58-26,[片手斧]タバルジン
58-27,[片手斧]ダークタバール
58-28,[片手斧]タバール
58-29,[片手斧]ダークアクス
58-30,[片手斧]ルーンアクス
58-31,[片手斧]ナトジーク
58-32,[片手斧]ダークピック
58-33,[片手斧]ウォーピック
58-34,[片手斧]ミスリルピック
58-35,[片手斧]ボーンピック
58-36,[片手斧]オーキシュアクス
139-23,[片手斧]ガトラー(ﾚﾘｯｸ5)
145-68,[片手斧]トマホーク
171-82,[片手斧]シリウスアクス
99-109,[片手刀]不動
99-110,[片手刀]脇指
99-111,[片手刀]小太刀
99-112,[片手刀]桜吹雪
99-113,[片手刀]兜割
99-114,[片手刀]雁行
99-115,[片手刀]苦無
139-20,[片手刀]鬼哭
152-13,[片手刀]釵
158-64,[片手刀]緋連雀
171-84,[片手刀]龍門
172-37,[片手刀]隼
183-91,[片手刀]十六夜
58-9,[両手剣]傭兵騎士団長大剣
58-10,[両手剣]ダーククレイモア
58-11,[両手剣]クレイモア
58-12,[両手剣]ミスリルクレイモア
58-13,[両手剣]グロリアスソード
58-14,[両手剣]アロンダイト
58-15,[両手剣]ツバイハンダー
58-16,[両手剣]トゥハンドソード
58-17,[両手剣]グレートソード
58-18,[両手剣]近衛騎士制式大剣
58-19,[両手剣]フランベルジュ
58-20,[両手剣]フォセ
122-19,[両手剣]ブラッディソード
122-20,[両手剣]ラグナロク(ﾚﾘｯｸ5)
122-22,[両手剣]バルムンク
145-67,[両手剣]ファルクス
149-74,[両手剣]名称不明
149-75,[両手剣]名称不明
164-20,[両手剣]アルゴル
170-125,[両手剣]ゴールドアルゴル
59-106,[両手棍]エルムスタッフ
59-107,[両手棍]ホリースタッフ
59-108,[両手棍]オークスタッフ
59-109,[両手棍]アッシュスタッフ
59-110,[両手棍]マホガニースタッフ
59-111,[両手棍]共和軍団兵制式戦杖
59-112,[両手棍]連邦賢者制式杖
59-113,[両手棍]スパイクドクラブ
59-114,[両手棍]ロックマッシャー
59-115,[両手棍]エボニーポール
59-116,[両手棍]エルムポール
59-117,[両手棍]ホリーポール
59-118,[両手棍]オークポール
59-119,[両手棍]アッシュポール
59-120,[両手棍]神代の杖
59-121,[両手棍]マホガニーポール
59-122,[両手棍]ルーンスタッフ(ﾙｰﾝ)
59-123,[両手棍]モンスターシグナ
127-121,[両手棍]ダークスタッフ
127-122,[両手棍]ウォータスタッフ
127-123,[両手棍]ウィンドスタッフ
127-124,[両手棍]アイススタッフ
127-125,[両手棍]サンダースタッフ
127-126,[両手棍]ファイアスタッフ
127-127,[両手棍]ライトスタッフ
128-0,[両手棍]アーススタッフ
128-1,[両手棍]トリックスタッフ
139-17,[両手棍]鉄砕棒
139-18,[両手棍]クラウストルム(ﾚﾘｯｸ5)
148-61,[両手棍]王国儀杖
148-62,[両手棍]連邦儀杖
148-63,[両手棍]共和国儀杖
149-73,[両手棍]猿棍
58-37,[両手斧]先任黄金銃士大斧
58-38,[両手斧]ヘビィアクス
58-39,[両手斧]バタフライアクス
58-40,[両手斧]グレートアクス
58-41,[両手斧]ブージ
58-42,[両手斧]ケーテン
58-43,[両手斧]ギガントアクス
58-44,[両手斧]ツェアシュテーラー
139-11,[両手斧]ルーンチョッパー(ﾙｰﾝ)
