60-53,装備なし
60-54,[投擲]フレイムブーメラン
60-55,[投擲]ブーメラン
60-56,[投擲]ライジングサン
60-57,[投擲]チャクラム
60-58,[投擲]円月輪
60-59,[投擲]グレネード
60-60,[投擲]十字手裏剣
150-12,[投擲]風魔手裏剣
148-120,[投擲]銛
148-119,[投擲]まさかり 
60-61,[弓]ジェンダワ
60-62,[弓]ロクスリーボウ
60-63,[弓]ウォーボウ
60-64,[弓]グレードボウ
60-65,[弓]バトルボウ
60-66,[弓]パワーボウ
60-67,[弓]ロングボウ
60-68,[弓]ラピッドボウ
60-69,[弓]名称不明06
60-70,[弓]セルフボウ
60-71,[弓]カマン
60-72,[弓]名称不明09
60-73,[弓]ラップドボウ
60-74,[弓]義勇兵の弓
60-75,[弓]エクスパンジャー
60-76,[弓]スピードボウ
60-77,[弓]ハンティングボウ
60-78,[弓]コンポジットボウ
60-79,[弓]名称不明16
60-80,[弓]ショートボウ
60-81,[弓]ルーンボウ(ﾙｰﾝ)
122-24,[弓]重藤弓
145-70,[弓]与一の弓
166-125,[弓]ラミアンカマン
60-82,[射撃]ヘヴィクロスボウ
60-83,[射撃]クロスボウ
60-84,[射撃]アルバレスト
60-85,[射撃]ザンバーハ
60-86,[射撃]ライトクロスボウ
60-87,[射撃]根来式鉄砲
60-88,[射撃]ヘルファイア
60-89,[射撃]ハーケンビュクゼ
60-90,[射撃]バンティットガン
60-91,[射撃]リピーティングボウ
60-92,[射撃]パワークロスボウ
60-93,[射撃]カルバリン
139-25,[射撃]コフィンメーカー
145-69,[射撃]アナイアレイター(ﾚﾘｯｸ5)
164-24,[射撃]ヘキサガン
170-0,[射撃]ダークヘキサガン
183-94,[射撃]マーズヘキサガン
60-94,[管楽器]トラベルシエール
60-95,[管楽器]フルート
60-96,[管楽器]ピッコロ
60-97,[管楽器]フェアリーピッコロ
60-98,[管楽器]ホルン
60-99,[管楽器]コルネット
60-100,[管楽器]クラムホルン
60-101,[管楽器]ゲムショルン
139-26,[管楽器]ギャッラルホルン(ﾚﾘｯｸ5)
60-102,[弦楽器]エボニーハープ
60-103,[弦楽器]名称不明
60-104,[弦楽器]ラミアの竪琴
60-105,[弦楽器]メープルハープ
60-106,[弦楽器]ナースメイドハープ
60-107,[弦楽器]神代の竪琴
60-108,[弦楽器]ハープ
60-109,[弦楽器]ローズハープ
60-110,[弦楽器]嘆きの竪琴
60-111,[弦楽器]キタラアングリカ
