50-88,装備なし
50-89,[投擲]フレイムブーメラン
50-90,[投擲]ブーメラン
50-91,[投擲]ライジングサン
50-92,[投擲]チャクラム
50-93,[投擲]円月輪
50-94,[投擲]グレネード
50-95,[投擲]十字手裏剣
150-10,[投擲]風魔手裏剣
148-116,[投擲]銛
148-115,[投擲]まさかり 
50-96,[弓]ジェンダワ
50-97,[弓]ロクスリーボウ
50-98,[弓]ウォーボウ
50-99,[弓]グレードボウ
50-100,[弓]バトルボウ
50-101,[弓]パワーボウ
50-102,[弓]ロングボウ
50-103,[弓]ラピッドボウ
50-104,[弓]名称不明06
50-105,[弓]セルフボウ
50-106,[弓]カマン
50-107,[弓]名称不明09
50-108,[弓]ラップドボウ
50-109,[弓]義勇兵の弓
50-110,[弓]エクスパンジャー
50-111,[弓]スピードボウ
50-112,[弓]ハンティングボウ
50-113,[弓]コンポジットボウ
50-114,[弓]名称不明16
50-115,[弓]ショートボウ
50-116,[弓]ルーンボウ(ﾙｰﾝ)
121-62,[弓]重藤弓
144-126,[弓]与一の弓
166-123,[弓]ラミアンカマン
50-117,[射撃]ヘヴィクロスボウ
50-118,[射撃]クロスボウ
50-119,[射撃]アルバレスト
50-120,[射撃]ザンバーハ
50-121,[射撃]ライトクロスボウ
50-122,[射撃]根来式鉄砲
50-123,[射撃]ヘルファイア
50-124,[射撃]ハーケンビュクゼ
50-125,[射撃]バンティットガン
50-126,[射撃]リピーティングボウ
50-127,[射撃]パワークロスボウ
51-0,[射撃]カルバリン
138-50,[射撃]コフィンメーカー
144-125,[射撃]アナイアレイター(ﾚﾘｯｸ5)
163-125,[射撃]ヘキサガン
169-122,[射撃]ダークヘキサガン
183-86,[射撃]マーズヘキサガン
51-1,[管楽器]トラベルシエール
51-2,[管楽器]フルート
51-3,[管楽器]ピッコロ
51-4,[管楽器]フェアリーピッコロ
51-5,[管楽器]ホルン
51-6,[管楽器]コルネット
51-7,[管楽器]クラムホルン
51-8,[管楽器]ゲムショルン
138-51,[管楽器]ギャッラルホルン(ﾚﾘｯｸ5)
51-9,[弦楽器]エボニーハープ
51-10,[弦楽器]名称不明
51-11,[弦楽器]ラミアの竪琴
51-12,[弦楽器]メープルハープ
51-13,[弦楽器]ナースメイドハープ
51-14,[弦楽器]神代の竪琴
51-15,[弦楽器]ハープ
51-16,[弦楽器]ローズハープ
51-17,[弦楽器]嘆きの竪琴
51-18,[弦楽器]キタラアングリカ
