47-61,装備なし
47-62,レザーグローブ
47-63,ガントレット
47-64,ミトン
47-65,忍手甲
47-66,チェーンミトン
47-67,リザードグローブ
47-68,ラプトルグローブ
47-69,初期装備
47-70,篭手
47-71,リネンミトン
47-72,ブラックミトン
47-73,王国従士制式鎖手袋
47-74,王国騎士制式鎖手袋
47-75,アイアンミトン
47-76,ブロンズミトン
47-77,ボーンミトン
47-78,手甲
47-79,ウールカフス
47-80,連邦軍師制式袖飾り
47-81,カフス
47-82,グローブ
47-83,ダークガントレ
47-84,ブレーサー
47-85,バトルブレーサー
47-86,鋼鉄銃士隊制式篭手
47-87,百人隊長篭手
47-88,ガビアルフィンガー
47-89,スケイルフィンガー
47-90,ミスリルガントレ
47-91,種族装備
94-30,ファイターマフラ(AF1)
94-31,テンプルグローブ(AF1)
94-32,ヒーラーミトン(AF1)
94-33,ウィザードグローブ(AF1)
94-34,ワーロックグローブ(AF1)
94-35,ローグアームレット(AF1)
96-69,ガラントガントレ(AF1)
96-70,カオスガントレット(AF1)
96-71,ビーストグローブ(AF1)
96-72,コラルカフス(AF1)
96-73,ハンターブレーサー(AF1)
99-34,明珍筒篭手(AF1)
99-35,乱波手甲(AF1)
99-36,ドラケンフィンガー(AF1)
99-37,エボカーブレーサー(AF1)
157-103,メガスハズバンド(AF1)
163-51,コルセアガントリー(AF1)
163-52,パペトリダスタナ(AF1)
119-28,タイガーグローブ
119-29,アイアンフィンガー
121-32,スチールフィンガー
121-33,クァールグローブ
121-34,アダマンガントレ
121-35,コーラルミトン
121-36,ノーブルミトン
121-37,シックマフラ
121-38,羅漢手甲
121-39,ドラゴンフィンガー
124-99,羅刹手甲
124-100,クリムゾンフィンガ
124-101,アダマンマフラ
124-102,オーガグローブ
124-103,ケーニヒハントシュ
125-58,ウォーグローブ
127-11,夜叉手甲
127-12,青龍篭手
127-13,ヘカトンミトン
127-14,エラントカフス
127-15,フィッシャグローブ
127-16,チョコボグローブ
127-17,バガボンドグローブ 
129-105,フィールドグローブ
129-106,修羅篠篭手
129-107,ゼニスミトン
129-108,カラパスガントレ
129-109,ダスクグローブ
129-110,ドラゴンミトン
134-6,ウォリアーマフラ(AF2)
134-7,メレーグローブ(AF2)
134-8,クレリクミトン(AF2)
134-9,ソーサラーグローブ(AF2)
134-10,デュエルグローブ(AF2)
134-11,アサシンアムレット(AF2)
134-12,ヴァラーガントレ(AF2)
134-13,アビスガントレット(AF2)
134-14,モンスターグローブ(AF2)
134-15,バードカフス(AF2)
134-16,スカウトブレーサー(AF2)
134-17,早乙女筒篭手(AF2)
134-18,甲賀手甲(AF2)
134-19,ウィルムフィンガー(AF2)
134-20,サマナーブレーサー(AF2)
134-21,スコピオガントレ
134-22,オステアカフス 
138-32,木工軍手 革工手袋
138-33,耐熱ミトン
144-101,？？？ミトン
144-102,シェードミトン
144-103,ガリシュミトン
144-104,シアーミトン
144-105,？？？グローブ
144-106,ノクトグローブ
146-5,バイソンリスト
146-6,シャイルゲージ
146-57,バローネマノポラ
146-96,イギラマニラ
148-30,アイゼンヘンツェ
149-45,ロードガントレット
150-69,八幡篭手
150-70,ブレスドミトン
151-59,ワイズグローブ
153-30,ユニコンミトン
153-67,トレダーカフス
154-76,アルミナムフル
155-6,ブラックガドリング
157-104,ナシラゲージ
158-44,ホマムマノポラ
158-103,黒トレダー手？
159-10,クロウブレーサー
154-4,ハイドラムフル 
160-78,ハイドラブレーサー
163-53,シパーヒダスタナ
163-54,ジャリダバズバンド
166-46,アミールコッルク
166-47,ペルワンダスタナ
166-48,イギトゲージ
174-100,アレスガントレット
174-101,スカディバズバンド
176-7,薄金篭手
176-8,マルドゥクダスタナ
176-9,モリガンカフス
182-26,デナリリスト
183-14,アスカルマノポラ
183-15,ゴリアードカフス
185-107,シャドウガントレ
186-15,シャドウカフス
134-23,無し
195-88,Unknown
196-94,???
198-76,Unknown
198-77,Unknown
198-78,Unknown
199-10,Unknown
199-11,Unknown
199-65,Unknown
201-39,Unknown
207-44,Unknown
