50-31,素手
50-58,[格闘]アベンジャー
50-59,[格闘]ダークカタール
50-60,[格闘]カタール
50-61,[格闘]ジャマダル
50-62,[格闘]エグゾセ
50-63,[格闘]ダーククロー
50-64,[格闘]クロー
50-65,[格闘]ミスリルクロー
50-66,[格闘]サーメットクロー
50-67,[格闘]セスタス
50-68,[格闘]リザードセスタス
50-69,[格闘]ポイズンセスタス
50-70,[格闘]ダークナックル
50-71,[格闘]ブロンズナックル
50-72,[格闘]ブラスナックル
50-73,[格闘]メタルナックル
50-74,[格闘]ミスリルナックル
50-75,[格闘]ケーニヒスナックル
50-76,[格闘]ダイアナックル
50-77,[格闘]マノプル
50-78,[格闘]ゴールドパタ
50-79,[格闘]パタ
50-80,[格闘]ボーンパタ
50-81,[格闘]キャットバグナウ
50-82,[格闘]ブラスバグナウ
50-83,[格闘]バグナウ
50-84,[格闘]ルーンバグナウ(ﾙｰﾝ)
142-46,[格闘]スファライ(ﾚﾘｯｸ5)
149-89,[格闘]アダーガ
166-92,[格闘]サインティ
170-10,[格闘]ダークサインティ
171-114,[格闘]アダマンサインティ
172-54,[格闘]ブラックアダーガ
173-78,[格闘]ハデスサインティ
114-72,[短剣]バリアントナイフ
114-73,[短剣]ダークナイフ
114-74,[短剣]ブロンズナイフ
114-75,[短剣]ナイフ
114-76,[短剣]ミスリルナイフ
114-77,[短剣]サーメットナイフ
114-78,[短剣]ミセリコルデ
114-79,[短剣]ブロンズダガー
114-80,[短剣]ブラスダガー
114-81,[短剣]ダガー
114-82,[短剣]ミスリルダガー
114-83,[短剣]ダークバゼラード
114-84,[短剣]バゼラード
114-85,[短剣]ミスリルバゼラード
114-86,[短剣]ダークククリ
114-87,[短剣]ククリ
114-88,[短剣]ミスリルククリ
114-89,[短剣]サーメットククリ
114-90,[短剣]ハートスナッチャー
114-91,[短剣]パリーングナイフ
114-92,[短剣]連邦魔戦士制式短剣
114-93,[短剣]クリス
114-94,[短剣]トリプルダガー
114-95,[短剣]ボーンナイフ
115-60,[短剣]カルド
142-040,[短剣]マンダウ(ﾚﾘｯｸ5)
142-044,[短剣]名称不明
148-5,[短剣]ハルパー
164-37,[短剣]ジャンビア
172-53,[短剣]パラディウムダガー
173-37,[短剣]御方庖丁
175-25,[短剣]キマイラジャンビア
114-96,[片手剣]クリシュマルド
114-97,[片手剣]スモールソード
114-98,[片手剣]ビルボ
114-99,[片手剣]准銃士制式小剣
114-100,[片手剣]ジュワユース
114-101,[片手剣]シュレイガー
114-102,[片手剣]アラミスレイピア
114-103,[片手剣]デーゲン
114-104,[片手剣]ミスリルデーゲン
114-105,[片手剣]エペ
114-106,[片手剣]フルーレ
114-107,[片手剣]シュヴェールト
114-108,[片手剣]近衛騎士制式帯剣
115-12,[片手剣]スパタ
115-13,[片手剣]ゴールドソード
115-14,[片手剣]ロングソード
115-15,[片手剣]ナイトソード
115-16,[片手剣]サーベル
115-17,[片手剣]ルーンブレード(ﾙｰﾝ)
115-18,[片手剣]サパラ
115-19,[片手剣]シミター
115-20,[片手剣]タルワール
115-21,[片手剣]ハンガー
115-22,[片手剣]リディル
115-23,[片手剣]ダークファルシオン
115-24,[片手剣]プラチナカトラス
115-25,[片手剣]ファルシオン
115-26,[片手剣]カトラス
115-27,[片手剣]サイフォス
115-28,[片手剣]ブラスサイフォス
115-29,[片手剣]グラディウス
115-30,[片手剣]ダークソード
115-31,[片手剣]ブロンズソード
115-32,[片手剣]ジャドプラーテ
115-33,[片手剣]アイアンソード
115-34,[片手剣]ミスリルソード
115-35,[片手剣]ダインスレイフ
115-36,[片手剣]サーメットソード
115-37,[片手剣]アネラス
115-38,[片手剣]カッツバルゲル
115-39,[片手剣]ブロードソード
115-40,[片手剣]珊瑚の剣
115-41,[片手剣]フロッティ
115-42,[片手剣]バスタードソード
115-43,[片手剣]ハンティングソード
115-44,[片手剣]エスパドン
115-45,[片手剣]ナズ
115-46,[片手剣]古代の剣
115-47,[片手剣]カイザーソード
115-48,[片手剣]ダイセクター
115-49,[片手剣]名称不明09
115-50,[片手剣]グラットンソード
115-51,[片手剣]ウィングソード
142-039,[片手剣]エクスカリバー(ﾚﾘｯｸ5)
150-114,[片手剣]ショテル
164-36,[片手剣]キリジ
165-3,[片手剣]マクアフティル
170-9,[片手剣]ダークキリジ
