78-45,[格闘]コンボ 
78-46,[格闘]タックル
78-47,[格闘]短勁 
78-48,[格闘]バックハンドブロー
78-49,[格闘]乱撃 
78-50,[格闘]スピンアタック
78-51,[格闘]空鳴拳
101-49,[格闘]双竜脚 
101-50,[格闘]夢想阿修羅拳 
139-116,[格闘]ファイナルヘブン

78-52,[短剣]ワスプスティング 
78-53,[短剣]ガストスラッシュ
78-54,[短剣]シャドーステッチ
78-55,[短剣]バイパーバイト
78-56,[短剣]サイクロン
78-57,[短剣]エナジースティール
78-58,[短剣]エナジードレイン
78-59,[短剣]ダンシングエッジ
101-51,[短剣]シャークバイト
101-52,[短剣]エヴィサレーション
139-117,[短剣]マーシーストローク

78-36,[片手剣]ファストブレード 
78-37,[片手剣]バーニングブレード
78-38,[片手剣]レッドロータス
78-41,[片手剣]フラットブレード
78-39,[片手剣]シャインブレード 
78-40,[片手剣]セラフブレード
78-42,[片手剣]サークルブレード
78-43,[片手剣]スピリッツウィズイン
78-44,[片手剣]ボーパルブレード
101-47,[片手剣]スウィフトブレード
101-48,[片手剣]サベッジブレード
139-115,[片手剣]ナイツオブラウンド

78-74,[片手棍]シャインストライク
78-75,[片手棍]セラフストライク
78-76,[片手棍]ブレインシェイカー
78-77,[片手棍]スターライト
78-78,[片手棍]ムーンライト
78-79,[片手棍]スカルブレイカー
78-80,[片手棍]トゥルーストライク
78-81,[片手棍]ジャッジメント
101-57,[片手棍]ヘキサストライク
101-58,[片手棍]ブラックヘイロー
139-120,[片手棍]ランドグリース

78-60,[片手斧]レイジングアクス
78-61,[片手斧]スマッシュ
78-62,[片手斧]ラファールアクス
78-63,[片手斧]アバランチアクス
78-64,[片手斧]スピニングアクス
78-65,[片手斧]ランページ
78-66,[片手斧]カラミティ
101-53,[片手斧]ミストラルアクス
101-54,[片手斧]デシメーション
139-118,[片手斧]オンスロート

101-67,[片手刀]臨
101-68,[片手刀]烈
101-69,[片手刀]滴
101-70,[片手刀]凍
101-71,[片手刀]地
101-72,[片手刀]影
101-73,[片手刀]迅
101-74,[片手刀]天
101-75,[片手刀]空
139-125,[片手刀]生者必滅

78-89,[両手剣]ハードスラッシュ
78-90,[両手剣]パワースラッシュ
78-91,[両手剣]フロストバイト
78-92,[両手剣]フリーズバイト
78-93,[両手剣]ショックウェーブ
78-94,[両手剣]クレセントムーン
78-95,[両手剣]シックルムーン
101-61,[両手剣]スピンスラッシュ
101-62,[両手剣]グランドストライク
139-122,[両手剣]スカージ

78-103,[両手棍]ヘヴィスイング
78-104,[両手棍]ロッククラッシャー
78-105,[両手棍]アースクラッシャー
78-106,[両手棍]スターバースト
78-107,[両手棍]サンバースト
78-108,[両手棍]シェルクラッシャー 
78-109,[両手棍]フルスイング
101-65,[両手棍]スピリットテーカー
101-66,[両手棍]レトリビューション
139-124,[両手棍]タルタロスゲート

78-82,[両手斧]シールドブレイク
78-83,[両手斧]アイアンテンペスト
78-84,[両手斧]シュトルムヴィント
78-85,[両手斧]アーマーブレイク
78-86,[両手斧]キーンエッジ
78-87,[両手斧]ウェポンブレイク
78-88,[両手斧]レイジングラッシュ
101-59,[両手斧]フルブレイク
101-60,[両手斧]スチールサイクロン
139-121,[両手斧]メタトロントーメント

101-76,[両手刀]壱之太刀・燕飛
101-77,[両手刀]弐之太刀・鋒縛
101-78,[両手刀]参之太刀・轟天
101-79,[両手刀]四之太刀・陽炎
101-80,[両手刀]五之太刀・陣風
101-81,[両手刀]六之太刀・光輝
101-82,[両手刀]七之太刀・雪風
101-83,[両手刀]八之太刀・月光
101-84,[両手刀]九之太刀・花車
139-126,[両手刀]零之太刀・回天

78-67,[両手鎌]スライス
78-68,[両手鎌]ダークハーベスト
78-69,[両手鎌]シャドーオブデス
78-70,[両手鎌]ナイトメアサイス
78-71,[両手鎌]スピニングサイス
78-72,[両手鎌]ボーパルサイス
78-73,[両手鎌]ギロティン
101-55,[両手鎌]クロスリーパー
101-56,[両手鎌]スパイラルヘル
139-119,[両手鎌]カスタロフィ

78-96,[両手槍]ダブルスラスト
78-97,[両手槍]サンダースラスト
78-98,[両手槍]ライデンスラスト
78-99,[両手槍]足払い
78-100,[両手槍]ペンタスラスト 
78-101,[両手槍]ボーパルスラスト
78-102,[両手槍]スキュアー
101-63,[両手槍]大車輪
101-64,[両手槍]インパルスドライブ
139-123,[両手槍]ゲイルスコルグ

78-120,[弓術]フレイミングアロー
78-121,[弓術]ピアシングアロー
78-122,[弓術]ダリングアロー
78-124,[弓術]サイドワインダー
101-100,[弓術]ブラストアロー
101-101,[弓術]アーチングアロー
101-102,[弓術]エンピリアルアロー
139-127,[弓術]南無八幡

78-125,[射撃]ホットショット
78-126,[射撃]スプリットショット
78-127,[射撃]スナイパーショット
79-1,[射撃]スラッグショット
101-103,[射撃]ブラストショット
101-104,[射撃]ヘヴィショット
101-105,[射撃]デトネーター
140-0,[射撃]カラナック
