33-28,装備なし
33-29,レザーグローブ
33-30,ガントレット
33-31,ミトン
33-32,忍手甲
33-33,チェーンミトン
33-34,リザードグローブ
33-35,ラプトルグローブ
33-36,初期装備
33-37,篭手
33-38,リネンミトン
33-39,ブラックミトン
33-40,王国従士制式鎖手袋
33-41,王国騎士制式鎖手袋
33-42,アイアンミトン
33-43,ブロンズミトン
33-44,ボーンミトン
33-45,手甲
33-46,ウールカフス
33-47,連邦軍師制式袖飾り
33-48,カフス
33-49,グローブ
33-50,ダークガントレ
33-51,ブレーサー
33-52,バトルブレーサー
33-53,鋼鉄銃士隊制式篭手
33-54,百人隊長篭手
33-55,ガビアルフィンガー
33-56,スケイルフィンガー
33-57,ミスリルガントレ
33-59,種族装備
93-52,ファイターマフラ(AF1)
93-53,テンプルグローブ(AF1)
93-54,ヒーラーミトン(AF1)
93-55,ウィザードグローブ(AF1)
93-56,ワーロックグローブ(AF1)
93-57,ローグアームレット(AF1)
95-122,ガラントガントレ(AF1)
95-123,カオスガントレット(AF1)
95-124,ビーストグローブ(AF1)
95-125,コラルカフス(AF1)
95-126,ハンターブレーサー(AF1)
98-66,明珍筒篭手(AF1)
98-67,乱波手甲(AF1)
98-68,ドラケンフィンガー(AF1)
98-69,エボカーブレーサー(AF1)
162-53,メガスハズバンド(AF1)
160-98,コルセアガントリー(AF1)
163-7,パペトリダスタナ(AF1)
119-4,タイガーグローブ
119-5,アイアンフィンガー
120-25,スチールフィンガー
120-26,クァールグローブ
120-27,アダマンガントレ
120-28,コーラルミトン
120-29,ノーブルミトン
120-30,シックマフラ
120-31,羅漢手甲
120-32,ドラゴンフィンガー
124-24,羅刹手甲
124-25,クリムゾンフィンガ
124-26,アダマンマフラ
124-27,オーガグローブ
124-28,ケーニヒハントシュ
125-43,ウォーグローブ
126-6,夜叉手甲
126-7,青龍篭手
126-8,ヘカトンミトン
126-9,エラントカフス
126-10,フィッシャグローブ
126-11,チョコボグローブ
126-12,バガボンドグローブ 
129-15,フィールドグローブ
129-16,修羅篠篭手
129-17,ゼニスミトン
129-18,カラパスガントレ
129-19,ダスクグローブ
129-20,ドラゴンミトン
132-3,ウォリアーマフラ(AF2)
132-4,メレーグローブ(AF2)
132-5,クレリクミトン(AF2)
132-6,ソーサラーグローブ(AF2)
132-7,デュエルグローブ(AF2)
132-8,アサシンアムレット(AF2)
132-9,ヴァラーガントレ(AF2)
132-10,アビスガントレット(AF2)
132-11,モンスターグローブ(AF2)
132-12,バードカフス(AF2)
132-13,スカウトブレーサー(AF2)
132-14,早乙女筒篭手(AF2)
132-15,甲賀手甲(AF2)
132-16,ウィルムフィンガー(AF2)
132-17,サマナーブレーサー(AF2)
214-75,Mirage Bazubands (BLU AF2)
214-76,Commodore Gants (COR AF2)
214-77,Pantin Dastanas (PUP AF2)
217-117,Etoile Bangles (DNC AF2)
217-75,Argute Bracers (SCH AF2)
132-18,スコピオガントレ
132-19,オステアカフス 
137-18,木工軍手 革工手袋
137-19,耐熱ミトン
143-121,？？？
143-122,シェードミトン
143-123,ガリシュミトン
143-124,シアーミトン
143-125,？？？ミトン
143-126,ノクトグローブ
145-97,バイソンリスト
145-98,シャイルゲージ
146-42,バローネマノポラ
146-81,イギラマニラ
148-15,アイゼンヘンツェ
149-9,ロードガントレット
150-33,八幡篭手
150-34,ブレスドミトン
151-44,ワイズグローブ
153-15,ユニコンミトン
153-52,トレダーカフス
154-57,アルミナムフル
154-119,ブラックガドリング
157-83,ナシラゲージ
158-20,ホマムマノポラ
158-88,黒トレダー手？
158-123,クロウブレーサー
153-99,ハイドラムフル 
160-63,ハイドラブレーサー
163-8,シパーヒダスタナ
163-9,ジャリダバズバンド
165-126,アミールコッルク
165-127,ペルワンダスタナ
166-0,イギトゲージ
174-70,アレスガントレット
174-71,スカディバズバンド
175-90,薄金篭手
175-91,マルドゥクダスタナ
175-92,モリガンカフス
182-8,デナリリスト
182-88,アスカルマノポラ
182-89,ゴリアードカフス
185-92,シャドウガントレ
185-125,シャドウカフス
132-20,無し
33-58,ジャッジガントレ(GM)
189-33,ダンサーバングル
189-34,スカラーブレーサー
195-82,Unkown
196-115,???
199-50,Cobra Unit Gloves
200-81,Cobra Unit Mittens
201-24,Iron Ram Dastanas
198-111,Fourth Division Hentzes
196-115,Bastokan Armor
195-82,Orcish Gauntlets
132-20,-for Custom Top-
207-32,Hachiryu Kote
219-63,Gothic Gauntlets
225-56,Synergy Gloves
235-87,Ebon Dastanas
235-88,Furia Dastanas
235-89,Ebur Dastanas
235-90,Ebon Mufflers
235-91,Furia Mufflers
235-92,Ebur Mufflers
235-93,Ebon Moufles
235-94,Furia Moufles
235-95,Ebur Moufles
235-96,Ebon Gauntlets
235-97,Furia Gauntlets
235-98,Ebur Gauntlets
227-118,Ebon Gloves
227-119,Furia Gloves
227-120,Ebur Gloves
227-121,Ebon Bracers
227-122,Furia Bracers
227-123,Ebur Bracers
227-124,Shikkoku Kote
227-125,Shinku Kote
227-126,Ginhaku Kote
227-127,Ebon Wristbands
229-112,Furia Wristbands
229-113,Ebur Wristbands
232-33,Ebon Gants
232-34,Furia Gants
232-35,Ebur Gants
232-36,Ebon Cuffs
232-37,Furia Cuffs
232-38,Ebur Cuffs
232-39,Ebon Gages
232-40,Furia Gages
232-41,Ebur Gages
232-42,Ebon Mitts
232-43,Furia Mitts
232-44,Ebur Mitts
132-20,-for Dinner Jacket-
247-92,Serpentes Cuffs
247-93,Praeda Gauntlets
247-94,Timarli Dastanas
247-95,Augur's Gloves
247-96,Ocelot Gloves
247-97,Perle Moufles
247-98,Teal Cuffs
247-99,Aurore Gloves
241-18,Goetia Gloves (BLM AF3)
241-19,Creed Gauntlets (PLD AF3)
244-1,Ravager's Mufflers (WAR AF3)
244-2,Estoqueur's Gantherots (RDM AF3)
251-50,Tantra Gloves (MNK AF3)
251-51,Raider's Armlets (THF AF3)
251-52,Bale Gauntlets (DRK AF3)
251-53,Ferine Manoplas (BST AF3)
251-54,Aoidos' Manchettes (BRD AF3)
251-55,Unkai Kote (SAM AF3)
251-56,Iga Tekko (NIN AF3)
251-57,Lancer Vambraces (DRG AF3)
251-58,Mavi Bazuband (BLU AF3)
251-59,Navarch's Gants (COR AF3)
251-60,Cirque Guanti (PUP AF3)
251-61,Savant's Bracers (SCH AF3)
254-25,Orison Mitts (WHM AF3)
254-81,Charis Bangles (DNC AF3)
256-31,Sylvan Glovelettes (RNG AF3)
256-32,Caller's Bracers (SMN AF3)
132-20,-for Novennial Dress-
270-74,Brego Gloves
271-55,Ogier's Gauntlets
271-56,Athos's Gloves
271-57,Rubeus Gloves
277-72,Kheper Wristbands
277-73,Paean Cuffs
277-74,Auspex Gages
277-75,Hrafn Gauntlets
277-76,Tenryu Tekko
280-94,
280-95,
280-96,
132-20,-for Marine Top-
132-20,-for Decennial Dress-
282-46,Dux Finger Gauntlets
282-47,Chelona Gloves
132-20,-for Moogle Suit-
287-74,Dream Mittens
286-92, Geomancer AF1
292-39, Rune Fencer AF1
290-60, Karieyh Moufles
290-61, Thurandaut Gloves
290-62, Orvail Cuffs
290-63, ???
292-38, Yaoyotl - Quauhpilli
300-125, Mikinaak Gauntlets
300-126, Manibozho Gloves
300-127, Bokwus Gloves
