33-60,装備なし
33-61,レザートラウザ
33-62,クウィス
33-63,ズボン
33-64,忍袴
33-65,チェーンホーズ
33-66,リザードトラウザ
33-67,ラプトルトラウザ
33-68,初期装備
33-69,佩楯
33-70,リネンズボン
33-71,ホワイトズボン
33-72,王国従士制式下衣
33-73,王国騎士制式下衣
33-74,アイアンサブリガ
33-75,ブロンズサブリガ
33-76,ボーンサブリガ
33-77,下ばき
33-78,ウールスロップス
33-79,連邦軍師制式下衣
33-80,スロップス
33-81,ブレー
33-82,ダーククウィス
33-83,ホーズ
33-84,バトルホーズ
33-85,鋼鉄銃士隊制式股当
33-86,百人隊長股当
33-87,ガビアルクウィス
33-88,スケイルクウィス
33-89,ミスリルクウィス
33-91,種族装備
93-58,ファイタークウィス(AF1)
93-59,テンプルホーズ(AF1)
93-60,ヒーラーパンタロン(AF1)
93-61,ウィザードトンバン(AF1)
93-62,ワーロックタイツ(AF1)
93-63,ローグキュロット(AF1)
95-127,ガラントブリーチズ(AF1)
96-0,カオスフランチャー(AF1)
96-1,ビーストトラウザ(AF1)
96-2,コラルキャニオンズ(AF1)
96-3,ハンターブラッカエ(AF1)
98-70,明珍板佩楯(AF1)
98-71,乱波袴(AF1)
98-72,ドラケンブレー(AF1)
98-73,エボカースパッツ(AF1)
162-54,メガスシャルワー(AF1)
160-99,コルセアトルーズ(AF1)
163-10,パペトリチュリダル(AF1)
119-6,タイガートラウザ
119-7,アイアンクウィス
120-33,スチールクウィス
120-34,クァールトラウザ
120-35,アダマンクウィス
120-36,コーラルサブリガ
120-37,ノーブルズボン
120-38,シックブリーチズ
120-39,羅漢筒袴
120-40,ドラゴンクウィス
124-29,羅刹筒袴
124-30,クリムゾンクウィス
124-31,アダマンブリーチズ
124-32,オーガトラウザ
124-33,ケーニヒディヒリン
125-44,ウォーブレー
126-13,夜叉筒袴
126-14,白虎佩楯
126-15,ヘカトンサブリガ
126-16,エラントスロップス
126-17,フィッシャホーズ
126-18,チョコボホーズ
126-19,バガボンドホーズ
129-21,フィールドホーズ
129-22,修羅板佩楯
129-23,ゼニスズボン
129-24,ダスクトラウザ
129-25,ドラゴンサブリガ
132-21,ウォリアークウィス(AF2)
132-22,メレーホーズ(AF2)
132-23,クレリクパンタロン(AF2)
132-24,ソーサラートンバン(AF2)
132-25,デュエルタイツ(AF2)
132-26,アサシンキュロット(AF2)
132-27,ヴァラーブリーチズ(AF2)
132-28,アビスフランチャー(AF2)
132-29,モンスタートラウザ(AF2)
132-30,バードキャニオンズ(AF2)
132-31,スカウトブラッカエ(AF2)
132-32,早乙女板佩楯(AF2)
132-33,甲賀袴(AF2)
132-34,ウィルムブレー(AF2)
132-35,サマナースパッツ(AF2)
214-78,Mirage Shalwar (BLU AF2)
214-79,Commodore Culotte (COR AF2)
214-80,Pantin Churidars (PUP AF2)
217-118,Etoile Tights (DNC AF2)
217-76,Argute Pants (SCH AF2)
132-36,オステアスロップス
143-127,？？？タイツ
144-0,シェードタイツ
144-1,ガリシュズボン
144-2,シアーズボン
144-3,？？？ブレー
144-4,ノクトブレー
145-99,バイソンケックス
145-100,シャイルサラウィル
146-43,バローネコッシャレ
146-82,イギララッパ
148-16,アイゼンディヒリン
149-10,ロードクウィス
149-125,星座サブリガ？
149-118,フェーミナサブリガ？
150-35,八幡袴
150-36,ブレスドズボン
151-45,ワイズブラコーニ
153-16,ユニコンサブリガ
153-53,トレダースロップス
154-58,アルミナブレエット
154-120,ブラッククウィス
157-84,ナシラサラウィル
158-21,ホマムコッシャレ
158-89,黒トレダー脚？
158-124,クロウホーズ
153-100,ハイドラブレエット 
160-64,ハイドラホーズ
163-11,シパーヒゼレハ
163-12,ジャリダシャルバル
166-1,アミールディル
166-2,ペルワンサラウィル
166-3,イギトサラウィル
174-72,アレスフランチャー
174-73,スカディショウス
175-93,薄金膝甲
175-94,マルドゥクシャルワ
175-95,モリガンスロップス
182-9,デナリケックス
182-90,アスカルディル
182-91,ゴリアードトルーズ
185-93,シャドウクイシュ
185-126,シャドウトルーズ
157-24,ヒュームショーツ
132-37,オパーラインホーズ
33-90,ジャッジクウィス(GM)
189-35,ダンサータイツ
189-36,スカラーパンツ
196-116,???
199-51,Cobra Unit Trousers
200-82,Cobra Unit Slops
201-25,Iron Ram Breeches
198-112,Fourth Division Breeches
196-116,Bastokan Armor
204-65,Custom Shorts
207-33,Hachiryu Haidate
225-16,Blizter Poleyn
225-17,Desultor Tassets
225-18,Tatsumaki Sitagoromo
235-99,Ebon Cuisses
235-100,Furia Cuisses
235-101,Ebur Cuisses
235-102,Ebon Breeches
235-103,Furia Breeches
235-104,Ebur Breeches
235-105,Ebon Brayettes
235-106,Furia Brayettes
235-107,Ebur Brayettes
235-108,Ebon Hose
235-109,Furia Hose
235-110,Ebur Hose
228-0,Ebon Brias
228-1,Furia Brias
228-2,Ebur Brias
228-3,Ebon Braccae
228-4,Furia Braccae
228-5,Ebur Braccae
228-6,Shikkoku Haidate
228-7,Shinku Haidate
228-8,Ginhaku Haidate
228-9,Ebon Tights
229-114,Furia Tights
229-115,Ebur Tights
232-45,Ebon Slacks
232-46,Furia Slacks
232-47,Ebur Slacks
232-48,Ebon Pants
232-49,Furia Pants
232-50,Ebur Pants
232-51,Ebon Spats
232-52,Furia Spats
232-53,Ebur Spats
232-54,Ebon Slops
232-55,Furia Slops
232-56,Ebur Slops
238-114,Dinner Hose
247-100,Teutates Subligar
247-101,Torrent Subligar
247-102,Wicca Subligar
247-103,Augur's Brais
247-104,Ocelot Trousers
247-105,Perle Brayettes
247-106,Teal Slops
247-107,Aurore Brais
241-20,Goetia Chausses (BLM AF3)
241-21,Creed Cuisses (PLD AF3)
244-3,Ravager's Cuisses (WAR AF3)
244-4,Estoqueur's Fuseau (RDM AF3)
251-62,Tantra Hose (MNK AF3)
251-63,Raider's Culottes (THF AF3)
251-64,Bale Flanchard (DRK AF3)
251-65,Ferine Quijotes (BST AF3)
251-66,Aoidos' Rhingrave (BRD AF3)
251-67,Unkai Haidate (SAM AF3)
251-68,Iga Hakama (NIN AF3)
251-69,Lancer's Cuissots (DRG AF3)
251-70,Mavi Tayt (BLU AF3)
251-71,Navarch's Culottes (COR AF3)
251-72,Cirque Pantaloni (PUP AF3)
251-73,Savant's Pants (SCH AF3)
254-26,Orison Pantaloons (WHM AF3)
254-82,Charis Tights (DNC AF3)
256-33,Sylvan Brague (RNG AF3)
256-34,Caller's Spats (SMN AF3)
263-3,Novennial Boots
264-30,Calmecac Trousers
264-31,Calmecac Subligar
264-32,Jingang Hose
264-33,Menhit Slacks
270-75,Triplus Subligar
270-76,Dream Pants
271-58,Ogier's Breeches
271-59,Athos's Tights
271-60,Rubeus Spats
271-61,Praeco Slacks
272-79,Tussle Breeches
277-77,Kheper Kecks
277-78,Paean Tights
277-79,Auspex Slops
277-80,Hrafn Hose
277-81,Tenryu Hakama
280-97,???
280-98,???
281-105,Marine Shorts
281-124,???
282-11,Decennial Tights
282-48,Dux Cuisses
282-49,Chelona Trousers
157-44,-for Moogle Suit-
286-93, Geomancer AF1
292-40, Rune Fencer AF1
290-64, Karieyh Brayettes
290-65, Thurandaut Tights
288-124, Orvail Trousers
290-66, ???
292-41, Xux - Nahtirah
301-0, Mikinaak Cuisses
301-1, Manibozho Brais
301-2, Bokwus Slops
