33-92,装備なし
33-93,レザーハイブーツ
33-94,プレートレギンス
33-95,ソレア
33-96,忍脚絆
33-97,グリーヴ
33-98,リザードレデルセン
33-99,ラプトルレデルセン
33-100,初期装備
33-101,脛当
33-102,シューズ
33-103,ストライダーブーツ
33-104,王国従士制式鎖靴
33-105,王国騎士制式鎖靴
33-106,レギンス
33-107,ブロンズレギンス
33-108,ボーンレギンス
33-109,脚絆
33-110,チェスナットサボ
33-111,連邦軍師制式靴
33-112,アッシュクロッグ
33-113,ゲートル
33-114,ダークサバトン
33-115,ソックス
33-116,バトルブーツ
33-117,鋼鉄銃士隊制式鉄靴
33-118,百人隊長脛当
33-119,ガビアルグリーヴ
33-120,スケイルグリーヴ
33-121,ミスリルレギンス
33-123,種族装備
93-64,ファイターカリガ(AF1)
93-65,テンプルゲートル(AF1)
93-66,ヒーラーダックビル(AF1)
93-67,ウィザードサボ(AF1)
93-68,ワーロックブーツ(AF1)
93-69,ローグプーレーヌ(AF1)
96-4,ガラントレギンス(AF1)
96-5,カオスソルレット(AF1)
96-6,ビーストゲートル(AF1)
96-7,コラルスリッパー(AF1)
96-8,ハンターソックス(AF1)
98-74,明珍筒脛当(AF1)
98-75,乱波脚絆(AF1)
98-76,ドラケングリーヴ(AF1)
98-77,エボカーピガッシュ(AF1)
162-55,メガスチャルク(AF1)
160-100,コルセアブーツ(AF1)
163-13,パペトリバブーシュ(AF1)
119-8,タイガーレデルセン
119-9,アイアングリーヴ
120-41,スチールグリーヴ
120-42,クァールレデルセン
120-43,アダマンサバトン
120-44,コーラルレギンス
120-45,ノーブルパンプス
120-46,シックソルレット
120-47,羅漢脛当
120-48,ドラゴングリーヴ 
124-34,羅刹脛当
124-35,クリムゾングリーヴ
124-36,アダマンソルレット
124-37,オーガレデルセン
124-38,ケーニヒシュー 
125-45,ウォーブーツ
126-20,夜叉脛当
126-21,朱雀脛当
126-22,ヘカトンレギンス
126-23,エラントピガッシュ
126-24,フィッシャブーツ
126-25,チョコボブーツ
126-26,バガボンドブーツ
129-26,フィールドブーツ
129-27,修羅篠脛当
129-28,ゼニスパンプス
129-29,ダスクレデルセン
129-30,ドラゴンレギンス
132-38,ウォリアーカリガ(AF2)
132-39,メレーゲートル(AF2)
132-40,クレリクダックビル(AF2)
132-41,ソーサラーサボ(AF2)
132-42,デュエルブーツ(AF2)
132-43,アサシンプーレーヌ(AF2)
132-44,ヴァラーレギンス(AF2)
132-45,アビスソルレット(AF2)
132-46,モンスターゲートル(AF2)
132-47,バードスリッパー(AF2)
132-48,スカウトソックス(AF2)
132-49,早乙女筒脛当(AF2)
132-50,甲賀脚絆(AF2)
132-51,ウィルムグリーヴ(AF2)
132-52,サマナーピガッシュ(AF2)
214-81,Mirage Charuqs (BLU AF2)
214-82,Commodore Bottes (COR AF2)
214-83,Pantin Babouches (PUP AF2)
217-119,Etoile Shoes (DNC AF2)
217-77,Argute Loafers (SCH AF2)
132-53,オステアサボ
137-20,ウェーダー
144-5,？？？スパッツ
144-6,シェードスパッツ
144-7,ガリシュパンプス
144-8,シアーパンプス
144-9,？？？ゲートル
144-10,ノクトゲートル
145-101,バイソンゲマッシュ
145-102,シャイルクラッコー
146-44,バローネガンビエラ
146-83,イギラファラッシュ
148-17,アイゼンシュー
149-11,ロードサバトン
150-37,八幡脛当
150-38,ブレスドパンプス
151-46,ワイズピガッシュ
153-17,ユニコンレギンス
153-54,トレダーピガッシュ
154-59,アルミナソルレ
154-121,ブラックソルレット
157-85,ナシラクラッコー
158-22,ホマムガンビエラ
158-90,黒トレダー足？
158-125,クロウゲートル
153-101,ハイドラソルレ 
160-65,ハイドラブーツ
163-14,シパーヒブーツ
163-15,ジャリダネール
166-4,アミールブーツ
166-5,ペルワンクラッコー
166-6,イギトクラッコー
174-74,アレスソルレット
174-75,スカディジャンボー
175-96,薄金脛当
175-97,マルドゥククラッコ
175-98,モリガンピガッシュ
182-10,デナリゲマッシュ
182-92,アスカルガンビエラ
182-93,ゴリアードクロッグ
185-94,シャドウサバトン
185-127,シャドウクロッグ
196-117,ドリームブーツ
157-44,無し
132-54,オパーラインブーツ
33-122,ジャッジグリーヴ(GM)
189-37,ダンサートーシュー
189-38,スカラーローファー
196-117,Dream Boots
199-52,Cobra Unit Boots
200-83,Cobra Unit Sabots
201-26,Iron Ram Sollerets
198-113,Fourth Division Boots
196-118,Bastokan Armor
195-83,Karasutengu Kogake
157-44,-for Custom Shorts-
207-34,Hachiryu Sune-Ate
217-78,Noble Poulaines
219-64,Gothic Sabatons
235-111,Ebon Sabatons
235-112,Furia Sabatons
235-113,Ebur Sabatons
235-114,Ebon Greaves
235-115,Furia Greaves
235-116,Ebur Greaves
235-117,Ebon Sollerets
235-118,Furia Sollerets
235-119,Ebur Sollerets
235-120,Ebon Leggings
235-121,Furia Leggings
235-122,Ebur Leggings
228-10,Ebon Boots
228-11,Furia Boots
228-12,Ebur Boots
