36-58,装備なし
36-59,[投擲]フレイムブーメラン
36-60,[投擲]ブーメラン
36-61,[投擲]ライジングサン
36-62,[投擲]チャクラム
36-63,[投擲]円月輪
36-64,[投擲]グレネード
36-65,[投擲]十字手裏剣
150-7,[投擲]風魔手裏剣
148-110,[投擲]銛
148-109,[投擲]まさかり
36-66,[弓]ジェンダワ
36-67,[弓]ロクスリーボウ
36-68,[弓]ウォーボウ
36-69,[弓]グレードボウ
36-70,[弓]バトルボウ
36-71,[弓]パワーボウ
36-72,[弓]ロングボウ
36-73,[弓]ラピッドボウ
36-74,[弓]名称不明06
36-75,[弓]セルフボウ
36-76,[弓]カマン
36-77,[弓]名称不明09
36-78,[弓]ラップドボウ
36-79,[弓]義勇兵の弓
36-80,[弓]エクスパンジャー
36-81,[弓]スピードボウ
36-82,[弓]ハンティングボウ
36-83,[弓]コンポジットボウ
36-84,[弓]名称不明16
36-85,[弓]ショートボウ
36-86,[弓]ルーンボウ(ﾙｰﾝ)
120-54,[弓]重藤弓
144-18,[弓]与一の弓
166-120,[弓]ラミアンカマン
36-87,[射撃]ヘヴィクロスボウ
36-88,[射撃]クロスボウ
36-89,[射撃]アルバレスト
36-90,[射撃]ザンバーハ
36-91,[射撃]ライトクロスボウ
36-92,[射撃]根来式鉄砲
36-93,[射撃]ヘルファイア
36-94,[射撃]ハーケンビュクゼ
36-95,[射撃]バンティットガン
36-96,[射撃]リピーティングボウ
36-97,[射撃]パワークロスボウ
36-98,[射撃]カルバリン
137-36,[射撃]コフィンメーカー
144-17,[射撃]アナイアレイター(ﾚﾘｯｸ5)
163-107,[射撃]ヘキサガン
169-113,[射撃]ダークヘキサガン
183-74,[射撃]マーズヘキサガン
36-99,[管楽器]トラベルシエール
36-100,[管楽器]フルート
36-101,[管楽器]ピッコロ
36-102,[管楽器]フェアリーピッコロ
36-103,[管楽器]ホルン
36-104,[管楽器]コルネット
36-105,[管楽器]クラムホルン
36-106,[管楽器]ゲムショルン
137-37,[管楽器]ギャッラルホルン(ﾚﾘｯｸ5)
36-107,[弦楽器]エボニーハープ
36-108,[弦楽器]名称不明
36-109,[弦楽器]ラミアの竪琴
36-110,[弦楽器]メープルハープ
36-111,[弦楽器]ナースメイドハープ
36-112,[弦楽器]神代の竪琴
36-113,[弦楽器]ハープ
36-114,[弦楽器]ローズハープ
36-115,[弦楽器]嘆きの竪琴
36-116,[弦楽器]キタラアングリカ
