76-39,[格闘]コンボ
76-40,[格闘]タックル
76-41,[格闘]短勁
76-42,[格闘]バックハンドブロー
76-43,[格闘]乱撃
76-44,[格闘]スピンアタック
76-45,[格闘]空鳴拳
100-20,[格闘]双竜脚
100-21,[格闘]夢想阿修羅拳
139-74,[格闘]ファイナルヘブン

76-46,[短剣]ワスプスティング
76-47,[短剣]ガストスラッシュ
76-48,[短剣]シャドーステッチ
76-49,[短剣]バイパーバイト
76-50,[短剣]サイクロン
76-51,[短剣]エナジースティール
76-52,[短剣]エナジードレイン
76-53,[短剣]ダンシングエッジ
100-22,[短剣]シャークバイト
100-23,[短剣]エヴィサレーション
139-75,[短剣]マーシーストローク

76-30,[片手剣]ファストブレード 
76-31,[片手剣]バーニングブレード
76-32,[片手剣]レッドロータス
76-35,[片手剣]フラットブレード
76-33,[片手剣]シャインブレード 
76-34,[片手剣]セラフブレード
76-36,[片手剣]サークルブレード
76-37,[片手剣]スピリッツウィズイン
76-38,[片手剣]ボーパルブレード
100-18,[片手剣]スウィフトブレード
100-19,[片手剣]サベッジブレード
139-73,[片手剣]ナイツオブラウンド

76-68,[片手棍]シャインストライク
76-69,[片手棍]セラフストライク
76-70,[片手棍]ブレインシェイカー
76-71,[片手棍]スターライト
76-72,[片手棍]ムーンライト
76-73,[片手棍]スカルブレイカー
76-74,[片手棍]トゥルーストライク
76-75,[片手棍]ジャッジメント
100-28,[片手棍]ヘキサストライク
100-29,[片手棍]ブラックヘイロー
139-78,[片手棍]ランドグリース

76-54,[片手斧]レイジングアクス
76-55,[片手斧]スマッシュ
76-56,[片手斧]ラファールアクス
76-57,[片手斧]アバランチアクス
76-58,[片手斧]スピニングアクス
76-59,[片手斧]ランページ
76-60,[片手斧]カラミティ
100-24,[片手斧]ミストラルアクス
100-25,[片手斧]デシメーション
139-76,[片手斧]オンスロート

100-38,[片手刀]臨
100-39,[片手刀]烈
100-40,[片手刀]滴
100-41,[片手刀]凍
100-42,[片手刀]地
100-43,[片手刀]影
100-44,[片手刀]迅
100-45,[片手刀]天
100-46,[片手刀]空
139-83,[片手刀]生者必滅

76-83,[両手剣]ハードスラッシュ
76-84,[両手剣]パワースラッシュ
76-85,[両手剣]フロストバイト
76-86,[両手剣]フリーズバイト
76-87,[両手剣]ショックウェーブ
76-88,[両手剣]クレセントムーン
76-89,[両手剣]シックルムーン
100-32,[両手剣]スピンスラッシュ
100-33,[両手剣]グランドストライク
139-80,[両手剣]スカージ

76-97,[両手棍]ヘヴィスイング
76-98,[両手棍]ロッククラッシャー
76-99,[両手棍]アースクラッシャー
76-100,[両手棍]スターバースト
76-101,[両手棍]サンバースト
76-102,[両手棍]シェルクラッシャー
76-103,[両手棍]フルスイング
100-36,[両手棍]スピリットテーカー
100-37,[両手棍]レトリビューション
139-82,[両手棍]タルタロスゲート

76-76,[両手斧]シールドブレイク
76-77,[両手斧]アイアンテンペスト
76-78,[両手斧]シュトルムヴィント
76-79,[両手斧]アーマーブレイク
76-80,[両手斧]キーンエッジ
76-81,[両手斧]ウェポンブレイク
76-82,[両手斧]レイジングラッシュ
100-30,[両手斧]フルブレイク
100-31,[両手斧]スチールサイクロン
139-79,[両手斧]メタトロントーメント

100-47,[両手刀]壱之太刀・燕飛
100-48,[両手刀]弐之太刀・鋒縛
100-49,[両手刀]参之太刀・轟天
100-50,[両手刀]四之太刀・陽炎
100-51,[両手刀]五之太刀・陣風
100-52,[両手刀]六之太刀・光輝
100-53,[両手刀]七之太刀・雪風
100-54,[両手刀]八之太刀・月光
100-55,[両手刀]九之太刀・花車
139-84,[両手刀]零之太刀・回天

76-61,[両手鎌]スライス
76-62,[両手鎌]ダークハーベスト
76-63,[両手鎌]シャドーオブデス
76-64,[両手鎌]ナイトメアサイス
76-65,[両手鎌]スピニングサイス
76-66,[両手鎌]ボーパルサイス
76-67,[両手鎌]ギロティン
100-26,[両手鎌]クロスリーパー
100-27,[両手鎌]スパイラルヘル
139-77,[両手鎌]カスタロフィ

76-90,[両手槍]ダブルスラスト
76-91,[両手槍]サンダースラスト
76-92,[両手槍]ライデンスラスト
76-93,[両手槍]足払い
76-94,[両手槍]ペンタスラスト
76-95,[両手槍]ボーパルスラスト
76-96,[両手槍]スキュアー
100-34,[両手槍]大車輪
100-35,[両手槍]インパルスドライブ
139-81,[両手槍]ゲイルスコルグ

76-113,[弓術]フレイミングアロー
76-114,[弓術]ピアシングアロー
76-115,[弓術]ダリングアロー
76-117,[弓術]サイドワインダー
100-71,[弓術]ブラストアロー
100-72,[弓術]アーチングアロー
100-73,[弓術]エンピリアルアロー
139-85,[弓術]南無八幡

76-118,[射撃]ホットショット
76-119,[射撃]スプリットショット
76-120,[射撃]スナイパーショット
76-122,[射撃]スラッグショット
100-74,[射撃]ブラストショット
100-75,[射撃]ヘヴィショット
100-76,[射撃]デトネーター
139-86,[射撃]カラナック
