28-84,装備なし
28-85,レザートラウザ
28-86,クウィス
28-87,ズボン
28-88,忍袴
28-89,チェーンホーズ
28-90,リザードトラウザ
28-91,ラプトルトラウザ
28-92,初期装備
28-93,佩楯
28-94,リネンズボン
28-95,ホワイトズボン
28-96,王国従士制式下衣
28-97,王国騎士制式下衣
28-98,アイアンサブリガ
28-99,ブロンズサブリガ
28-100,ボーンサブリガ
28-101,下ばき
28-102,ウールスロップス
28-103,連邦軍師制式下衣
28-104,スロップス
28-105,ブレー
28-106,ダーククウィス
28-107,ホーズ
28-108,バトルホーズ
28-109,鋼鉄銃士隊制式股当
28-110,百人隊長股当
28-111,ガビアルクウィス
28-112,スケイルクウィス
28-113,ミスリルクウィス
28-115,種族装備
93-22,ファイタークウィス(AF1)
93-23,テンプルホーズ(AF1)
93-24,ヒーラーパンタロン(AF1)
93-25,ウィザードトンバン(AF1)
93-26,ワーロックタイツ(AF1)
93-27,ローグキュロット(AF1)
95-102,ガラントブリーチズ(AF1)
95-103,カオスフランチャー(AF1)
95-104,ビーストトラウザ(AF1)
95-105,コラルキャニオンズ(AF1)
95-106,ハンターブラッカエ(AF1)
98-39,明珍板佩楯(AF1)
98-40,乱波袴(AF1)
98-41,ドラケンブレー(AF1)
98-42,エボカースパッツ(AF1)
157-60,メガスシャルワー(AF1)
160-94,コルセアトルーズ(AF1)
163-94,パペトリチュリダル(AF1)
118-126,タイガートラウザ
118-127,アイアンクウィス
119-116,スチールクウィス
119-117,クァールトラウザ
119-118,アダマンクウィス
119-119,コーラルサブリガ
119-120,ノーブルズボン
119-121,シックブリーチズ
119-122,羅漢筒袴
119-123,ドラゴンクウィス
124-4,羅刹筒袴
124-5,クリムゾンクウィス
124-6,アダマンブリーチズ
124-7,オーガトラウザ
124-8,ケーニヒディヒリン
125-39,ウォーブレー
125-98,夜叉筒袴
125-99,白虎佩楯
125-100,ヘカトンサブリガ
125-101,エラントスロップス
125-102,フィッシャホーズ
125-103,チョコボホーズ
125-104,バガボンドホーズ
128-119,フィールドホーズ
128-120,修羅板佩楯
128-121,ゼニスズボン
128-122,ダスクトラウザ
128-123,ドラゴンサブリガ
131-63,ウォリアークウィス(AF2)
131-64,メレーホーズ(AF2)
131-65,クレリクパンタロン(AF2)
131-66,ソーサラートンバン(AF2)
131-67,デュエルタイツ(AF2)
131-68,アサシンキュロット(AF2)
131-69,ヴァラーブリーチズ(AF2)
131-70,アビスフランチャー(AF2)
131-71,モンスタートラウザ(AF2)
131-72,バードキャニオンズ(AF2)
131-73,スカウトブラッカエ(AF2)
131-74,早乙女板佩楯(AF2)
131-75,甲賀袴(AF2)
131-76,ウィルムブレー(AF2)
131-77,サマナースパッツ(AF2)
212-40,Mirage Shalwar (BLU AF2)
214-23,Commodore Culotte (COR AF2)
212-41,Pantin Churidars (PUP AF2)
217-113,Etoile Tights (DNC AF2)
217-70,Argute Pants (SCH AF2)
131-78,オステアスロップス
143-91,？？？タイツ
143-92,シェードタイツ
143-93,ガリシュズボン
143-94,シアーズボン
143-95,？？？ブレー
143-96,ノクトブレー
145-87,バイソンケックス
145-88,シャイルサラウィル
146-38,バローネコッシャレ
146-77,イギララッパ
148-11,アイゼンディヒリン
148-126,ロードクウィス
149-124,星座サブリガ
149-117,ウィルサブリガ
150-23,八幡袴
150-24,ブレスドズボン
151-40,ワイズブラコーニ
153-11,ユニコンサブリガ
153-48,トレダースロップス
154-52,アルミナブレエット
